ExpansionLevel,CameraType,CustomBoundLB,CustomBoundRT,PosX,PosY,ZoomRatio
1,FullView,"-15,-5","17,12",1,4.9,70
1,CookingView,"-15,-5","17,12",1,7.75,150
1,ServingView,"-15,-5","17,12",1,5.8,150
1,EntranceView,"-15,-5","17,12",1,2.8,150
1,MovingCamera,"-15,-5","17,12",,,
1,DecoTop,"-15,-5","17,12",1,8,120
1,DecoMiddle,"-15,-5","17,12",1,5,120
1,DecoBottom,"-15,-5","17,12",1,3,120
1,ParkingArea,"-15,-5","17,12",-5.5,4.75,80
2,FullView,"-15,-5","17,12",2.5,4.9,70
2,CookingView,"-15,-5","17,12",2.5,7.75,150
2,ServingView,"-15,-5","17,12",2.5,5.8,150
2,EntranceView,"-15,-5","17,12",2.5,2.8,150
2,MovingCamera,"-15,-5","17,12",,,
2,DecoTop,"-15,-5","17,12",2.5,8,120
2,DecoMiddle,"-15,-5","17,12",2.5,5.5,120
2,DecoBottom,"-15,-5","17,12",2.5,3,120
2,ParkingArea,"-15,-5","17,12",-5.5,4.75,80
3,FullView,"-12,-5","17,17",2.5,6.5,55
3,CookingView,"-12,-5","17,17",2.5,8.75,90
3,ServingView,"-12,-5","17,17",2.5,5.7,90
3,EntranceView,"-12,-5","17,17",2.5,3.4,90
3,MovingCamera,"-12,-5","17,17",,,
3,DecoTop,"-12,-5","17,17",2.5,9.7,110
3,DecoMiddle,"-12,-5","17,17",2.5,5.9,110
3,DecoBottom,"-12,-5","17,17",2.5,3,110
3,ParkingArea,"-12,-5","17,17",-4.75,4.75,80
4,FullView,"-15,-5","23,17",4.5,6.5,55
4,CookingView,"-15,-5","23,17",4.5,9.2,110
4,ServingView,"-15,-5","23,17",4.5,6,110
4,EntranceView,"-15,-5","23,17",4.5,4.1,110
4,MovingCamera,"-15,-5","23,17",,,
4,DecoTop,"-15,-5","23,17",4.5,9.5,90
4,DecoMiddle,"-15,-5","23,17",4.5,6,90
4,DecoBottom,"-15,-5","23,17",4.5,3.5,90
4,ParkingArea,"-15,-5","23,17",-5.5,4.75,80
5,FullView,"-15,-5","30,17",8.5,6.5,55
5,CookingView,"-15,-5","30,17",8.5,8.5,65
5,ServingView,"-15,-5","30,17",8.5,6,65
5,EntranceView,"-15,-5","30,17",8.5,4.1,65
5,MovingCamera,"-15,-5","30,17",,,
5,DecoTop_L,"-15,-5","30,17",3.45,9.5,100
5,DecoTop_C,"-15,-5","30,17",8.5,9.5,100
5,DecoTop_R,"-15,-5","30,17",13.6,9.5,100
5,DecoMiddle_L,"-15,-5","30,17",3.45,5.7,100
5,DecoMiddle_C,"-15,-5","30,17",8.5,5.7,100
5,DecoMiddle_R,"-15,-5","30,17",13.6,5.7,100
5,DecoBottom_L,"-15,-5","30,17",3.45,3.6,100
5,DecoBottom_C,"-15,-5","30,17",8.5,3.6,100
5,DecoBottom_R,"-15,-5","30,17",13.6,3.6,100
5,ParkingArea,"-15,-5","30,17",-4,4.75,80
6,FullView,"-15,-5","30,17",8.5,7.3,45
6,CookingView,"-15,-5","30,17",8.5,10.5,60
6,ServingView,"-15,-5","30,17",8.5,8,60
6,EntranceView,"-15,-5","30,17",8.5,4.7,60
6,MovingCamera,"-15,-5","30,17",,,
6,DecoTop_L,"-15,-5","30,17",3.45,11.5,100
6,DecoTop_C,"-15,-5","30,17",8.5,11.5,100
6,DecoTop_R,"-15,-5","30,17",13.6,11.5,100
6,DecoMiddle_L,"-15,-5","30,17",3.45,8,100
6,DecoMiddle_C,"-15,-5","30,17",8.5,8,100
6,DecoMiddle_R,"-15,-5","30,17",13.6,8,100
6,DecoBottom_L,"-15,-5","30,17",3.45,3.6,100
6,DecoBottom_C,"-15,-5","30,17",8.5,3.6,100
6,DecoBottom_R,"-15,-5","30,17",13.6,3.6,100
6,ParkingArea,"-15,-5","30,17",-4,4.75,70
