UpgradeLevel1,UpgradeLevel2,UpgradeLevel3,UpgradeLevel4,UpgradeLevel5,UpgradeLevel6,UpgradeLevel7,UpgradeLevel8,UpgradeLevel9,UpgradeLevel10,UpgradeLevel11,UpgradeLevel12,UpgradeLevel13,UpgradeLevel14,UpgradeLevel15,UpgradeLevel16,UpgradeLevel17
Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,Storage_1,
Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,Storage_2,
Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,Flowerpot_1,
Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,Flowerpot_2,
Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,Table_1,
Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,Table_2,
,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,StandingBoard_1,
,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,Carpet_1,
,,(주차장),PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,PartTime_1,
,,,,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,
,,,,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,
,,,,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,
,,,,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,
,,,,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,
,,,,,Flowerpot_3,Flowerpot_3,Flowerpot_3,Flowerpot_3,Flowerpot_3,Flowerpot_3,Flowerpot_3,Flowerpot_3,Flowerpot_3,Flowerpot_3,Flowerpot_3,
,,,,,Flowerpot_4,Flowerpot_4,Flowerpot_4,Flowerpot_4,Flowerpot_4,Flowerpot_4,Flowerpot_4,Flowerpot_4,Flowerpot_4,Flowerpot_4,Flowerpot_4,
,,,,,Table_3,Table_3,Table_3,Table_3,Table_3,Table_3,Table_3,Table_3,Table_3,Table_3,Table_3,
,,,,,Table_4,Table_4,Table_4,Table_4,Table_4,Table_4,Table_4,Table_4,Table_4,Table_4,Table_4,
,,,,,,Carpet_2,Carpet_2,Carpet_2,Carpet_2,Carpet_2,Carpet_2,Carpet_2,Carpet_2,Carpet_2,Carpet_2,
,,,,,,StandingBoard_2,StandingBoard_2,StandingBoard_2,StandingBoard_2,StandingBoard_2,StandingBoard_2,StandingBoard_2,StandingBoard_2,StandingBoard_2,StandingBoard_2,
,,,,,,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3,
,,,,,,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2,
,,,,,,Facility_4_2,Facility_4_2,Facility_4_2,Facility_4_2,Facility_4_2,Facility_4_2,Facility_4_2,Facility_4_2,Facility_4_2,Facility_4_2,
,,,,,,,Facility_5,Facility_5,Facility_5,Facility_5,Facility_5,Facility_5,Facility_5,Facility_5,Facility_5,
,,,,,,,Facility_7,Facility_7,Facility_7,Facility_7,Facility_7,Facility_7,Facility_7,Facility_7,Facility_7,
,,,,,,,Facility_7_2,Facility_7_2,Facility_7_2,Facility_7_2,Facility_7_2,Facility_7_2,Facility_7_2,Facility_7_2,Facility_7_2,
