UpgradeLevel1,UpgradeLevel2,UpgradeLevel3,UpgradeLevel4,UpgradeLevel5,UpgradeLevel6,UpgradeLevel7
Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1,Facility_1
Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2,Facility_2
Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3,Facility_3
Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4,Facility_4
Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2,Facility_2_2
,Facility_5,Facility_5,Facility_5,Facility_5,Facility_5,Facility_5
,Facility_7,Facility_7,Facility_7,Facility_7,Facility_6,Facility_6
,Facility_7_2,Facility_7_2,Facility_7_2,Facility_7_2,Facility_7,Facility_7
,Facility_6,Facility_6,Facility_6,Facility_6,Facility_7_2,Facility_7_2
,,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3,Facility_2_3
,,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2,Facility_1_2
,,Facility_4_2,Facility_4_2,Facility_4_2,Facility_9,Facility_9
,,Facility_7_3,Facility_7_3,Facility_7_3,Facility_8_2,Facility_8_2
,,Facility_6_2,Facility_6_2,Facility_6_2,Facility_6_2,Facility_6_2
,,,Facility_3_2,Facility_3_2,Facility_3_2,Facility_3_2
,,,Facility_4_3,Facility_4_3,Facility_4_2,Facility_4_2
,,,,Facility_3_3,Facility_1_3,Facility_1_3
,,,,Facility_1_3,Facility_3_3,Facility_3_3
,,,,,Facility_9_2,Facility_9_2
,,,,,Facility_4_3,Facility_4_3
,,,,,Facility_5_2,Facility_5_2
,,,,,Facility_6_3,Facility_6_3
,,,,,,Facility_1_4
,,,,,,Facility_9_3
,,,,,,Facility_8_2
,,,,,,Facility_6_4
