Id,Category,Type,TypeDetail,GoodDescKey,NormalDescKey,BadDescKey,ReviewImageRUID
10001,Store,Expansion,,CustomerReviewGood10001,CustomerReviewNormal10001,CustomerReviewBad10001,0c01799b8f5a41d088c50acd9e2ed031
10002,Store,Interior,,CustomerReviewGood10002,CustomerReviewNormal10002,CustomerReviewBad10002,f5761987d2494ca3910b47901a9d6dac
10003,Store,Deco,,CustomerReviewGood10003,CustomerReviewNormal10003,CustomerReviewBad10003,cc234b9eced1437293f89b78b4cc4567
20001,Recipe,Tag,Meat,CustomerReviewGood20001,CustomerReviewNormal20001,CustomerReviewBad20001,4e677b896bd24dbb9a83f426bc5dbbec
20002,Recipe,Tag,Chicken,CustomerReviewGood20002,CustomerReviewNormal20002,CustomerReviewBad20002,059f75f3fc0349c2b8e10707890eb7d6
20003,Recipe,Tag,Seafood,CustomerReviewGood20003,CustomerReviewNormal20003,CustomerReviewBad20003,8eb5bba6a7a04712bc86d6eb3ec851e7
20004,Recipe,Tag,Veggie,CustomerReviewGood20004,CustomerReviewNormal20004,CustomerReviewBad20004,93605ba20b144f4e8d663b978ce297e1
20005,Recipe,Tag,Spicy,CustomerReviewGood20005,CustomerReviewNormal20005,CustomerReviewBad20005,4321a8e532cd402997bce613c46c749d
20006,Recipe,TasteScore,,CustomerReviewGood20006,CustomerReviewNormal20006,CustomerReviewBad20006,5d309facbbd34aff9c1b2cd6bee6e181
20007,Recipe,Trend,Positive,CustomerReviewGood20007,CustomerReviewNormal20007,CustomerReviewBad20007,a9eb93751a4f4872a19cc0425c63f221
20008,Recipe,Trend,Negative,CustomerReviewGood20008,,CustomerReviewBad20008,ddc5b9b035e94487bb1d6bfc0aee5ef3
20009,Recipe,Trial,,,CustomerReviewNormal20009,,ec63d1f383b24d909eea22cc748bc91b
30001,Total,Attractive,,,CustomerReviewNormal30001,,9e3150c45a4a4fc5b656decdb1482f1e
