Id,ContentsKey,Condition,UIOpenType,UIOpenTypeValue
1,ToDoSecretary1,ManagementLevelUp,Management,
2,ToDoSecretary2,RecommendedUpgrade,Upgrade,
3,ToDoSecretary3,Employment,Employment,
4,ToDoSecretary4,EmployeeDeploy,EmployeeManage,
5,ToDoSecretary5,EmptyDisplay,Recipe,
6,ToDoSecretary6,VIPOrderSeasonReward,VIPOrder,
7,ToDoSecretary7,EndAutoTraining,TrainingAuto,
8,ToDoSecretary8,IngreGacha,IngreGacha,
9,ToDoSecretary9,Training,Training,
10,ToDoSecretary10,AutoTraining,TrainingAuto,
11,ToDoSecretary11,RecipeTrial,Trial,
12,ToDoSecretary12,EmployeeTrial,Trial,
13,ToDoSecretary13,VIPOrderCount,VIPOrder,
14,ToDoSecretary14,UnofficialTrial,Trial,2
