GroupName,GroupNameKey,GroupId,MemberNum,StageId,RewardType,
창립 멤버,GroupName1,1,2,0,2,
디노 남매,GroupName2,2,2,0,1,
프렌즈,GroupName3,3,2,0,2,
아깽이단,GroupName4,4,2,0,2,
사고뭉치,GroupName5,5,3,0,1,
자장자장 꿈나라로,GroupName6,6,3,0,1,
무림 고수,GroupName7,7,3,0,2,
다람쥐,GroupName8,8,3,0,2,
말랑이,GroupName9,9,3,0,1,
작고 소중해,GroupName10,10,3,0,1,
꼬꼬 패밀리,GroupName11,11,3,0,1,
베이비 슈,GroupName12,12,3,0,1,
루티루티해,GroupName13,13,3,0,2,
힘쎄고 강한 딜로,GroupName14,14,3,0,1,
아기 대형견,GroupName15,15,3,0,2,
궁디팡팡 멍뭉이,GroupName16,16,3,0,1,
동글 햄스터,GroupName17,17,3,0,1,
츄츄 아일랜드,GroupName18,18,3,0,1,
랫서팬더,GroupName19,19,2,2,2,
왕크니까 왕귀엽다,GroupName20,20,2,2,2,
나 이거 아니다,GroupName21,21,3,2,2,
숲 속 친구들,GroupName22,22,3,2,1,
히어로즈 1기,GroupName23,23,3,2,1,
제과점,GroupName24,24,3,3,1,
오므라이스,GroupName25,25,3,3,2,
무적의 디저트,GroupName26,26,3,3,1,
게임을 시작하지,GroupName27,27,3,3,1,
히어로즈 2기,GroupName28,28,3,3,1,
시그너스기사단,GroupName29,29,2,4,2,
지켜양,GroupName30,30,3,4,2,
네모네모 돔물친구들,GroupName31,31,3,4,2,
원수는 우주에서,GroupName32,32,3,4,1,
블랙헤븐,GroupName33,33,3,4,1,
카멜레온,GroupName34,34,3,5,2,
어드벤처,GroupName35,35,3,5,1,
물범 프린스,GroupName36,36,3,5,1,
뒤뚱뒤뚱 펭군,GroupName37,37,3,5,1,
곰카롱즈,GroupName38,38,3,6,1,
밤톨 형제,GroupName39,39,3,6,1,
장난감나라,GroupName40,40,3,6,1,
갓 오브 컨트롤,GroupName41,41,3,6,2,
고스트,GroupName42,42,3,7,2,
쁘띠 데빌,GroupName43,43,3,7,2,
마족 친구들,GroupName44,44,3,7,1,
루타비스,GroupName45,45,3,7,1,
사막에서 살아남기,GroupName46,46,3,8,2,
내 몸이 타고있어,GroupName47,47,3,8,2,
뽀송 눈 여우,GroupName48,48,3,8,2,
천사의 축복,GroupName49,49,3,8,2,
데미안과 포로들,GroupName50,50,3,8,2,
솜사탕,GroupName51,51,3,9,2,
아르카나 정령,GroupName52,52,3,9,2,
알파퐁,GroupName53,53,3,9,1,
쁘띠 루시드,GroupName54,54,3,9,2,
