Level,Exp,ExpSum
1,0,0
2,50,50
3,60,110
4,70,180
5,80,260
6,100,360
7,120,480
8,140,620
9,170,790
10,200,990
11,240,1230
12,290,1520
13,350,1870
14,420,2290
15,500,2790
16,580,3370
17,670,4040
18,770,4810
19,870,5680
20,970,6650
21,1070,7720
22,1170,8890
23,1270,10160
24,1370,11530
25,1470,13000
26,1570,14570
27,1670,16240
28,1770,18010
29,1880,19890
30,1990,21880
31,2110,23990
32,2240,26230
33,2370,28600
34,2510,31110
35,2660,33770
36,2870,36640
37,3100,39740
38,3350,43090
39,3620,46710
40,3910,50620
41,4300,54920
42,4730,59650
43,5200,64850
44,5720,70570
45,6290,76860
46,6920,83780
47,7610,91390
48,8290,99680
49,9080,108760
50,10000,118760
51,11000,129760
52,12000,141760
53,13000,154760
54,14000,168760
55,15000,183760
56,16000,199760
57,17000,216760
58,18000,234760
59,19000,253760
60,20000,273760
61,20000,293760
62,20000,313760
63,20000,333760
64,20000,353760
65,20000,373760
66,20000,393760
67,20000,413760
68,20000,433760
69,20000,453760
70,20000,473760
71,20000,493760
