Id,Group,Level,EffectType,EffectValue
Counter0,Counter,0,TipDrop,0
Counter1,Counter,1,TipDrop,1
Counter2,Counter,2,TipDrop,2
Counter3,Counter,3,TipDrop,3
Counter4,Counter,4,TipDrop,4
Counter5,Counter,5,TipDrop,5
Counter6,Counter,6,TipDrop,6
Counter7,Counter,7,TipDrop,7
Counter8,Counter,8,TipDrop,8
Counter9,Counter,9,TipDrop,9
Counter10,Counter,10,TipDrop,10
Counter11,Counter,11,TipDrop,11
Counter12,Counter,12,TipDrop,12
Counter13,Counter,13,TipDrop,13
Counter14,Counter,14,TipDrop,14
Counter15,Counter,15,TipDrop,15
Counter16,Counter,16,TipDrop,16
Counter17,Counter,17,TipDrop,17
Counter18,Counter,18,TipDrop,18
Counter19,Counter,19,TipDrop,19
Counter20,Counter,20,TipDrop,20
Counter21,Counter,21,TipDrop,21
Counter22,Counter,22,TipDrop,22
Counter23,Counter,23,TipDrop,23
Counter24,Counter,24,TipDrop,24
Counter25,Counter,25,TipDrop,25
Counter26,Counter,26,TipDrop,26
Counter27,Counter,27,TipDrop,27
Counter28,Counter,28,TipDrop,28
Counter29,Counter,29,TipDrop,29
Counter30,Counter,30,TipDrop,30
Counter31,Counter,31,TipDrop,31
Counter32,Counter,32,TipDrop,32
Counter33,Counter,33,TipDrop,33
Counter34,Counter,34,TipDrop,34
Counter35,Counter,35,TipDrop,35
Counter36,Counter,36,TipDrop,36
Counter37,Counter,37,TipDrop,37
Counter38,Counter,38,TipDrop,38
Counter39,Counter,39,TipDrop,39
Counter40,Counter,40,TipDrop,40
Counter41,Counter,41,TipDrop,41
Counter42,Counter,42,TipDrop,42
Counter43,Counter,43,TipDrop,43
Counter44,Counter,44,TipDrop,44
Counter45,Counter,45,TipDrop,45
Counter46,Counter,46,TipDrop,46
Counter47,Counter,47,TipDrop,47
Counter48,Counter,48,TipDrop,48
Counter49,Counter,49,TipDrop,49
Counter50,Counter,50,TipDrop,50
Counter51,Counter,51,TipDrop,51
Counter52,Counter,52,TipDrop,52
Counter53,Counter,53,TipDrop,53
Counter54,Counter,54,TipDrop,54
Counter55,Counter,55,TipDrop,55
Counter56,Counter,56,TipDrop,56
Counter57,Counter,57,TipDrop,57
Counter58,Counter,58,TipDrop,58
Counter59,Counter,59,TipDrop,59
Counter60,Counter,60,TipDrop,60
Counter61,Counter,61,TipDrop,61
Counter62,Counter,62,TipDrop,62
Counter63,Counter,63,TipDrop,63
Counter64,Counter,64,TipDrop,64
Counter65,Counter,65,TipDrop,65
Counter66,Counter,66,TipDrop,66
Counter67,Counter,67,TipDrop,67
Counter68,Counter,68,TipDrop,68
Counter69,Counter,69,TipDrop,69
Counter70,Counter,70,TipDrop,70
Counter71,Counter,71,TipDrop,71
Counter72,Counter,72,TipDrop,72
Counter73,Counter,73,TipDrop,73
Counter74,Counter,74,TipDrop,74
Counter75,Counter,75,TipDrop,75
Counter76,Counter,76,TipDrop,76
Counter77,Counter,77,TipDrop,77
Counter78,Counter,78,TipDrop,78
Counter79,Counter,79,TipDrop,79
Counter80,Counter,80,TipDrop,80
Counter81,Counter,81,TipDrop,81
Counter82,Counter,82,TipDrop,82
Counter83,Counter,83,TipDrop,83
Counter84,Counter,84,TipDrop,84
Counter85,Counter,85,TipDrop,85
Counter86,Counter,86,TipDrop,86
Counter87,Counter,87,TipDrop,87
Counter88,Counter,88,TipDrop,88
Counter89,Counter,89,TipDrop,89
Counter90,Counter,90,TipDrop,90
Counter91,Counter,91,TipDrop,91
Counter92,Counter,92,TipDrop,92
Counter93,Counter,93,TipDrop,93
Counter94,Counter,94,TipDrop,94
Counter95,Counter,95,TipDrop,95
Counter96,Counter,96,TipDrop,96
Counter97,Counter,97,TipDrop,97
Counter98,Counter,98,TipDrop,98
Counter99,Counter,99,TipDrop,99
Counter100,Counter,100,TipDrop,100
Display1,Display,1,BurgerStack,5
Display2,Display,2,BurgerStack,10
Display3,Display,3,BurgerStack,15
Display4,Display,4,BurgerStack,20
Display5,Display,5,BurgerStack,25
Display6,Display,6,BurgerStack,30
Display7,Display,7,BurgerStack,35
Display8,Display,8,BurgerStack,40
Display9,Display,9,BurgerStack,45
Display10,Display,10,BurgerStack,50
Display11,Display,11,BurgerStack,55
Display12,Display,12,BurgerStack,60
Display13,Display,13,BurgerStack,65
Display14,Display,14,BurgerStack,70
Display15,Display,15,BurgerStack,75
Display16,Display,16,BurgerStack,80
Display17,Display,17,BurgerStack,85
Display18,Display,18,BurgerStack,90
Display19,Display,19,BurgerStack,95
Display20,Display,20,BurgerStack,100
Display21,Display,21,BurgerStack,105
Display22,Display,22,BurgerStack,110
Display23,Display,23,BurgerStack,115
Display24,Display,24,BurgerStack,120
Display25,Display,25,BurgerStack,125
Display26,Display,26,BurgerStack,130
Display27,Display,27,BurgerStack,135
Display28,Display,28,BurgerStack,140
Display29,Display,29,BurgerStack,145
Display30,Display,30,BurgerStack,150
Display31,Display,31,BurgerStack,155
Display32,Display,32,BurgerStack,160
Display33,Display,33,BurgerStack,165
Display34,Display,34,BurgerStack,170
Display35,Display,35,BurgerStack,175
Display36,Display,36,BurgerStack,180
Display37,Display,37,BurgerStack,185
Display38,Display,38,BurgerStack,190
Display39,Display,39,BurgerStack,195
Display40,Display,40,BurgerStack,200
Display41,Display,41,BurgerStack,205
Display42,Display,42,BurgerStack,210
Display43,Display,43,BurgerStack,215
Display44,Display,44,BurgerStack,220
Display45,Display,45,BurgerStack,225
Display46,Display,46,BurgerStack,230
Display47,Display,47,BurgerStack,235
Display48,Display,48,BurgerStack,240
Display49,Display,49,BurgerStack,245
Display50,Display,50,BurgerStack,250
Display51,Display,51,BurgerStack,255
Display52,Display,52,BurgerStack,260
Display53,Display,53,BurgerStack,265
Display54,Display,54,BurgerStack,270
Display55,Display,55,BurgerStack,275
Display56,Display,56,BurgerStack,280
Display57,Display,57,BurgerStack,285
Display58,Display,58,BurgerStack,290
Display59,Display,59,BurgerStack,295
Display60,Display,60,BurgerStack,300
Display61,Display,61,BurgerStack,305
Grill0,Grill,0,AddPrice,0
Grill1,Grill,1,AddPrice,1
Grill2,Grill,2,AddPrice,2
Grill3,Grill,3,AddPrice,3
Grill4,Grill,4,AddPrice,4
