Stage,StageName,Type,Index,PosX,PosY
1,1_DecoDisplay1,Display,1,0.5,6.8000001907349
1,1_DecoDisplay2,Display,2,1.5,6.8000001907349
1,1_DecoGrill1,Grill,1,-0.25,8.5
1,1_DecoGrill2,Grill,2,2.2999999523163,8.5
1,1_DecoCounter1,Counter,1,0.46087074279785,4.5
1,1_DecoCounter2,Counter,2,1.4608707427979,4.5
2,2_DecoDisplay1,Display,1,0.5,6.8000001907349
2,2_DecoDisplay2,Display,2,2.5,6.8000001907349
2,2_DecoDisplay3,Display,3,4.5,6.8000001907349
2,2_DecoGrill1,Grill,1,0.0,8.5
2,2_DecoGrill2,Grill,2,2.5,8.5
2,2_DecoGrill3,Grill,3,5.0,8.5
2,2_DecoCounter1,Counter,1,0.5,4.5
2,2_DecoCounter2,Counter,2,2.5,4.5
2,2_DecoCounter3,Counter,3,4.5,4.5
3,3_DecoDisplay1,Display,1,0.5,6.8000001907349
3,3_DecoDisplay2,Display,2,1.5,6.8000001907349
3,3_DecoDisplay3,Display,3,2.5,6.8000001907349
3,3_DecoDisplay4,Display,4,3.5,6.8000001907349
3,3_DecoDisplay5,Display,5,4.5,6.8000001907349
3,3_DecoGrill1,Grill,1,0.11235809326172,8.4888134002686
3,3_DecoGrill2,Grill,2,2.6123580932617,8.4888134002686
3,3_DecoGrill3,Grill,3,5.1123580932617,8.4888134002686
3,3_DecoGrill4,Grill,4,1.3123581409454,10.488813400269
3,3_DecoGrill5,Grill,5,3.912358045578,10.488813400269
3,3_DecoCounter1,Counter,1,0.5,4.5
3,3_DecoCounter2,Counter,2,1.5,4.5
3,3_DecoCounter3,Counter,3,2.5,4.5
3,3_DecoCounter4,Counter,4,3.5,4.5
3,3_DecoCounter5,Counter,5,4.5,4.5
4,4_DecoDisplay1,Display,1,-0.5,6.8000001907349
4,4_DecoDisplay2,Display,2,0.5,6.8000001907349
4,4_DecoDisplay3,Display,3,1.5,6.8000001907349
4,4_DecoDisplay4,Display,4,2.5,6.8000001907349
4,4_DecoDisplay5,Display,5,3.5,6.8000001907349
4,4_DecoDisplay6,Display,6,5.5,6.8000001907349
4,4_DecoDisplay7,Display,7,6.5,6.8000001907349
4,4_DecoDisplay8,Display,8,7.5,6.8000001907349
4,4_DecoDisplay9,Display,9,8.5,6.8000001907349
4,4_DecoDisplay10,Display,10,9.5,6.8000001907349
4,4_DecoGrill1,Grill,1,-0.062404632568359,8.4700832366943
4,4_DecoGrill2,Grill,2,2.2375953197479,8.4700832366943
4,4_DecoGrill3,Grill,3,4.5375952720642,8.4700832366943
4,4_DecoGrill4,Grill,4,6.8375954627991,8.4700832366943
4,4_DecoGrill5,Grill,5,9.1375951766968,8.4700832366943
4,4_DecoGrill6,Grill,6,-0.062404632568359,10.370082855225
4,4_DecoGrill7,Grill,7,2.2375953197479,10.370082855225
4,4_DecoGrill8,Grill,8,4.5375952720642,10.370082855225
4,4_DecoGrill9,Grill,9,6.8375954627991,10.370082855225
4,4_DecoGrill10,Grill,10,9.1375951766968,10.370082855225
4,4_DecoCounter1,Counter,1,-0.5,4.5
4,4_DecoCounter2,Counter,2,0.5,4.5
4,4_DecoCounter3,Counter,3,1.5,4.5
4,4_DecoCounter4,Counter,4,2.5,4.5
4,4_DecoCounter5,Counter,5,3.5,4.5
4,4_DecoCounter6,Counter,6,5.5,4.5
4,4_DecoCounter7,Counter,7,6.5,4.5
4,4_DecoCounter8,Counter,8,7.5,4.5
4,4_DecoCounter9,Counter,9,8.5,4.5
4,4_DecoCounter10,Counter,10,9.5,4.5
5,5_DecoDisplay1,Display,1,0.5,6.8000001907349
5,5_DecoDisplay2,Display,2,1.5,6.8000001907349
5,5_DecoDisplay3,Display,3,2.5,6.8000001907349
5,5_DecoDisplay4,Display,4,3.5,6.8000001907349
5,5_DecoDisplay5,Display,5,4.5,6.8000001907349
5,5_DecoDisplay6,Display,6,6.5,6.8000001907349
5,5_DecoDisplay7,Display,7,7.5,6.8000001907349
5,5_DecoDisplay8,Display,8,8.5,6.8000001907349
5,5_DecoDisplay9,Display,9,9.5,6.8000001907349
5,5_DecoDisplay10,Display,10,10.5,6.8000001907349
5,5_DecoDisplay11,Display,11,12.5,6.8000001907349
5,5_DecoDisplay12,Display,12,13.5,6.8000001907349
5,5_DecoDisplay13,Display,13,14.5,6.8000001907349
5,5_DecoDisplay14,Display,14,15.5,6.8000001907349
5,5_DecoDisplay15,Display,15,16.5,6.8000001907349
5,5_DecoGrill1,Grill,1,0.20879554748535,8.4958047866821
5,5_DecoGrill2,Grill,2,2.6087956428528,8.4958047866821
5,5_DecoGrill3,Grill,3,5.0087957382202,8.4958047866821
5,5_DecoGrill4,Grill,4,7.4087953567505,8.4958047866821
5,5_DecoGrill5,Grill,5,9.8087959289551,8.4958047866821
5,5_DecoGrill6,Grill,6,12.208795547485,8.4958047866821
5,5_DecoGrill7,Grill,7,14.608795166016,8.4958047866821
5,5_DecoGrill8,Grill,8,17.008796691895,8.4958047866821
5,5_DecoGrill9,Grill,9,1.4087955951691,10.295804023743
5,5_DecoGrill10,Grill,10,3.8087954521179,10.295804023743
5,5_DecoGrill11,Grill,11,6.2087955474854,10.295804023743
5,5_DecoGrill12,Grill,12,8.6087951660156,10.295804023743
5,5_DecoGrill13,Grill,13,11.00879573822,10.295804023743
5,5_DecoGrill14,Grill,14,13.40879535675,10.295804023743
5,5_DecoGrill15,Grill,15,15.808795928955,10.295804023743
5,5_DecoCounter1,Counter,1,0.5,4.5
5,5_DecoCounter2,Counter,2,1.5,4.5
5,5_DecoCounter3,Counter,3,2.5,4.5
5,5_DecoCounter4,Counter,4,3.5,4.5
5,5_DecoCounter5,Counter,5,4.5,4.5
5,5_DecoCounter6,Counter,6,6.5,4.5
