Index,Type,NameKey,Grade,TastePoint,BaseCost,Tag,RecipeRUID,IconRUID,Width,Height,PosX,PosY,UpperPosY
1,Bottom,BunName1,1,0,0,,e4b4003cbbe64c9e96d5b6dd4e92029f,2fd1aadf6127486c97c61d9e9539d75b,80,16,,,-3
1,Top,BunName1,1,0,0,,c29792c4472f405391b12a9667e9e65f,a3e409703aac4184827c9cbfca0e4537,80,32,,,
2,Bottom,BunName2,2,52,50,,3b5518ead1b840d3acf20fea561bd75c,aa775c63f4b34de5a4a23101b6fd3dc0,80,16,,,-3
2,Top,BunName2,2,52,50,,69f38ca41ed54d3180e63c70e30cc8e4,fd69297779e54a5d9e9dacfdba314c50,80,32,,,
3,Bottom,BunName3,3,80,100,,972023d88a124926b8664c78f23a52b6,509185764b874132a3dda1647ce50c62,80,16,,,-3
3,Top,BunName3,3,80,100,,347a9c60bd1c47ee98e34c97f1423ee1,506b9af6b21b4f55bd10b81369985c9b,80,32,,,
4,Bottom,BunName4,4,80,200,Meat,fa94bea8cde04a83bcb83f32cb39e0f2,fd03c62f2c644ca38a9ce23cb4fe3df0,80,16,,,-3
4,Top,BunName4,4,80,200,Meat,05d05e6c37dc4991805f58bd1f991ba0,65bc11413a43473fbef52fb798ef9901,80,32,,,
5,Bottom,BunName5,4,80,200,Chicken,6faa8365223445a795f37e5f6e69cb0b,d083ef804c984167a09c919d55c099b8,80,16,,,-3
5,Top,BunName5,4,80,200,Chicken,4fde68a572b949fda7f68f3746291b69,b8d96d3616d3406f90b954c59d0bfb9e,80,32,,,
6,Bottom,BunName6,4,80,200,Seafood,aa1a4523c0c04a02a20b853aff0814ff,a50d1725a16f4c9ab7b2dc76e59fd3b2,80,16,,,-3
6,Top,BunName6,4,80,200,Seafood,5a71411f0d0f4a44abb1b9c825c47b77,e88dd965f395449a97480b1d75ea3a94,80,32,,,
7,Bottom,BunName7,4,80,200,Veggie,b2e06ce7d16b4c56909d884ec9c742f6,76a34ed948244741ad9c1749475264c1,80,16,,,-3
7,Top,BunName7,4,80,200,Veggie,9cfc928c991145ed8a6b7c3bf8cf770d,bd88c52d0525445cb9cd03a3280a39f0,80,32,,,
8,Bottom,BunName8,4,80,200,Spicy,2491addf10734e87b0607cd5cdb737b9,28510dfd30ab470c8bd5811fe6219462,80,16,,,-3
8,Top,BunName8,4,80,200,Spicy,6144152b58fa43f8b743715ba71b868e,9c220ba4008d4e50ba432244fb032870,80,32,,,
