Index,NameKey,NameKeywordKey,Grade,Type,BalancePoint,SpicyPoint,TastePoint,BaseCost,RecipeRUID,IconRUID,Width,Height,PosX,PosY,UpperPosY,RelatedStage
1,IngreName01,IngreNameKeyword01,1,Etc,7,,29,45,ab2617b5ce134ddf959033bad38369b9,e0612b576cfc42379ec7579ff4af9ea4,88,12,,-18,-2,0
2,IngreName02,IngreNameKeyword02,2,Etc,10,,72,95,3ac9b3bedd8b4b3c887f08d1ddf9c9f4,68c30574f44042ed8ef9b4c96fbc6eea,88,16,,-21,,0
3,IngreName03,IngreNameKeyword03,2,Etc,7,,56,100,573c30aed5a644b6af7528c55234877d,68e7d89364ed4b46bc733b2cdb11a1a5,88,12,,-18,-2,0
4,IngreName04,IngreNameKeyword04,2,Etc,13,,56,105,27a4d6fc74dd492ca13ef3daf8be8fd8,a57858e06ec54db89a39ef222f0cd9e0,80,16,,-3,-2,0
5,IngreName05,IngreNameKeyword05,3,Etc,7,,156,145,8fc7c3884a4b45e7906cafd4f9437f99,6fa4f617a2754d00ae0b8e85cee791cf,88,12,,-18,-2,0
6,IngreName06,IngreNameKeyword06,3,Etc,15,,156,150,50e9306333ac4eb5b2d20c6313d0b881,4269486fd501460aba7bb1f61dcca528,84,16,,-3,-3,0
7,IngreName07,IngreNameKeyword07,1,Chicken,12,,29,45,0a10e13bb8d94afd84b31abc641e8160,b9feda0579ff4894bb5eeb2a3997d3eb,80,16,,-4,-7,0
8,IngreName08,IngreNameKeyword08,2,Chicken,8,,64,95,874d1aec3c394e7691aff19c1cce41a7,42733bb21e30432a852e13b1a53e6ee1,88,20,,-12,-5,0
9,IngreName09,IngreNameKeyword09,2,Chicken,12,,48,105,f6b770213bd149228ba9662980153750,92dd6650d5154b7685aa7a005b01c3bc,88,20,,-12,-5,0
10,IngreName10,IngreNameKeyword10,2,Chicken,5,7,56,100,81ba41fbef0943b78773bf443a787a69,ee207cb27a284ff5864a65099c6ad799,88,20,,-12,-5,3
11,IngreName11,IngreNameKeyword11,3,Chicken,8,,164,140,14fbdb99a5494657894f398419717cd7,86efca96887c488ea45a88ea788b6b3c,92,20,,-5,-7,0
