UpgradeLevel,TrainingReputationReward,AutoTrainingReputationReward,TrainingCustomerCount,TrainingBurgerPrice
0,20,5,100,50
1,24,6,200,100
2,28,7,300,200
3,32,8,500,300
4,36,9,750,400
5,44,11,1000,500
6,52,13,1250,600
7,60,15,1500,800
8,68,17,2000,1000
9,76,19,2500,1200
10,88,22,3000,1400
11,100,25,4000,1600
12,112,28,5000,1800
13,124,31,6000,2000
14,136,34,7000,2200
15,156,39,8000,2400
16,176,44,9000,2600
17,196,49,10000,2800
18,216,54,11000,3000
19,236,59,12000,3200
20,266,67,13000,3400
21,296,74,14000,3600
22,326,82,15000,3800
23,356,89,16000,4000
24,386,97,17000,4200
25,416,104,18000,4400
26,446,112,19000,4600
27,476,119,20000,4800
28,506,127,21000,5000
29,536,134,22000,5200
30,566,142,23000,5400
