EventGroupId,Index,EventDialogType,TitleInfo,DialogInfoKey,IsReferKey,Arguments
C0001,1,Congrats,,EventC0001DL1,,
C0001,2,OpenFunction,Shop,EventC0001DL2,,
C0002,1,Congrats,,EventC0002DL1,,
C0003,1,Congrats,,EventC0003DL1,,
C8001,1,OpenFunction,Expansion,EventC8001DL1,,
C8001,2,Expansion,,,,
C8001,3,Congrats,,EventC8001DL3,,
C8002,1,OpenFunction,Interior,EventC8002DL1,,
C8002,2,Expansion,,,,
C8002,3,Congrats,,EventC8002DL3,,
C8003,1,OpenFunction,Deco,EventC8003DL1,,
C8003,2,DecoUpgrade,,,,
C8003,3,Congrats,,EventC8003DL3,,
C9001,1,NewEmployee,"ReferKey,Stand",EventC9001DL1,True,
E0001,1,StoreNameChange,,,,
F0001,1,Fail,,EventF0001DL1,,
F9001,1,ResignEmployee,"ReferKey,Move",EventF9001DL1,True,
D0001,1,StartPositiveTrend,,EventD0001DL1,True,
D1001,1,StartNegativeTrend,,EventD1001DL1,True,
D5001,1,EndTrend,TRUE,EventD5001DL1,True,
D6001,1,EndTrend,FALSE,EventD6001DL1,True,
Y0001,1,TalkDialog,,EventY0001DL1,,
Y0001,2,RankingAnnounce,,,,
Y0001,3,TalkDialog,,EventY0001DL3,,RankingIndex/RivalStoreName
Y0001,4,Congrats,,EventY0001DL4,,
Y0002,1,TalkDialog,,EventY0002DL1,,
Y0002,2,RankingAnnounce,,,,
Y0002,3,TalkDialog,,EventY0002DL3,,RankingIndex/RivalStoreName
Y0002,4,Fail,,EventY0002DL4,,
Y0003,1,TalkDialog,,EventY0003DL1,,
Y0003,2,RankingAnnounce,,,,
Y0003,3,TalkDialog,,EventY0003DL3,,RankingIndex/RivalStoreName
Y0004,1,TalkDialog,,EventY0004DL1,,
Y0004,2,RankingAnnounce,,,,
Y0004,3,TalkDialog,,EventY0004DL3,,RivalStoreName
Y0004,4,Congrats,,EventY0004DL4,,
Y1001,1,RankingAnnounce,,,,
T9001,1,TalkDialog,,EventT9001DL1,,
T9001,2,Tutorial,T9001_1,EventT9001DL2,,
T9001,3,TalkDialog,,EventT9001DL3,,
T9001,4,TalkDialog,,EventT9001DL4,,
T9001,5,TalkDialog,,EventT9001DL5,,
T9001,6,Tutorial,T9001_2,EventT9001DL6,,
T9001,7,TalkDialog,,EventT9001DL7,,
T9101,1,TalkDialog,"Player,Despair",EventT9101DL1,,
T9101,2,TalkDialog,"Player,Wink",EventT9101DL2,True,
T9101,3,TalkDialog,Player,EventT9101DL3,,
T9102,1,ResignEmployee,"ReferKey,Stand",EventT9102DL1,True,
T9102,2,TalkDialog,,EventT9102DL2,,
T9102,3,TalkDialog,,EventT9102DL3,,
T9102,4,TalkDialog,,EventT9102DL4,,
T9102,5,TalkDialog,,EventT9102DL5,,
T9102,6,TalkDialog,,EventT9102DL6,,
T1001,1,StoreName,,,,
T1002,1,TalkDialog,,EventT1002DL1,,
T1002,2,NewEmployee,"E0001,Stand",EventT1002DL2,,
T1002,3,TalkDialog,,EventT1002DL3,,
T1002,4,NewEmployee,"E0002,Stand",EventT1002DL4,,
T1002,5,TalkDialog,,EventT1002DL5,,
T1002,6,TalkDialog,,EventT1002DL6,,
T1003,1,TalkDialog,,EventT1003DL1,,
T1003,2,OpenFunction,Upgrade,EventT1003DL2,,
T1003,3,Tutorial,T1003_1,EventT1003DL3,,
T1003,4,Tutorial,T1003_2,EventT1003DL4,,
T1003,5,Tutorial,T1003_3,,,
T1003,6,TalkDialog,,EventT1003DL6,,
T1003,7,Tutorial,T1003_4,EventT1003DL7,,
T1003,8,Tutorial,T1003_5,EventT1003DL8,,
T1003,9,TalkDialog,,EventT1003DL9,,
T1004,1,Tutorial,T1004_1,EventT1004DL1,,
T1004,2,TalkDialog,,EventT1004DL2,,
T1004,3,TalkDialog,,EventT1004DL3,,
T1004,4,Tutorial,T1004_2,EventT1004DL4,,
T1004,5,Tutorial,T1004_3,EventT1004DL5,,
T1004,6,Tutorial,T1004_4,EventT1004DL6,,
T1004,7,Tutorial,T1004_5,,,
T1004,8,TalkDialog,,EventT1004DL8,,
T1004,9,Tutorial,T1004_6,EventT1004DL9,,
T1004,10,Tutorial,T1004_7,EventT1004DL10,,
T1005,1,Tutorial,T1005_1,EventT1005DL1,,
T1006,1,TalkDialog,,EventT1006DL1,,
