EmployementLevel,EmployementRandomCost,RandomDepositCost,EmployementScoutCost,ScoutDepositCost
1,200,2000,500,10000
2,200,2000,500,10000
3,300,5000,1000,200000
4,300,5000,1000,200000
5,400,10000,1500,500000
6,400,10000,1500,500000
7,500,50000,2000,1000000
8,500,50000,2000,1000000
9,600,100000,2500,1400000
10,600,100000,2500,1400000
11,800,200000,3000,1800000
12,800,200000,3000,1800000
13,1000,400000,3500,2200000
14,1000,400000,3500,2200000
15,1200,600000,4000,2600000
16,1200,600000,4000,2600000
17,1400,800000,4500,3000000
18,1400,800000,4500,3000000
19,1600,1000000,5000,3500000
20,1600,1000000,5000,3500000
21,2000,1200000,6000,4000000
22,2000,1200000,6000,4000000
23,2400,1400000,7000,4500000
24,2400,1400000,7000,4500000
25,2800,1600000,8000,5000000
26,2800,1600000,8000,5000000
27,3200,1800000,9000,6000000
28,3200,1800000,9000,6000000
29,3600,2000000,10000,7000000
30,3600,2000000,10000,7000000
31,4000,3000000,10000,8000000
32,4000,3000000,10000,8000000
33,4500,4000000,10000,9000000
34,4500,4000000,10000,9000000
35,5000,5000000,10000,10000000
36,5000,5000000,10000,10000000
