DialogId,LineId,PortraitType,PortraitArgs,CustomAvatarId,AvatarReactionType,MSWAvatarFaceAccRUID,EffectRUID,EffectSoundRUID,IsPhoneCall,UseMaterialId,NameKey,ContentKey,ChildIds,ChildContentKeys,SoundRuid
Test1,Test1_1,Anim,b4742d7e54ab426e84ac941c8564ce2e,,,,,,,GrayScaleMaterial,DialogName1,DialogContentsTest1_1,Test1_2,,d135658b93914af383ee9f0599c09827
Test1,Test1_2,Anim,cd70f038cf13445ca236bb121cb4b455,,,,,,,,DialogName1,DialogContentsTest1_2,Test1_3,,b91f19d6835b46c389c895dbf17e155c
Test1,Test1_3,CustomAvatar,,10004,,,,,,GrayScaleMaterial,DialogName2,DialogContentsTest1_3,Test1_4,,c4d6fa03bd4d44899f1b1bdbc19a3361
Test1,Test1_4,CustomAvatar,,10008,Idle,,,,,,DialogName3,DialogContentsTest1_4,"Test1_5_1,Test1_5_2",ChildContentKeys1_1|ChildContentKeys1_2,
Test1,Test1_5_1,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsTest1_5_1,Test1_6_1,,ee0e730208a94284b9e8571cd903efbf
Test1,Test1_5_2,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsTest1_5_2,Test1_6_2,,ee0e730208a94284b9e8571cd903efbf
Test1,Test1_6_1,Sprite,561f01eb7b854483af295fe1a38f4600,,,,,,,,DialogName4,DialogContentsTest1_6_1,Test1_7,,e9e54af5200a4472b90ea515aefae725
Test1,Test1_6_2,Sprite,561f01eb7b854483af295fe1a38f4600,,,,,,,,DialogName4,DialogContentsTest1_6_2,Test1_7,,ee0e730208a94284b9e8571cd903efbf
Test1,Test1_7,MSWAvatar,,,Idle,,,,,,DialogName3,DialogContentsTest1_7,"Test1_End1,Test1_End2,Test1_End3",ChildContentKeys2_1|ChildContentKeys2_2|ChildContentKeys2_3,ee0873579bc649f5a7ab05fd5cb46200
Test2,Test2_1,Sprite,561f01eb7b854483af295fe1a38f4600,,,,,,1,,DialogName5,DialogContentsTest2_1,"Test2_2,Test2_3",ChildContentKeys3_1|ChildContentKeys3_2,10a295d365d840298882646cd4981170
Test2,Test2_2,Sprite,6225cbf5e8bf4f4f908fc009ba4b17e6,,,,,,,,DialogName5,DialogContentsTest2_2,StartPlayPopup,,
Test2,Test2_3,Sprite,6225cbf5e8bf4f4f908fc009ba4b17e6,,,,,,,,DialogName5,DialogContentsTest2_3,,,
Test2,Test2_3_1,Sprite,561f01eb7b854483af295fe1a38f4600,,,,,,1,,DialogName5,DialogContentsTest2_3_1,Test2_3_1,,
