Id,NameKey,DescKey,IconRUID,MaxLevel,Effect1,Effect2,Effect3,Effect4,Effect5,EffectType,EffectDescKey,SPCost,RecommendedStage,UnlockStage
1,StrategyName01,StrategyDesc01,8069021541204adba77d11f8db77f830,5,0.05,0.1,0.15,0.2,0.25,Percent,StrategyEffectDesc01,2,"3,9",2
2,StrategyName02,StrategyDesc02,971e39b3ca204a38826254ae1ced4b31,5,0.05,0.1,0.15,0.2,0.25,Percent,StrategyEffectDesc02,4,"5,9",2
3,StrategyName03,StrategyDesc03,0129ae20c64b4ed0989cc0611767373c,5,0.05,0.1,0.15,0.2,0.25,Percent,StrategyEffectDesc03,20,"3,6,9",1
4,StrategyName04,StrategyDesc04,08a7603c0d1f4570863a32312ac103f0,5,0.02,0.04,0.06,0.08,0.1,Percent,StrategyEffectDesc04,6,"5,8",5
5,StrategyName05,StrategyDesc05,f438a6211278426b96d72b6c542234ab,5,0.5,1,1.5,2,2.5,Integer,StrategyEffectDesc05,2,"2,5,7,8,9",1
6,StrategyName06,StrategyDesc06,3bcb3de45c094b3c9971067011e18b60,3,0.1,0.2,0.3,,,Percent,StrategyEffectDesc06,6,9,8
7,StrategyName07,StrategyDesc07,d7ed5398a03740f29138985269bcbab6,3,0.05,0.1,0.15,,,Percent,StrategyEffectDesc07,4,,9
8,StrategyName08,StrategyDesc08,75854459e81e46e4b84e2757d0192da5,3,0.1,0.2,0.3,,,Percent,StrategyEffectDesc08,4,"8,9",7
9,StrategyName09,StrategyDesc09,c4c31894e26242d3942881d1153797a3,3,0.05,0.1,0.15,,,Percent,StrategyEffectDesc09,8,"4,6",3
10,StrategyName10,StrategyDesc10,2ae6ffce7a2e404a81950c9c9f38f433,5,0.1,0.2,0.3,0.4,0.5,Percent,StrategyEffectDesc10,2,6,4
11,StrategyName11,StrategyDesc11,09040990864941fb957297c94b195abc,5,0.1,0.15,0.2,0.25,0.3,Percent,StrategyEffectDesc11,6,6,4
12,StrategyName12,StrategyDesc12,acdfecf9a46a446bb691552b31f88cb1,5,0.05,0.1,0.15,0.2,0.25,Percent,StrategyEffectDesc12,8,"4,7",3
13,StrategyName13,StrategyDesc13,e7db2d9c885a43e891d83abfd51a407a,5,0.1,0.2,0.3,0.4,0.5,Percent,StrategyEffectDesc13,10,"4,7",3
14,StrategyName14,StrategyDesc14,fd5746403f794676b019dffdf3c95b42,5,0.1,0.2,0.3,0.4,0.5,Percent,StrategyEffectDesc14,10,"2,6",1
15,StrategyName15,StrategyDesc15,4f440c776dcd42bd97dca2ea01395623,5,0.1,0.2,0.3,0.4,0.5,Percent,StrategyEffectDesc15,6,,6
