TypeId,TypeValue,IsProgressVisible,HideSlot,UISort,21ad8c8b33f34d5aa8be5827a7b07246,9dd0371e2be84578a5ced7de60f44f29
10001,2,,,1,IPNHK4QCD,5NWT53TXI
10002,6,,,2,0IQXKK81B,SZ9G4GDCC
10003,6,,,3,UPZ0QDDUW,MD7Z8O1CF
10004,6,,,4,3YCQ5OAFU,D4SJLRD85
10005,6,,,5,Z0K0KIYCB,8VY8TLXSA
10006,6,,,6,LRVQ7IL8D,SCHC6MHHN
10007,6,,,7,1ZX5P2T5L,NQ1BYWZHN
10008,6,,,8,22UJ18XSE,HNEAAFJRU
10009,6,,,9,EEQOANY5Q,YV9FVX6KV
11000,50,,,10,YXA8BTKEX,1KCOD3YX0
11002,13,,,11,DOPJRKTAN,JEXWE6FW2
11003,15,,,12,ZUVW22MDU,Y3E7Y5DBV
11004,14,,,13,9R9RQ1H7S,S18WYDPAR
11005,12,,,14,P4R9OSWEJ,7QCZ2RR14
11006,12,,,15,4K0HLONUC,FQKP9K07B
11007,12,,,16,9VQZ8ELGS,S9U6HR6FN
11008,15,,,17,4LRJZ1A39,Q20LU1WIS
11009,12,,,18,LEI8XJJCE,ZRYR9J5XX
20001,1,,,19,AGLP7FDFG,0W4JO3A7W
20001,100,TRUE,,20,307AIBFLE,0VSAGJEX8
20002,100,TRUE,,21,Y19G2A3G2,GELP38E9H
20003,8,TRUE,,22,UG32EQVO1,1V9IJ2C2I
50001,1000000,TRUE,,23,OKLBABW2J,LG97KPL8A
50001,5000000,TRUE,,24,79FT1LGWZ,U85T93CIH
50001,10000000,TRUE,,25,UB6RESABY,MCO8KL4Q4
50001,100000000,TRUE,,26,B6A3F7G90,4BTSRLFUH
50001,500000000,TRUE,,27,5H3UYI5WZ,2JUUU3ELL
51001,30,TRUE,,28,O0BE8HUCS,UYSW657EG
52001,19,,,29,VFJF1XI0V,TNZH8QW7J
52001,21,,,30,4Z8IXAT4J,WTE4AAQLW
52001,23,,,31,Y4Q7CF50C,ZX49XGK3Y
52002,19,,,32,WHU5Z42NL,5OO97PLP8
52002,21,,,33,TC2BM940A,YR67L9P31
52002,23,,,34,5519NLZBN,ML6UU8Z7T
52003,19,,,35,ODF599I8B,2YT0QUBPI
52003,21,,,36,II22GJG84,P0F0J2MGR
52003,23,,,37,QOC7YJ1W2,LTEM1UHAY
52004,19,,,38,3QMCBIIFD,EYCZH03T7
52004,21,,,39,UMRFTW79S,ERJOJY63P
52004,23,,,40,6RLU81LS8,O3RFGDVOM
52005,19,,,41,YLI4ZGOZ0,GLL89MDWY
52005,21,,,42,8WXLR13JR,JY34MDCW5
52005,23,,,43,YSFX27HIR,8AAGUHE0X
52101,100,TRUE,,44,6W95JIB0Z,QAAD093RB
53001,50,TRUE,,45,FK8AP5YZM,39PO3QJZS
54001,50,TRUE,,46,7DHOZMON4,UO2MLO1VW
