ManageMentLevel,RUID
0,a3e409703aac4184827c9cbfca0e4537
0,b9feda0579ff4894bb5eeb2a3997d3eb
0,84398d4a8ea74a398bf03439e80bf89d
0,4fc7ae59ba8144649924d771156e417e
0,6757dd6d795b49f59a2f0c0019e66305
0,e9a0ba38222f4ee8a49a705e9ef8c4a7
0,e99eda72af4644f8a80d019ec751cb50
0,e0612b576cfc42379ec7579ff4af9ea4
0,587ab77c69aa4d47b4427ca232a9d966
0,2a377512b1b44086acc91b57bb8682ae
1,a3e409703aac4184827c9cbfca0e4537
1,b9feda0579ff4894bb5eeb2a3997d3eb
1,84398d4a8ea74a398bf03439e80bf89d
1,4fc7ae59ba8144649924d771156e417e
1,6757dd6d795b49f59a2f0c0019e66305
1,e9a0ba38222f4ee8a49a705e9ef8c4a7
1,e99eda72af4644f8a80d019ec751cb50
1,e0612b576cfc42379ec7579ff4af9ea4
1,587ab77c69aa4d47b4427ca232a9d966
1,2a377512b1b44086acc91b57bb8682ae
2,a3e409703aac4184827c9cbfca0e4537
2,47a9c2e6f6234cf8940500d6d4a59fc1
2,900d29edf8b34ade851efdd6177a602c
2,33533945bf884042baeabb2a76a01cfd
2,6824e770e9be4ff7b17a3e652b1af3c4
2,71b615b0d0de4c34a35d937de77f5927
2,48b3987863f54e77bbe059266242f47a
2,42733bb21e30432a852e13b1a53e6ee1
2,75189e7182f4447298316f9d14c01c9e
2,a57858e06ec54db89a39ef222f0cd9e0
3,fd69297779e54a5d9e9dacfdba314c50
3,dc8cd0cb6fb146d0aa957d732997c995
3,c684dbd664c0473f97be4524d962233f
3,519588f2ed904ae5a4dadcc6ee398ff9
3,a7a5f2ce4a864a6db814db3d5aa6b923
3,68e7d89364ed4b46bc733b2cdb11a1a5
3,ecb984f27a1b416b951b6e06ffe843bd
3,129fdd5aca4044c5bcb51b7d9ec195f8
3,7bd67583d4e0443995c9e5b6708b9ef6
3,cedac12e052244bab45f7825e9f0a161
4,fd69297779e54a5d9e9dacfdba314c50
4,283b70e4eff94791aca4f95e94da4b76
4,92dd6650d5154b7685aa7a005b01c3bc
4,0dfcc57cf75c4fca8a1d4cb9903f13aa
4,43a2840289b1402f853ee67a724b377a
4,1472a747182f4b859e9e1330bbdfc13e
4,68c30574f44042ed8ef9b4c96fbc6eea
4,d415fa40242e4034b2870a3943e7d3e4
4,246eb344a4ce4aa69487443276790dca
4,70e4d55c0d2743cf997544ebf237d962
5,506b9af6b21b4f55bd10b81369985c9b
5,66df5f5c17fc4399870de8a2ab9ebc68
5,d131ce5e9a0f4612b797636772f2c427
5,5a0fd4451ac9434b8f5abe4c712cb318
5,489e26a9c18040d5864657c5363bba68
5,dc008eabbb334e139556735149cb1ea0
5,35043a826ac54d84beaead020c2bdebe
5,b7d064d8f6f84e108bcf756671f279bd
5,c8005b9fdf3a44028d26b75945ae8657
5,909582c33dce441b8d1655e4c74a9f18
