RecipeKey,PresetTestKey,BugerName,TasteScore,BalancePoint,SpicyPoint,Cost,Tag,TrialSkillBonus
1,200,2지역_새싹_3층 버거,181.104,0,0,220,Meat,0
2,200,2지역_새싹_3층 버거,181.104,0,0,220,Veggie,0
3,200,2지역_새싹_3층 버거,181.104,0,0,220,Seafood,0
4,200,2지역_새싹_3층 버거,181.104,0,0,220,Chicken,0
5,200,2지역_새싹_3층 버거,181.104,0,15,220,Spicy,0
6,200,2지역_새싹_3층 버거,181.104,0,0,220,Mixed,0
7,210,2지역_브론즈_3층 버거,268.128,0,0,287.5,Meat,0
8,210,2지역_브론즈_3층 버거,268.128,0,0,287.5,Veggie,0
9,210,2지역_브론즈_3층 버거,268.128,0,0,287.5,Seafood,0
10,210,2지역_브론즈_3층 버거,268.128,0,0,287.5,Chicken,0
11,210,2지역_브론즈_3층 버거,268.128,0,15,287.5,Spicy,0
12,210,2지역_브론즈_3층 버거,268.128,0,0,287.5,Mixed,0
13,220,2지역_실버_4층 버거,294.756,0,0,345,Meat,0
14,220,2지역_실버_4층 버거,294.756,0,0,345,Veggie,0
15,220,2지역_실버_4층 버거,294.756,0,0,345,Seafood,0
16,220,2지역_실버_4층 버거,294.756,0,0,345,Chicken,0
17,220,2지역_실버_4층 버거,294.756,0,15,345,Spicy,0
18,220,2지역_실버_4층 버거,294.756,0,0,345,Mixed,0
19,230,2지역_골드_4층 버거,359.832,0,0,360,Meat,0
20,230,2지역_골드_4층 버거,359.832,0,0,360,Veggie,0
21,230,2지역_골드_4층 버거,359.832,0,0,360,Seafood,0
22,230,2지역_골드_4층 버거,359.832,0,0,360,Chicken,0
23,230,2지역_골드_4층 버거,359.832,0,15,360,Spicy,0
24,230,2지역_골드_4층 버거,359.832,0,0,360,Mixed,0
25,240,2지역_루비_5층 버거,527.04,0,0,500,Meat,0
26,240,2지역_루비_5층 버거,527.04,0,0,500,Veggie,0
27,240,2지역_루비_5층 버거,527.04,0,0,500,Seafood,0
28,240,2지역_루비_5층 버거,527.04,0,0,500,Chicken,0
29,240,2지역_루비_5층 버거,527.04,0,15,500,Spicy,0
30,240,2지역_루비_5층 버거,527.04,0,0,500,Mixed,0
31,250,2지역_플래티넘_5층 버거,678.24,0,0,650,Meat,0
32,250,2지역_플래티넘_5층 버거,678.24,0,0,650,Veggie,0
33,250,2지역_플래티넘_5층 버거,678.24,0,0,650,Seafood,0
34,250,2지역_플래티넘_5층 버거,678.24,0,0,650,Chicken,0
35,250,2지역_플래티넘_5층 버거,678.24,0,15,650,Spicy,0
36,250,2지역_플래티넘_5층 버거,678.24,0,0,650,Mixed,0
37,300,3지역_새싹_3층 버거,116.424,0,0,287.5,Meat,0
38,300,3지역_새싹_3층 버거,116.424,0,0,287.5,Veggie,0
39,300,3지역_새싹_3층 버거,116.424,0,0,287.5,Seafood,0
40,300,3지역_새싹_3층 버거,116.424,0,0,287.5,Chicken,0
41,300,3지역_새싹_3층 버거,116.424,0,15,287.5,Spicy,0
42,300,3지역_새싹_3층 버거,116.424,0,0,287.5,Mixed,0
43,310,3지역_브론즈_4층 버거,359.832,0,0,360,Meat,0
44,310,3지역_브론즈_4층 버거,359.832,0,0,360,Veggie,0
45,310,3지역_브론즈_4층 버거,359.832,0,0,360,Seafood,0
46,310,3지역_브론즈_4층 버거,359.832,0,0,360,Chicken,0
47,310,3지역_브론즈_4층 버거,359.832,0,15,360,Spicy,0
48,310,3지역_브론즈_4층 버거,359.832,0,0,360,Mixed,0
49,320,3지역_실버_5층 버거,527.04,0,0,500,Meat,0
50,320,3지역_실버_5층 버거,527.04,0,0,500,Veggie,0
51,320,3지역_실버_5층 버거,527.04,0,0,500,Seafood,0
52,320,3지역_실버_5층 버거,527.04,0,0,500,Chicken,0
53,320,3지역_실버_5층 버거,527.04,0,15,500,Spicy,0
54,320,3지역_실버_5층 버거,527.04,0,0,500,Mixed,0
55,330,3지역_골드_6층 버거,903.96,0,0,877.5,Meat,0
56,330,3지역_골드_6층 버거,903.96,0,0,877.5,Veggie,0
57,330,3지역_골드_6층 버거,903.96,0,0,877.5,Seafood,0
58,330,3지역_골드_6층 버거,903.96,0,0,877.5,Chicken,0
59,330,3지역_골드_6층 버거,903.96,0,15,877.5,Spicy,0
60,330,3지역_골드_6층 버거,903.96,0,0,877.5,Mixed,0
61,340,3지역_루비_6층 버거,1107.072,0,0,1120,Meat,0
62,340,3지역_루비_6층 버거,1107.072,0,0,1120,Veggie,0
63,340,3지역_루비_6층 버거,1107.072,0,0,1120,Seafood,0
64,340,3지역_루비_6층 버거,1107.072,0,0,1120,Chicken,0
65,340,3지역_루비_6층 버거,1107.072,0,15,1120,Spicy,0
66,340,3지역_루비_6층 버거,1107.072,0,0,1120,Mixed,0
67,350,3지역_플래티넘_7층 버거,1695.744,0,0,1800,Meat,0
68,350,3지역_플래티넘_7층 버거,1695.744,0,0,1800,Veggie,0
69,350,3지역_플래티넘_7층 버거,1695.744,0,0,1800,Seafood,0
70,350,3지역_플래티넘_7층 버거,1695.744,0,0,1800,Chicken,0
