Id,Type,TypeValue,Condition,RewardType,RewardAmount
91001001,91001,2,,Event,
91002001,91002,2,,Event,
91003001,91003,1,,Event,
91003002,91003,2,,Event,
91004001,91004,2,,Event,
91005001,91005,2,,Event,
95001001,95001,1,,Event,
95002001,95002,1,,Event,
95003001,95003,1,,Event,
95004001,95004,1,,Event,
95004002,95004,2,,Event,
95004003,95004,3,,Event,
95004004,95004,4,,Event,
95004005,95004,5,,Event,
95005001,95005,1,,Event,
95006001,95006,1,,Event,
95007001,95007,1,,Event,
95008001,95008,1,,Event,
95009001,95009,1,,Event,
95010001,95010,1,,Event,
95011001,95011,1,,Event,
95012001,95012,1,,Event,
95013001,95013,1,,Event,
95014001,95014,1,,Event,
95015001,95015,1,,Event,
95016001,95016,1,,Event,
95017001,95017,1,,Event,
95018001,95018,1,,Event,
95019001,95019,1,,Event,
95020001,95020,1,,Event,
95021001,95021,1,,Event,
95022001,95022,1,,Event,
95023001,95023,1,,Event,
95024001,95024,1,,Event,
95025001,95025,1,,Event,
95026001,95026,1,,Event,
95027001,95027,1,,Event,
99001001,99001,1,,Event,
99002001,99002,1,,Event,
90001001,90001,1,,Event,
90002001,90002,1,,Event,
90003001,90003,1,,Event,
90003002,90003,4,,Event,
90004001,90004,1,,Event,
90004002,90004,2,,Event,
90004003,90004,3,,Event,
90004004,90004,4,,Event,
90005001,90005,1,,Event,
90005002,90005,2,,Event,
90005003,90005,3,,Event,
90005004,90005,4,,Event,
90005005,90005,5,,Event,
90005006,90005,6,,Event,
90005007,90005,7,,Event,
90006001,90006,1,,Event,
90006002,90006,2,,Event,
90007001,90007,1,,Event,
90008001,90008,1,,Event,
90008002,90008,2,,Event,
90008003,90008,3,,Event,
90008004,90008,4,,Event,
90008005,90008,5,,Event,
90009001,90009,1,,Event,
90010001,90010,1,,Event,
90010002,90010,2,,Event,
90010003,90010,3,,Event,
90010004,90010,4,,Event,
90011001,90011,2,,Event,
90011002,90011,4,,Event,
90012001,90012,1,,Event,
90013001,90013,1,,Event,
90014001,90014,1,,Event,
90015001,90015,1,,Event,
90015002,90015,2,,Event,
90015003,90015,3,,Event,
90015004,90015,4,,Event,
90015005,90015,5,,Event,
90016001,90016,1,,Event,
90017001,90017,1,,Event,
90018001,90018,1,,Event,
90019001,90019,1,,Event,
90020001,90020,1,,Event,
90021001,90021,1,,Event,
90021002,90021,2,,Event,
90021003,90021,3,,Event,
90021004,90021,4,,Event,
90021005,90021,5,,Event,
90021006,90021,6,,Event,
90022001,90022,10,,Event,
90023001,90023,1,,Event,
90024001,90024,1,,Event,
90025001,90025,1,,Event,
90026001,90026,1,,Event,
90027001,90027,1,,Event,
90028001,90028,1,,Event,
90029001,90029,1,,Event,
90030001,90030,1,,Event,
90031001,90031,1,,Event,
90032001,90032,1000000,,Event,
90032002,90032,10000000,,Event,
90033001,90033,11,,Event,
90033002,90033,13,,Event,
90034001,90034,1,,Event,
90035001,90035,1,,Event,
10001001,10001,10,,G0005,10
10001002,10001,50,,G0005,10
10001003,10001,100,,G0005,25
10001004,10001,150,,G0005,25
10001005,10001,200,,G0005,25
10001006,10001,300,,G0005,25
10001007,10001,400,,G0005,50
10001008,10001,550,,G0005,50
10001009,10001,700,,G0005,50
10001010,10001,900,,G0005,75
10001011,10001,1000,,G0005,75
10001012,10001,1200,,G0005,75
10001013,10001,1400,,G0005,75
10001014,10001,1600,,G0005,75
10001015,10001,1800,,G0005,75
10001016,10001,2000,,G0005,75
10001017,10001,2500,,G0005,100
10001018,10001,3000,,G0005,100
10001019,10001,4000,,G0005,100
10001020,10001,5000,,G0005,100
10001021,10001,6000,,G0005,100
10001022,10001,7000,,G0005,200
10001023,10001,8000,,G0005,200
10001024,10001,9000,,G0005,200
10001025,10001,10000,,G0005,200
10001026,10001,12000,,G0005,200
10001027,10001,14000,,G0005,200
10001028,10001,16000,,G0005,200
10001029,10001,18000,,G0005,200
10001030,10001,20000,,G0005,200
10001031,10001,22500,,G0005,200
10001032,10001,25000,,G0005,200
10001033,10001,27500,,G0005,300
10001034,10001,30000,,G0005,300
10001035,10001,32500,,G0005,300
10001036,10001,35000,,G0005,300
10001037,10001,37500,,G0005,300
10001038,10001,40000,,G0005,300
10001039,10001,42500,,G0005,300
10001040,10001,45000,,G0005,300
10001041,10001,50000,,G0005,300
10002001,10002,10,,G0001,1000
10002002,10002,50,,G0001,10000
10002003,10002,100,,G0001,10000
10002004,10002,150,,G0001,10000
10002005,10002,200,,G0001,10000
10002006,10002,300,,G0001,10000
10002007,10002,400,,G0001,10000
10002008,10002,600,,G0001,20000
10002009,10002,800,,G0001,20000
10002010,10002,1000,,G0001,20000
10002011,10002,1500,,G0001,20000
10002012,10002,2000,,G0001,50000
10002013,10002,2500,,G0001,50000
10002014,10002,3000,,G0001,50000
10002015,10002,4000,,G0001,50000
10002016,10002,5000,,G0001,100000
10002017,10002,6000,,G0001,100000
10002018,10002,8000,,G0001,100000
10002019,10002,10000,,G0001,100000
10002020,10002,15000,,G0001,100000
10002021,10002,20000,,G0001,100000
10002022,10002,25000,,G0001,100000
10002023,10002,30000,,G0001,200000
10002024,10002,40000,,G0001,200000
10002025,10002,50000,,G0001,200000
10002026,10002,60000,,G0001,200000
10002027,10002,70000,,G0001,400000
10002028,10002,80000,,G0001,400000
10002029,10002,90000,,G0001,400000
10002030,10002,100000,,G0001,400000
10002031,10002,120000,,G0001,400000
10002032,10002,140000,,G0001,500000
10002033,10002,160000,,G0001,500000
10002034,10002,180000,,G0001,500000
10002035,10002,200000,,G0001,500000
10002036,10002,220000,,G0001,500000
10002037,10002,240000,,G0001,1000000
10002038,10002,260000,,G0001,1000000
10002039,10002,280000,,G0001,1000000
10002040,10002,300000,,G0001,1000000
10002041,10002,320000,,G0001,1000000
10003001,10003,10,,G0001,1000
10003002,10003,50,,G0001,10000
10003003,10003,100,,G0001,10000
10003004,10003,150,,G0001,10000
10003005,10003,200,,G0001,10000
10003006,10003,300,,G0001,10000
10003007,10003,400,,G0001,10000
10003008,10003,600,,G0001,20000
10003009,10003,800,,G0001,20000
10003010,10003,1000,,G0001,20000
10003011,10003,1500,,G0001,20000
10003012,10003,2000,,G0001,50000
10003013,10003,2500,,G0001,50000
10003014,10003,3000,,G0001,50000
10003015,10003,4000,,G0001,50000
10003016,10003,5000,,G0001,100000
10003017,10003,6000,,G0001,100000
10003018,10003,8000,,G0001,100000
10003019,10003,10000,,G0001,100000
10003020,10003,15000,,G0001,100000
10003021,10003,20000,,G0001,100000
10003022,10003,25000,,G0001,100000
10003023,10003,30000,,G0001,200000
10003024,10003,40000,,G0001,200000
10003025,10003,50000,,G0001,200000
10003026,10003,60000,,G0001,200000
10003027,10003,70000,,G0001,400000
10003028,10003,80000,,G0001,400000
