Type,Category,ValueType,InitialValue,NameKey,DescKey,UIOrder
91001,9,,,AchiName91001,AchiDesc91001,
91002,9,,,AchiName91002,AchiDesc91002,
91003,9,,,AchiName91003,AchiDesc91003,
91004,9,,,AchiName91004,AchiDesc91004,
91005,9,,,AchiName91005,AchiDesc91005,
99001,9,,,AchiName99001,AchiDesc99001,
99002,9,,,AchiName99002,AchiDesc99002,
90001,9,,,AchiName90001,AchiDesc90001,
90002,9,,,AchiName90002,AchiDesc90002,
90003,9,,,AchiName90003,AchiDesc90003,
90004,9,,,AchiName90004,AchiDesc90004,
90005,9,,,AchiName90005,AchiDesc90005,
90006,9,,,AchiName90006,AchiDesc90006,
90007,9,,,AchiName90007,AchiDesc90007,
90008,9,,,AchiName90008,AchiDesc90008,
90009,9,,,AchiName90009,AchiDesc90009,
90010,9,,,AchiName90010,AchiDesc90010,
90011,9,,,AchiName90011,AchiDesc90011,
90012,9,,,AchiName90012,AchiDesc90012,
90013,9,,,AchiName90013,AchiDesc90013,
90014,9,,,AchiName90014,AchiDesc90014,
90015,9,,,AchiName90015,AchiDesc90015,
90016,9,,,AchiName90016,AchiDesc90016,
90017,9,,,AchiName90017,AchiDesc90017,
90018,9,,,AchiName90018,AchiDesc90018,
90019,9,,,AchiName90019,AchiDesc90019,
90020,9,,,AchiName90020,AchiDesc90020,
90021,9,,,AchiName90021,AchiDesc90021,
90022,9,,,AchiName90022,AchiDesc90022,
90023,9,,,AchiName90023,AchiDesc90023,
90024,9,,,AchiName90024,AchiDesc90024,
90025,9,,,AchiName90025,AchiDesc90025,
90026,9,,,AchiName90026,AchiDesc90026,
90027,9,,,AchiName90027,AchiDesc90027,
90028,9,,,AchiName90028,AchiDesc90028,
90029,9,,,AchiName90029,AchiDesc90029,
90030,9,,,AchiName90030,AchiDesc90030,
90031,9,,,AchiName90031,AchiDesc90031,
90032,9,,,AchiName90032,AchiDesc90032,
90033,9,,,AchiName90033,AchiDesc90033,
90034,9,,,AchiName90034,AchiDesc90034,
90035,9,,,AchiName90035,AchiDesc90035,
95001,9,,,AchiName95001,AchiDesc95001,
95002,9,,,AchiName95002,AchiDesc95002,
95003,9,,,AchiName95003,AchiDesc95003,
95004,9,,,AchiName95004,AchiDesc95004,
95005,9,,,AchiName95005,AchiDesc95005,
95006,9,,,AchiName95006,AchiDesc95006,
95007,9,,,AchiName95007,AchiDesc95007,
95008,9,,,AchiName95008,AchiDesc95008,
95009,9,,,AchiName95009,AchiDesc95009,
95010,9,,,AchiName95010,AchiDesc95010,
95011,9,,,AchiName95011,AchiDesc95011,
95012,9,,,AchiName95012,AchiDesc95012,
95013,9,,,AchiName95013,AchiDesc95013,
95014,9,,,AchiName95014,AchiDesc95014,
95015,9,,,AchiName95015,AchiDesc95015,
95016,9,,,AchiName95016,AchiDesc95016,
95017,9,,,AchiName95017,AchiDesc95017,
95018,9,,,AchiName95018,AchiDesc95018,
95019,9,,,AchiName95019,AchiDesc95019,
95020,9,,,AchiName95020,AchiDesc95020,
95021,9,,,AchiName95021,AchiDesc95021,
95022,9,,,AchiName95022,AchiDesc95022,
95023,9,,,AchiName95023,AchiDesc95023,
95024,9,,,AchiName95024,AchiDesc95024,
95025,9,,,AchiName95025,AchiDesc95025,
95026,9,,,AchiName95026,AchiDesc95026,
95027,9,,,AchiName95027,AchiDesc95027,
10001,1,,,AchiName10001,AchiDesc10001,1
10002,1,,,AchiName10002,AchiDesc10002,5
10003,1,,,AchiName10003,AchiDesc10003,6
10004,1,,,AchiName10004,AchiDesc10004,7
10005,1,,,AchiName10005,AchiDesc10005,8
10006,1,,,AchiName10006,AchiDesc10006,9
10007,1,,,AchiName10007,AchiDesc10007,4
10008,1,,3,AchiName10008,AchiDesc10008,10
