EarningLevel,ManagementLevel,BestRecipeEarnings,AccumEarnings,ServingEmployeeWarningLevel,BurgerOrderCountMin,BurgerOrderCountMax,ExpectedRecipeAttractive,StoreAttractiveLevel
1,0,1500,10000,15,3,3,5,1001
2,0,3000,30000,15,3,3,10,1001
3,0,5000,50000,15,3,4,10,1004
4,0,50000,100000,15,4,4,13.750000000000002,1005
5,0,100000,200000,15,4,4,19.25,1101
6,0,200000,300000,15,4,5,19.25,1101
7,1,300000,500000,15,4,5,19.25,1101
8,1,500000,750000,15,5,5,19.25,1103
9,1,600000,1000000,15,5,6,19.25,1103
10,1,700000,1500000,16,6,7,22,1104
11,1,1000000,2000000,17,7,7,22,1104
12,1,1200000,3000000,18,7,8,22,1106
13,2,1300000,4000000,19,7,8,22,1106
14,2,1400000,5000000,20,8,8,22,1106
15,2,1600000,6000000,21,8,9,22,1203
16,2,1900000,8000000,22,9,9,22,1205
17,2,2000000,10000000,23,9,10,24.750000000000004,1206
18,2,3000000,15000000,24,9,10,24.750000000000004,1206
19,3,3500000,20000000,24,9,10,24.750000000000004,1206
20,3,4000000,25000000,24,9,10,27,1208
21,3,5000000,30000000,25,10,10,27,1210
22,3,6000000,50000000,26,10,10,27,1303
23,3,6500000,60000000,27,10,11,27,1303
24,3,7000000,70000000,27,10,11,30,1303
25,3,8000000,80000000,28,11,11,30,1303
26,3,9000000,100000000,29,11,11,30,1305
27,3,10000000,120000000,28,11,11,30,1307
28,3,11000000,130000000,30,11,12,30,1307
29,3,12000000,160000000,30,11,12,33,1308
30,3,13000000,180000000,30,11,12,33,1308
31,4,13500000,200000000,30,12,12,33,1308
32,4,14000000,200000000,31,12,12,33,1308
33,4,14500000,220000000,32,12,12,33,1310
34,4,15000000,240000000,33,12,13,33,1310
35,4,16700000,260000000,33,12,13,34.375,1312
36,4,17800000,280000000,33,13,13,34.375,1401
37,4,19000000,300000000,34,13,13,34.375,1401
38,4,20000000,350000000,35,13,13,34.375,1402
39,4,23000000,400000000,36,13,14,34.5,1402
40,4,24000000,450000000,36,13,14,34.5,1404
41,4,25000000,500000000,36,13,14,35.75,1407
42,4,27000000,550000000,36,13,14,35.75,1407
43,5,28000000,600000000,36,14,14,35.75,1407
44,5,28900000,650000000,37,14,14,35.75,1407
45,5,29000000,700000000,38,14,14,35.75,1408
46,5,31000000,750000000,39,14,15,35.75,1408
47,5,35000000,800000000,39,14,15,35.75,1408
48,5,36000000,900000000,39,14,15,35.75,1411
49,5,37000000,950000000,39,15,15,35.75,1411
50,5,38000000,1000000000,39,15,15,35.75,1412
51,5,39000000,1100000000,40,15,15,35.75,1412
52,5,40000000,1200000000,41,15,15,35.75,1412
53,5,42000000,1300000000,42,15,16,35.75,1501
54,5,44000000,1400000000,42,15,16,38.5,1501
55,5,45000000,1500000000,42,15,16,38.5,1501
56,5,46000000,1600000000,42,16,16,38.5,1502
57,5,48000000,1700000000,43,16,17,38.5,1502
58,5,49000000,1800000000,46,16,17,38.5,1503
59,5,50000000,1900000000,45,17,17,40,1504
60,5,60000000,2000000000,45,17,17,40,1504
61,5,70000000,2100000000,45,17,17,40,1504
62,5,75000000,2200000000,45,17,17,40,1504
63,5,78000000,2300000000,45,17,17,40,1504
64,5,79000000,2400000000,45,17,17,40,1504
65,5,80000000,2500000000,45,17,17,40,1504
66,5,81000000,2600000000,45,17,17,40,1504
67,5,82000000,2700000000,45,17,17,40,1504
68,5,83000000,2800000000,45,17,17,40,1504
69,5,84000000,2900000000,45,17,17,40,1504
70,5,85000000,3000000000,45,17,17,40,1504
71,5,86000000,3200000000,45,17,17,40,1504
72,5,87000000,3400000000,45,17,17,40,1504
73,5,88000000,3600000000,45,17,17,40,1504
74,5,90000000,3800000000,45,17,17,40,1504
75,5,91000000,4000000000,45,17,17,40,1504
76,5,92000000,4200000000,45,17,17,40,1504
77,5,93000000,4400000000,45,17,17,40,1504
78,5,94000000,4600000000,45,17,17,40,1504
79,5,95000000,4800000000,45,17,17,40,1504
80,5,96000000,5000000000,45,17,17,40,1504
81,5,97000000,5500000000,45,17,17,40,1504
82,5,98000000,6000000000,45,17,17,40,1504
