ConfigType,ConfigValue
TipDropProb,0.75
TipDropValueRangeRate,0.25
TipLifeTimeOnTheFloor,35
WorkProgressConstant1,1
WorkProgressConstant2,0.8
WorkProgressConstant3,100
WorkProgressConstant4,-1
WorkProgressCookTimeConstant,2.2
WorkProgressCookStatConstant,-12
WorkProgressServingTimeConstant,2.2
WorkProgressServingStatConstant,-8
WorkDurationMin,2
WorkDurationMax,61
ServingWorkValueConstant,2.2
TickForGainPlaceExp,6
CustomerSpawnCountExtraRate,0.1
CustomerOrderWeightForPositiveTrend,0.6
CustomerEnterWeightForNegativeTrend,0.6
RecipeIngreCardRerollCostIncrement,2
RecipeIngreCardRerollCostStartValue,100
RecipeBalanceSucessBonus,1.25
RecipeBalanceFailPenalty,0.5
RecipeBunCombinationBonus,1.2
RecipeComboBonusRate,0.04
RecipeMaxScore,10000
BurgerTagCount,6
AttractiveScoreBonusRateForTrialWin,0.1
AttractiveScorePerStoreSizeLevel,30
AttractiveScorePerStoreInteriorLevel,20
StoreSizeLevelCount,6
StoreInteriorLevelCount,3
AttractiveScoreDownForNegativeTrendRecipe,0.99
CustomerOrderRandomRateValue,0.05
InTutorialPlay1GuaranteeRate,0.45
InTutorialPlay2GuaranteeRate,0.32
InTutorialPlay3GuaranteeRate,0.24
InTutorialPlay4GuaranteeRate,0.18
NotAnyTrendGuaranteeRate,0.17
PositiveTrendGuaranteeRate,0.65
PosAndNegaTrendGuaranteeRate,0.65
NegativeTrendGuaranteeRate,0.2
NegativeTagOrderRate,0.1
FestivalPeriodForTraining,6
TrainingAvailableCountPerPeriod,2
HeartValuePerWorkStatExp,5
CloverValuePerDay,2
TurnAroundTimeForTrainingAuto,60
CustomerGroup1CountRate,0.2
CustomerGroup2CountRate,0.3
CustomerGroup3CountRate,0.4
CustomerGroup4CountRate,0.5
CustomerGroup5CountRate,0.6
CustomerGroup6CountRate,0.75
CustomerGroup7CountRate,0.85
TrainingHotSpotCustomerBonusRate,0.5
CustomerCountRandomRate,0.05
SubscribeIngreBoxGetCountPerMonth,1
CoolDownForRepeatedReportMsg,10
GraphHeightMinValue,1000
TastGradeIndexForAchievementType95002,3
TastGradeIndexForAchievementType95007,18
TastGradeIndexForAchievementType95008,7
TastGradeIndexForAchievementType95009,9
TastGradeIndexForAchievementType95010,11
TastGradeIndexForAchievementType95011,13
TastGradeIndexForAchievementType95012,15
TastGradeIndexForAchievementType95013,5
TastGradeIndexForAchievementType95014,6
TastGradeIndexForAchievementType95015,8
TastGradeIndexForAchievementType95016,10
TastGradeIndexForAchievementType95017,12
TastGradeIndexForAchievementType95018,14
TastGradeIndexForAchievementType95019,16
TastGradeIndexForAchievementType95020,17
TastGradeIndexForAchievementType95021,18
TastGradeIndexForAchievementType95022,19
TastGradeIndexForAchievementType95023,20
TastGradeIndexForAchievementType95024,21
TastGradeIndexForAchievementType95025,22
TastGradeIndexForAchievementType95026,23
TastGradeIndexForAchievementType95027,24
TestSlackLogManagementLevel,3
TestSlackLogMonthlyRecipeEarnings,150000
ReputationReviewStar1Score,-10
ReputationReviewStar2Score,-5
