Level,Value,ConditionType,ConditionValue1,ConditionValue2,ConditionValue3,ConditionValue4,ConditionValue5,ConditionValue6,ConditionValue7,ConditionValue8,ConditionValue9
0,0,Achievement,,,,,,,,,
1,1,Achievement,,,,,,,,,
2,2,Achievement,,,,,,,,,
3,3,Achievement,10008002,,,,,,,,
4,4,Achievement,10008004,10008001,,,,,,,
5,5,Achievement,10008006,10008001,10008001,,,,,,
6,6,Achievement,10008006,10008001,10008001,10008001,,,,,
7,7,Achievement,10008009,10008002,10008001,10008001,10008001,,,,
8,8,Achievement,10008009,10008002,10008001,10008001,10008001,10008001,,,
9,9,Achievement,10008009,10008004,10008002,10008001,10008001,10008001,,,
10,10,Achievement,10008009,10008004,10008002,10008001,10008001,10008001,10008001,10008001,
11,11,Achievement,10008009,10008009,10008002,10008002,10008001,10008001,10008001,10008001,
12,12,Achievement,10008009,10008009,10008002,10008002,10008001,10008001,10008001,10008001,10008001
13,13,Achievement,10008014,10008014,10008004,10008002,10008003,10008001,10008001,10008001,10008001
14,14,Achievement,10008014,10008014,10008004,10008002,10008003,10008001,10008001,10008001,10008001
15,15,Achievement,10008014,10008014,10008004,10008002,10008003,10008003,10008001,10008001,10008001
16,16,Achievement,10008014,10008014,10008004,10008004,10008003,10008003,10008001,10008001,10008001
17,17,Achievement,10008014,10008014,10008009,10008004,10008003,10008003,10008001,10008001,10008001
18,18,Achievement,10008014,10008014,10008009,10008004,10008003,10008003,10008003,10008001,10008001
19,19,Achievement,10008014,10008014,10008009,10008004,10008003,10008003,10008003,10008001,10008001
20,20,Achievement,10008014,10008014,10008009,10008004,10008003,10008003,10008003,10008003,10008001
21,21,Achievement,,,10008014,10008009,10008003,10008003,10008003,10008003,10008001
22,22,Achievement,,,10008014,10008009,10008005,10008003,10008003,10008003,10008001
23,23,Achievement,,,10008014,10008009,10008005,10008003,10008003,10008003,10008003
24,24,Achievement,,,10008014,10008009,10008005,10008003,10008003,10008003,10008003
25,25,Achievement,,,10008014,10008009,10008005,10008005,10008003,10008003,10008003
26,26,Achievement,,,10008014,10008014,10008005,10008005,10008003,10008003,10008003
27,27,Achievement,,,10008014,10008014,10008005,10008005,10008003,10008003,10008003
28,28,Achievement,,,10008014,10008014,10008005,10008005,10008003,10008003,10008003
29,29,Achievement,,,10008014,10008014,10008005,10008005,10008005,10008003,10008003
30,30,Achievement,,,10008014,10008014,10008005,10008005,10008005,10008003,10008003
31,31,Achievement,,,10008014,10008014,10008008,10008005,10008005,10008003,10008003
32,32,Achievement,,,10008014,10008014,10008008,10008005,10008005,10008005,10008003
33,33,Achievement,,,,10008014,10008008,10008005,10008005,10008005,10008003
34,34,Achievement,,,,10008014,10008008,10008005,10008005,10008005,10008005
35,35,Achievement,,,,10008014,10008008,10008005,10008005,10008005,10008003
36,36,Achievement,,,,10008014,10008008,10008008,10008005,10008005,10008005
37,37,Achievement,,,,10008014,10008011,10008008,10008005,10008005,10008005
38,38,Achievement,,,,10008014,10008011,10008008,10008005,10008005,10008005
39,39,Achievement,,,,10008014,10008011,10008008,10008005,10008005,10008005
40,40,Achievement,,,,10008014,10008011,10008008,10008005,10008005,10008005
41,41,Achievement,,,,10008014,10008011,10008008,10008008,10008005,10008005
42,42,Achievement,,,,10008014,10008011,10008008,10008008,10008005,10008005
43,43,Achievement,,,,,10008011,10008011,10008008,10008005,10008005
44,44,Achievement,,,,,10008011,10008011,10008008,10008008,10008005
45,45,Achievement,,,,,10008011,10008011,10008008,10008008,10008005
46,46,Achievement,,,,,10008011,10008011,10008008,10008008,10008005
47,47,Achievement,,,,,10008011,10008011,10008008,10008008,10008005
48,48,Achievement,,,,,10008011,10008011,10008008,10008008,10008005
49,49,Achievement,,,,,10008011,10008011,10008008,10008008,10008005
50,50,Achievement,,,,,10008014,10008011,10008011,10008008,10008005
51,51,Achievement,,,,,10008014,10008011,10008011,10008008,10008005
52,52,Achievement,,,,,10008014,10008011,10008011,10008008,10008008
53,53,Achievement,,,,,10008014,10008011,10008011,10008008,10008008
54,54,Achievement,,,,,10008014,10008011,10008011,10008008,10008008
55,55,Achievement,,,,,10008014,10008011,10008011,10008008,10008008
56,56,Achievement,,,,,10008014,10008011,10008011,10008011,10008008
57,57,Achievement,,,,,10008014,10008011,10008011,10008011,10008008
58,58,Achievement,,,,,10008014,10008014,10008011,10008011,10008008
59,59,Achievement,,,,,10008014,10008014,10008011,10008011,10008008
