Level,ProductName,21ad8c8b33f34d5aa8be5827a7b07246,9dd0371e2be84578a5ced7de60f44f29,Price,MaxPoint,RequiredEarningRate,GaugeWidth,UIDiscountRate
1,PiggyBankLevel1,5GO0K0N1Q,NV5UC2VU1,45,200,0.3,300,0
2,PiggyBankLevel2,PU7S94ES6,B0HUVWIBC,50,240,0.25,308,17
3,PiggyBankLevel3,TY6HE7VDZ,RF8RL3SSZ,96,480,0.12,337,20
4,PiggyBankLevel4,FRFFDI2CL,2Z9G87OV3,141,720,0.08,366,22
5,PiggyBankLevel5,PFLRUNRQM,G3I0F9RAZ,210,1010,0.06,395,17
6,PiggyBankLevel6,LLZVW9VKE,CJA9IXJNJ,260,1320,0.05,424,21
7,PiggyBankLevel7,H3OY64VG7,2JGEHBGZE,310,1650,0.04,453,25
8,PiggyBankLevel8,CDPF9LLD7,RLFLAJTZQ,410,2230,0.03,482,26
9,PiggyBankLevel9,P83ETH7YW,LKI4FVVUM,510,2900,0.02,511,30
10,PiggyBankLevel10,ONDYB8KXQ,K7MIDKRPF,580,3480,0.02,540,33
