ProductId,LinkedShopId,PutoutType,PutoutValue,SortingOrder,Price,SaleRate,ItemId,ItemCount,MaxQuantity,PurchaseCondition,PurchaseConditionValue,UnlockCondition,UnlockConditionValue
1,7,Independent,100001,1,50,,M0001,1,0,,,,
2,7,Independent,100001,2,200,,M0002,1,0,,,ManagementLevel,2
3,7,Independent,100001,3,750,,M0003,1,0,,,ManagementLevel,3
4,7,Independent,100001,4,2400,,M0004,1,0,,,ManagementLevel,4
5,7,Independent,100001,5,5000,,M0005,1,0,,,ManagementLevel,5
6,6,Independent,100001,1,50,,M1001,1,0,,,,
7,6,Independent,100001,2,200,,M1002,1,0,,,ManagementLevel,2
8,6,Independent,100001,3,750,,M1003,1,0,,,ManagementLevel,3
9,6,Independent,100001,4,2400,,M1004,1,0,,,ManagementLevel,4
10,6,Independent,100001,5,5000,,M1005,1,0,,,ManagementLevel,5
11,5,Independent,100001,3,30,,G0002,1,0,,,,
12,5,Independent,100001,2,50,,M3001,1,0,,,,
13,5,Independent,100001,1,50,,M3002,1,0,,,,
14,4,Independent,100001,1,100,,S1001,1,0,,,,
15,4,Independent,100001,2,180,0.1,S1002,1,0,,,ManagementLevel,1
16,4,Independent,100001,3,280,0.3,S1003,1,0,,,ManagementLevel,1
17,4,Independent,100001,4,250,,S2001,1,0,,,ManagementLevel,2
18,4,Independent,100001,5,450,0.1,S2002,1,0,,,ManagementLevel,3
19,4,Independent,100001,6,700,0.3,S2003,1,0,,,ManagementLevel,3
20,4,Independent,100001,7,500,,S3001,1,0,,,ManagementLevel,4
21,4,Independent,100001,8,900,0.1,S3002,1,0,,,ManagementLevel,5
22,4,Independent,100001,9,1400,0.3,S3003,1,0,,,ManagementLevel,5
