21ad8c8b33f34d5aa8be5827a7b07246,9dd0371e2be84578a5ced7de60f44f29,LinkedShopId,ItemId,PackageBenefitValue,BonusDiamondValue,SlotNum,ProductLevel,ItemCount,Price,UISlotModel
1,1,1004,M4001,,,3,0,-1,200,SpecialItem1
2,2,1004,M4002,,,2,0,-1,100,SpecialItem1
3,3,1004,M4003,,,1,0,-1,100,SpecialItem1
WEG3800OM,8FBYP67DE,1001,P0001,,,2,0,1,320,StarterPack1
Q1RI4SF9L,S5NQE1HK5,1001,P0002,,,1,0,1,680,StarterPack2
PR17TDWAS,7BL48XEBC,1002,P1001,,,4,1,1,80,SpecialPackage1
2ULQZTQY7,S21YJX4K8,1002,P1002,,,3,1,1,150,SpecialPackage1
9RH0CPRPW,U4G9LXKH3,1002,P1003,,,2,1,1,150,SpecialPackage1
U00LAIP8O,6LUNJ97DL,1002,P1004,,,1,1,1,370,SpecialPackage1
2SIG58E5Z,RBIL67ZKX,1002,P1005,1.25,,4,2,-1,160,SpecialPackage2
62QNDXVTV,KOU7OR5V3,1002,P1006,1.25,,3,2,-1,300,SpecialPackage2
F48ZK0NL1,A5E929V5Z,1002,P1007,1.25,,2,2,-1,300,SpecialPackage2
VNZO9LGVS,I3NPT1JHH,1002,P1008,1.35,,1,2,-1,740,SpecialPackage2
8VGG3KQ8X,OB8OMSVDF,1003,D1001,,200,6,1,1,50,DiamondPack1
8BYHM9H2K,ZKU0D3NLY,1003,D1002,,600,5,1,1,125,DiamondPack1
2W8UMBRVK,9JJQUU7Y5,1003,D1003,,1200,4,1,1,250,DiamondPack1
SMNBUJ095,7FQUK21C6,1003,D1004,,3600,3,1,1,750,DiamondPack1
FDBYB7PPK,ZFMLE92VT,1003,D1005,,7500,2,1,1,1500,DiamondPack1
WT2E9ZNT3,TFR2OPTBS,1003,D1006,,15000,1,1,1,3000,DiamondPack1
U6JWU6KSW,FNKEJ9V1D,1003,D2001,,,6,2,-1,50,DiamondPack2
SQEB2Y1FC,ZD7N7V37J,1003,D2002,,,5,2,-1,125,DiamondPack2
VHFMUF8LO,9CW31V0EC,1003,D2003,,,4,2,-1,250,DiamondPack2
QPPHUPMDP,21TRF5BM1,1003,D2004,,,3,2,-1,750,DiamondPack2
QBAGV8143,WMHE52BG5,1003,D2005,,,2,2,-1,1500,DiamondPack2
EU0HAG4CK,H9BW6MYTS,1003,D2006,,,1,2,-1,3000,DiamondPack2
