PassLevelId,PassLevelDesc,StageId,StageProgress
101,PassLevelDesc101,2,0
102,PassLevelDesc102,2,1
103,PassLevelDesc103,2,2
104,PassLevelDesc104,2,3
105,PassLevelDesc105,2,4
106,PassLevelDesc106,2,5
107,PassLevelDesc107,2,6
108,PassLevelDesc108,3,0
109,PassLevelDesc109,3,1
110,PassLevelDesc110,3,2
111,PassLevelDesc111,3,3
112,PassLevelDesc112,3,4
113,PassLevelDesc113,3,5
114,PassLevelDesc114,3,6
115,PassLevelDesc115,4,0
116,PassLevelDesc116,4,1
117,PassLevelDesc117,4,2
118,PassLevelDesc118,4,3
119,PassLevelDesc119,4,4
120,PassLevelDesc120,4,5
121,PassLevelDesc121,4,6
201,PassLevelDesc201,5,0
202,PassLevelDesc202,5,1
203,PassLevelDesc203,5,2
204,PassLevelDesc204,5,3
205,PassLevelDesc205,5,4
206,PassLevelDesc206,5,5
207,PassLevelDesc207,5,6
208,PassLevelDesc208,6,0
209,PassLevelDesc209,6,1
210,PassLevelDesc210,6,2
211,PassLevelDesc211,6,3
212,PassLevelDesc212,6,4
213,PassLevelDesc213,6,5
214,PassLevelDesc214,6,6
215,PassLevelDesc215,7,0
216,PassLevelDesc216,7,1
217,PassLevelDesc217,7,2
218,PassLevelDesc218,7,3
219,PassLevelDesc219,7,4
220,PassLevelDesc220,7,5
221,PassLevelDesc221,7,6
222,PassLevelDesc222,8,0
223,PassLevelDesc223,8,1
224,PassLevelDesc224,8,2
225,PassLevelDesc225,8,3
226,PassLevelDesc226,8,4
227,PassLevelDesc227,8,5
228,PassLevelDesc228,8,6
229,PassLevelDesc229,9,0
230,PassLevelDesc230,9,1
231,PassLevelDesc231,9,2
232,PassLevelDesc232,9,3
233,PassLevelDesc233,9,4
234,PassLevelDesc234,9,5
235,PassLevelDesc235,9,6
