SynergyID,RUID1,RUID2,RUID3,RUID4,RUID5,SoundID,Name
S10015,e37c2ac60f1c47f8a18165a24948bf91,5ad2cc7e888c466a8c2e16112929b69f,307562624b2141e9b05655874a54f6c1,e4ed0f1e35014726be17137fcc2774dd,,"M0012,M0013,M0155,M0156",시간의 신전
S10010,7ec618a092d244bb8119a79538b340aa,,,,,M0015,저격수
S10008,59821142bbd048aca7e9a6a2fbaf7a65,e4d7fc91ece043e68472d865ca36dd4e,,,,M0014,추격자
S10006,8099cdcba64641e5a03bff09fa29f876,,,,,"M0016,M0170",사냥꾼
S10009,af55fcb744604ac5aa3b8f9955b30c72,a66fc22314704d0397aa52c453e9ddf2,,,,M0017,싸움꾼
S10003,bb387c49a5834aabb6f250241829241a,fe701a8edcd141b4bb7297aa2274fc41,,,,M0018,선봉장
S10005,ab453d4975724f92bd67124b1591300e,b8a027a9eff84f12b6dfe1045acebf7d,38430f4627df466bb93699b69e64b203,5ef85d4e75de4a409707d3c799db3d55,,"M0019,M0020",책사
S10002,3f4de8e515bc4c1fb647555b070abf8a,024cb0b764e84b9985776cdec21cc07c,,,,M0021,수호대
S10004,4d191cfbf7ea450f9a06d4726b394cf5,a33c3c5df06c419eabe7b08257c2b8fc,fd97ea853dcd487b8c32b48d9aa8a867,,,M0023,마법사
S10007,dd9f7e4325514a719c13cdaf9bf44dd6,b6dbe98f30cd47b382d78af1665e60af,,,,"M0024,M0022",그림자
S10011,dfd59bac4c1a4279be8844e81130f6ec,,,,,M0025,방해꾼
S10016,070a627ffe164af288bd24eee2b9316d,f498defc52ea4c9a9a158de3ea032bb4,,,,M0027,엘나스
S10018,7575709bc65a4be7beb960baf7d478c1,94258e012b4f4292b74150179a76d927,,,,M0028,슬리피우드
S10001,0ca745f911b9434b951c66c4ab24e01c,32a513c480184526bc464298535aac31,,,,"M0029,M0169",마스코트
S10019,1b85984ff24341b7b96b688dc3b211c5,f2ccbccd7a0549cdb31f0a34640d2ed6,,,,"M0030,M0158",루디브리엄
S10024,"bf08f4db27a3416fb2aae0160bb86e88,deedea5f8cd243b688d1590718d0bd79,dbb15f59847248309a0acff5a069047b,8f3639792c4d4605b779ca576b9ac9f6,accdf67cc0154385b03faa04bc6e9f2b","8f1608f2028143118810706707a4ac42,238b458de90841b0b656058c2795fcc6,b8c04a7c9e1b4ea2842501b0516de983,ef55f907d8464415ad32ee96ebbff5c0,e2299d72468a445b9c9ff23e26c67a54","1ea1269e1d9d4314bb44665290ec8574,db5d5f642e654feaaee43d7527058ba6","0bb4d2d4b34f4fa58cef6e28a8b927c0,0862f34c2d4b4f4cbddffd20df37b422",,"M0031,M0157",전직교관
S10025,ff0e3c8f36874931a20416693d146f01,8cc42832beeb4769ac44af0cc63d0568,0e39664580ff4f23bd030b8c0d404ecd,daae13099bfe4a31b4a8c393786f6ace,0fa89a0ff48146e38b2504664e451022,M0032,기사단장
S10020,"model://f9228a70-a9b0-482f-a1ae-078ffb868f8c,model://b490812e-99be-4143-b585-f0526935dc50,model://c22745b7-2e29-4283-90e6-40b2e640f319,model://7e0ec82e-2ff1-46e2-aed7-b9e1f841855c",0b300a5bbd2348cfbc0992bb54403f31,87d5403a244b4c6193d1ffd5445d9951,,,M0033,아케인리버
S10021,76c95b7e514f4cf99dd607c9817d1da2,be2c6b507e954309996c562e17cff886,12a4e74272af4255bcbb809ce4bb6fd5,05c4d2eca5d7424d89c53abf25e6f038,,"M0034,M0167,M0168,M0169",오르비스
S10022,4f73a30be6dd42de96838d1d1353e819,e385765483574c089bd3371e89c87287,,,,M0035,시그너스
S10023,b762c666e9004f6c93cbfd340d90e410,837371a733824a239a6edc25080fef6d,"263aef4fb9da468bbc8987c9745c0259,9f3f5530cf80475881d801d9e713db2f,2a4d831171234d3695c2f5d539ae9c4b,6c67af9a70b84e3484070b07e2700d42","74750c3ee1d7440baef3eeba2ef334b8,7ab6047a4b8f465e82e4f6d320569d84,0424d208ef3746f2872165f976100e17,7dfc11368f03428fb832dee0c0ff3f8f",,M0036,모험가
S10017,fc2faa9a98a946dd9ac4f36a6c69897b,,,,,M0037,빅토리아아일랜드
S10031,14e37b1476d247e7b93e30f48e365184,f81718b8b9424b9aa551ca92e7b2d5e0,58a7d48901d64cc8a4a5d7c2a6c1174c,"c5fe1494a93047208835dd9e75a5f48f,f4867181a293497193012c164cb93dcd,6b6609342589404ca21175d14473a1bb,124e5b8736ef4e169d79dd4ee401f8e6,304ac1ee9b5e4e6193830a3b13f43d7c,d9cc7da040db417eb7103c99a78228f8",,M0213,아랫마을
S10032,6b6f6b2f85c24c1e94ec1b596c8600dd,6f92eac94cd643c2841e16e6e493349f,,,,"M0211,M0212",마가티아
