ChallengeID,CHTitle,Desc,SetSeason,TitleImageRUID
CH10001,참는 자에게 돈이 있다,"* 최초 시작 시 '바이킨' 룬 카드를 5장 소지한 상태로 시작합니다. (매 라운드마다 판매 가치 +2)
* 게임 중 이자와 승리 보너스를 얻지 못합니다.",1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10002,해피 크리스마스,* 모든 완성 아이템이 '산타 장갑'이 됩니다.,1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10003,화수분,"* 캐릭터 상점을 새로고침할 수 없으며, 대신 판매 및 파괴 불가능한 '기억하고 있는 자' 룬 카드를 3장 보유합니다.",1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10004,정복자,"* 아이템 상점을 이용할 수 없습니다. 대신 '조교 챙' 룬 카드를 보유한 상태로 시작합니다. (적 처치 시 5% 확률로 무작위 아이템 획득)
* 스테이지를 이동할 때마다 '길 잃은 병정' 룬 카드를 획득합니다. (전투 시작 시, 3개의 임시 아이템을 무작위 아군에게 지급)",1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10005,유전무죄,"* 77코인을 들고 게임을 시작합니다.
* 2스테이지부터, 100코인을 넘지 못하는 만큼 아군의 가해량이 감소합니다. (ex. 95코인을 보유하는 경우, 가해량 5% 감소)",1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10006,녹슨 장비,"* 라운드 종료 시, 아군이 장착한 모든 아이템들이 각각 25% 확률로 소멸됩니다. 상징 아이템은 소멸하지 않습니다.",1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10007,아르바이트,* 상점에서 판매하는 모든 룬 카드가 '5턴 뒤 소각' 태그를 보유합니다.,1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10008,풀하우스,"* 최초 시작 시 '판매 및 파괴 불가능'한 룬 카드 '히나', '레인', '세라', '리나', '멍테일' 5장을 소지합니다. 
* 위 룬 카드들은 동일한 캐릭터를 여러 명 전장에 배치하는 경우 효과를 얻을 수 있습니다.",1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10009,용병,"* 매 스테이지마다 전장 및 대기석의 모든 유닛이 별 레벨은 유지한 채로 같은 등급의 무작위 유닛으로 변합니다.
* 더 이상, '덴마' 룬 카드가 상점에서 등장하지 않습니다. (대기석의 모든 유닛이 무작위 유닛으로 변함)",1,6a4bfabc91ba4eba9293495bc6e8aa22
CH10010,독점,* 룬 카드 슬롯이 단 하나로 제한됩니다.,1,f458445cac3a472f8c9f72a97d2153c86a4bfabc91ba4eba9293495bc6e8aa22
