SynergyID,Name,CharacterCount,Char_1,Char_2,Char_3,Char_4,Char_5,Char_6,Char_7,Char_8,Char_9,Char_10
S10001,마스코트,7,C10001,C10002,C10004,C10014,C20002,C30001,C50001,,,
S10002,수호대,9,C10005,C10016,C20003,C20004,C20018,C30002,C30003,C40001,C50002,
S10003,선봉장,8,C10003,C10006,C20014,C30004,C30005,C30020,C40015,C50003,,
S10004,마법사,10,C10007,C20005,C20006,C20015,C30006,C30007,C30016,C40002,C40003,C50004
S10005,책사,6,C10008,C20017,C40004,C40005,C40016,C50005,,,,
S10006,사냥꾼,10,C10009,C10010,C10015,C20016,C30008,C40006,C40007,C40012,C50006,C50007
S10007,그림자,5,C20006,C20007,C30009,C30010,C40008,,,,,
S10008,추격자,6,C10011,C10018,C10021,C20008,C30015,C40009,,,,
S10009,싸움꾼,10,C20001,C20009,C20010,C30011,C30014,C40010,C40011,C40018,C50008,C50010
S10010,저격수,5,C10012,C20011,C20022,C30013,C40013,,,,,
S10011,방해꾼,8,C10013,C10017,C20012,C20013,C30012,C30021,C40007,C40014,,
S10012,숭고한 영혼,1,C50003,,,,,,,,,
S10013,전설의 궁수,1,C50007,,,,,,,,,
S10014,여제,1,C50004,,,,,,,,,
S10015,시간의 신전,7,C10003,C10008,C20003,C20005,C30002,C40017,C50001,,,
S10016,엘나스,9,C10011,C20002,C20009,C30001,C30008,C30018,C30019,C40010,C50002,
S10017,빅토리아 아일랜드,8,C10001,C10002,C10005,C10013,C20019,C20020,C30011,C30012,,
S10018,슬리피우드,4,C20010,C30004,C30017,C40006,,,,,,
S10019,루디브리엄,6,C20006,C20021,C30003,C40004,C50008,C50012,,,,
S10020,아케인리버,4,C10004,C20012,C20013,C50005,,,,,,
S10021,오르비스,6,C10006,C10007,C10012,C20008,C40009,C50006,,,,
S10022,시그너스,10,C10009,C10019,C10020,C30005,C30006,C30009,C40005,C40007,C40011,C50004
S10023,모험가,6,C10010,C20011,C30007,C40001,C40008,C40013,,,,
S10024,전직교관,5,C20004,C30010,C30013,C40002,C50007,,,,,
S10025,기사단장,5,C20001,C20007,C40003,C40012,C50003,,,,,
S10026,예티와페페,2,C20002,C30001,,,,,,,,
S10027,발록,2,C40006,C50006,,,,,,,,
S10028,악마의 나무,1,C50002,,,,,,,,,
S10029,악몽의 지배자,1,C50005,,,,,,,,,
S10030,시계탑의 근원,1,C50008,,,,,,,,,
S10031,아랫마을,7,C10014,C10015,C20014,C20015,C30014,C40014,C50009,,,
S10032,마가티아,6,C10016,C20016,C20017,C30015,C40015,C50010,,,,
S10033,미우미우,6,C10017,C10018,C20018,C30016,C40016,C50011,,,,
S10034,처형자,5,C10019,C20019,C30017,C30018,C50012,,,,,
S10035,결투가,5,C10020,C20020,C20021,C30019,C40017,,,,,
S10036,판타스틱 테마파크,6,C10021,C20022,C30020,C30021,C40018,C50013,,,,
S10037,분노,1,C50009,,,,,,,,,
S10038,여우신의 가호,1,C50011,,,,,,,,,
S10039,보물찾기,1,C50013,,,,,,,,,
