CharID,Name,BattleOnly,SynergyCount,Synergy_1,Synergy_2,Synergy_3,SynergyName_1,SynergyName_2,SynergyName_3
C10001,슬라임,FALSE,2,S10017,S10001,,빅토리아 아일랜드,마스코트,
C10002,주황버섯,FALSE,2,S10017,S10001,,빅토리아 아일랜드,마스코트,
C10003,변형된 달팽이,FALSE,2,S10015,S10003,,시간의 신전,선봉장,
C10004,돌의 정령,FALSE,2,S10020,S10001,,아케인 리버,마스코트,
C10005,스톤골렘,FALSE,2,S10017,S10002,,빅토리아 아일랜드,수호대,
C10006,스톤볼,FALSE,2,S10021,S10003,,오르비스,선봉장,
C10007,스타픽시,FALSE,2,S10021,S10004,,오르비스,마법사,
C10008,추억의 사제,FALSE,2,S10015,S10005,,시간의 신전,책사,
C10009,노블레스,FALSE,2,S10022,S10006,,시그너스,사냥꾼,
C10010,초보자,FALSE,2,S10023,S10006,,모험가,사냥꾼,
C10011,헥터,FALSE,2,S10016,S10008,,엘나스,추격자,
C10012,네펜데스,FALSE,2,S10021,S10010,,오르비스,저격수,
C10013,루팡,FALSE,2,S10017,S10011,,빅토리아 아일랜드,방해꾼,
C10014,월묘,FALSE,2,S10031,S10001,,아랫마을,마스코트,
C10015,호돌이,FALSE,2,S10031,S10006,,아랫마을,사냥꾼,
C10016,호문,FALSE,2,S10032,S10002,,마가티아,수호대,
C10017,마루,FALSE,2,S10033,S10011,,미우미우,방해꾼,
C10018,가루나비,FALSE,2,S10033,S10008,,미우미우,추격자,
C10019,구피,FALSE,2,S10022,S10034,,시그너스,처형자,
C10020,스톰,FALSE,2,S10022,S10035,,시그너스,결투가,
C10021,벨리베어,FALSE,2,S10036,S10008,,판타스틱 테마파크,추격자,
C20001,호크아이,FALSE,2,S10025,S10009,,기사단장,싸움꾼,
C20002,페페,FALSE,3,S10016,S10001,S10026,엘나스,마스코트,예티와 페페
C20003,망각의 수호병,FALSE,2,S10015,S10002,,시간의 신전,수호대,
C20004,주먹펴고 일어서,FALSE,2,S10024,S10002,,전직교관,수호대,
