ItemID,Name,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7
IB00001,재료 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00002,공격형 재료 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00003,방어형 재료 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00004,완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00005,힘의 완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00006,민첩함의 완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00007,단단한 완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00008,현명함의 완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00009,지혜의 완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00010,충만함의 완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00011,단단함의 완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00012,치명적인 완성 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00013,소모 아이템 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IB00014,메달 상자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0001,카르마의 가위,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0002,황금 카르마의 가위,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0003,검은 보따리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0004,푸른 보따리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0005,황금 보따리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0006,나무 변환망치,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0007,황금 변환망치,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0008,수상한 초대장,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0009,거짓말 탐지기,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CI0010,하트,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MI10001,카알 대검,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MI10002,워보우,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MI10003,나무 방패,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MI10004,낡은 고깔 모자,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MI10005,고목나무 스태프,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MI10006,허름한 망토,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MI10007,노가다 목장갑,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MI10008,추 귀고리,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10001,화염의 카타나,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10002,스틸 미셀,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
NI10003,용기의 날개,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
