SynergyID,Name,NeedCount_step1,NeedCount_step2,NeedCount_step3,NeedCount_step4,NeedCount_step5,IconRUID,Desc,DescCoef,DescText,Detail_step1,Detail_step1Coef,Detail_step1Text,Detail_step2,Detail_step2Coef,Detail_step2Text,Detail_step3,Detail_step3Coef,Detail_step3Text,Detail_step4,Detail_step4Coef,Detail_step4Text,RelatedRuneID,RuneDesc,RuneDescText,RuneDescCoef_1,RuneDescCoef_2
S10001,마스코트,3,5,-,7,10,52a92954026b441b8fd61afac12e0440,S10001Desc,-,"전투가 시작할 때마다 인기도를 얻습니다. 준비 단계에 보상 받기 버튼을 누르면 누적된 인기도를 모두 소모하고, 소모한 인기도에 따라 팬들의 조공을 받습니다. 획득하는 보상은 인기도가 높을수록 많아집니다.",S10001Detail_step1,10,인기도 10,S10001Detail_step1,20,인기도 20,S10001Detail_step1,30,인기도 30,S10001Detail_step4,40,"인기도 40, 매 라운드 시작 시 인기도를 소모하지 않고 보유한 인기도만큼 보상 획득",RC20056,S10001RuneDesc,인기도 {0} 추가 획득,5,-
S10002,수호대,3,5,-,7,10,47cf9bba06c740b587f9f02e24262f37,S10002Desc,-,수호대 캐릭터가 전투 시작시 보호막을 얻습니다. 이 보호막을 파괴한 적은 일정 시간 동안 기절합니다.,S10002Detail_step1,"200,0.5","보호막 200, 기절시간 2초",S10002Detail_step1,"400,1","보호막 400, 기절시간 2초",S10002Detail_step1,"600,1.5","보호막 600, 기절시간 2초",S10002Detail_step4,"1200,3,5","보호막 1200, 기절시간 4초, 기본 공격 시 보유한 보호막의 5%만큼 고정 피해",RC20057,S10002RuneDesc,수호대 유닛의 입는 피해량 -{0}% 및 시너지 효과로 얻는 보호막 +{1}%,10,100
S10003,선봉장,2,4,-,6,8,bd8b548c7d4f4b97a89596d80f9f0fe4,S10003Desc,"50,2","선봉장 캐릭터의 입는 피해량이 감소합니다. 전투 시작 시, 그리고 체력이 50% 이하가 되면 주변 2칸 내 모든 적을 도발합니다. ",S10003Detail_step1,-10,입는 피해량 -10%,S10003Detail_step1,-22,입는 피해량 -22%,S10003Detail_step1,-35,입는 피해량 -35%,S10003Detail_step4,"-50,StatusEffect_Name_SE0015","입는 피해량 -50%, 도발한 모든 적들에게 낙인 부여",RC20058,S10003RuneDesc,선봉장 유닛들의 체력이 50% 이하가 되면 4초간 입는 피해량 -{0}%,30,-
S10004,마법사,3,5,-,7,11,c946cf2994084762a74592ba0d6d9272,S10004Desc,-,"아군의 마력이 증가하며, 추가로 마법사가 스킬을 사용할 때마다 모든 아군 마법사가 추가 마력을 얻습니다.",S10004Detail_step1,"15,3","아군 마력 +15%, 스킬 사용 시 +3%",S10004Detail_step1,"25,5","아군 마력 +25%, 스킬 사용 시 +5%",S10004Detail_step1,"35,7","아군 마력 +35%, 스킬 사용 시 +7%",S10004Detail_step4,"60,12,100","아군 마력 +60%, 스킬 사용 시 +12%, 전투 시작 시 모든 아군이 MP를 100% 획득",RC20059,S10004RuneDesc,"아군 마력 +{0} 추가, 마법사 유닛이 스킬 사용 시 얻는 마력이 아군 전체에 적용",20,-
S10005,책사,1,3,-,5,7,4a95515bf5384a4cbc55c60b5fd19d2b,S10005Desc,-,책사 캐릭터의 스킬에 맞은 적이 추가 디버프를 받습니다.,S10005Detail_step1,10,10초간 마법 방어 약화,S10005Detail_step2,,이전 효과 및 마나 과부하,S10005Detail_step3,1,위 모든 효과 및 기절 1.5초,S10005Detail_step4,"1,30",대상에게 적용되어있는 상태이상 1개당 마력의 30%만큼 추가 마법 피해를 입힘,RC20060,S10005RuneDesc,책사 유닛 최대 마나 -{0} 및 전투 시작 직후 5초간 {1}의 마나 회복,10,120
S10006,사냥꾼,2,5,-,8,11,ad97acb3e9e64c6383f049fc40b0455c,S10006Desc,70,"사냥꾼이 추가 공격력을 얻고, 체력이 70% 이하가 되면 흡혈을 얻습니다.",S10006Detail_step1,"15,7","공격력 +15%, 모든 피해 흡혈 +7%",S10006Detail_step1,"30,15","공격력 +30%, 모든 피해 흡혈 +15%",S10006Detail_step1,"50,30","공격력 +50%, 모든 피해 흡혈 +30%",S10006Detail_step4,"100,45,70,50","공격력 +100%, 모든 피해 흡혈 +45%, 사냥꾼의 체력이 70% 이하일 때 추가로 공격력 +50%",RC20061,S10006RuneDesc,흡혈 효과 +{0}% 및 체력에 관계 없이 적용,100,-
S10007,그림자,3,-,-,5,-,f67416eb3edf4427be9912227c2ac8d9,S10007Desc,-,"가장 강한 그림자 캐릭터가 쉐도우 파트너를 소환합니다. 파트너는 주인의 절반 공격력과 마력을 가지며, 아이템을 장착할 수 없습니다. 전투 시작 시, 파트너는 주인의 아이템을 복사하며 무적 및 은신 상태가 됩니다. 주인이 처치되면 파트너도 함께 처치됩니다.",S10007Detail_step1,1,쉐도우 파트너 1명 소환,S10007Detail_step1,2,쉐도우 파트너 2명 소환,-,-,-,-,-,-,RC20062,S10007RuneDesc,"모든 아군 그림자 유닛의 공격속도 +{0}%, 쉐도우 파트너의 공격력/마력/체력이 주인 캐릭터의 100%로 적용",30,-
S10008,추격자,2,-,-,4,6,e9fb7f86abe640c9a4e9ab116657d084,S10008Desc,100,"고유: 추격자는 새로운 공격 대상을 찾을 때, 마법 방어력이 가장 낮은 적을 대상으로 합니다.\n추격자의 이동속도가 100% 증가하고, 대상 체력에 따라 공격 및 스킬이 반드시 크리티컬로 적중합니다.",S10008Detail_step1,35,체력 35% 미만인 적에게 크리티컬로 적용,S10008Detail_step1,70,체력 70% 미만인 적에게 크리티컬로 적용,S10008Detail_step3,10,"무조건 크리티컬로 적용, 크리티컬 데미지 +10%",-,-,-,RC20063,S10008RuneDesc,"추격자 유닛의 고유 능력이 현재 체력 수치가 가장 낮은 적을 대상으로 합니다. 또한 추격자 유닛의 마력 +{0}, 이동속도 +{1}%",10,100
S10009,싸움꾼,3,5,-,7,10,b48765da501547e6bad911f573691bce,S10009Desc,"30,6","모든 아군이 최대 체력을 얻습니다. 전투당 한 번, 싸움꾼의 체력이 30% 미만이 되면 최대 체력에 비례하여 6초동안 체력을 회복하고 그동안 저지 불가 상태가 됩니다.",S10009Detail_step1,"150,30","최대 체력 +150, 싸움꾼은 30%만큼 체력 회복",S10009Detail_step1,"300,50","최대 체력 +300, 싸움꾼은 50%만큼 체력 회복",S10009Detail_step1,"500,70","최대 체력 +500, 싸움꾼은 70%만큼 체력 회복",S10009Detail_step4,"800,120,40","최대 체력 +800, 싸움꾼은 120%만큼 체력 회복 및 회복 이후 공격속도 +40%",RC20064,S10009RuneDesc,"모든 아군의 최대 체력 +{0} 추가 증가, 싸움꾼의 체력 회복량 +{1}%",150,100
S10010,저격수,2,-,-,4,7,272fafb29e67409ab2e143b2bd301906,S10010Desc,1,"저격수는 사거리가 1 증가하며, 추가 공격 속도를 얻습니다. 또한 일정 시간마다 현재 체력 수치가 가장 낮은 캐릭터를 추가로 공격합니다.",S10010Detail_step1,"12,6","추가 공격속도 +15%, 6초",S10010Detail_step1,"24,4","추가 공격속도 +30%, 4초",S10010Detail_step1,"48,2.5","추가 공격속도 +60%, 2.5초",-,-,-,RC20065,S10010RuneDesc,"저격수의 공격 사거리 +{0}, 추가 공격 주기 -{1}초",1,0.5
