ItemId1,(참고용)재료 아이템1,ItemId2,(참고용)재료 아이템 2,CombinedItem,(참고용)완성 아이템
MI10001,카알 대검,MI10001,카알 대검,NI10001,화염의 카타나
MI10001,카알 대검,MI10007,노가다 목장갑,NI10002,스틸 미셀
MI10001,카알 대검,MI10004,낡은 고깔 모자,NI10003,뿅망치
MI10001,카알 대검,MI10003,나무 방패,NI10004,도깨비 방망이
MI10001,카알 대검,MI10005,고목나무 스태프,NI10005,드래곤 레이지
MI10001,카알 대검,MI10008,추 귀고리,NI10006,소드 귀고리
MI10001,카알 대검,MI10006,허름한 망토,NI10007,스피릿 나인테일
MI10001,카알 대검,MI10002,워보우,NI10008,붉은 채찍
MI10002,워보우,MI10002,워보우,NI10009,신속의 날개
MI10002,워보우,MI10003,나무 방패,NI10010,냄비 뚜껑
MI10002,워보우,MI10004,낡은 고깔 모자,NI10011,화이트 네쉐르
MI10002,워보우,MI10005,고목나무 스태프,NI10012,드래곤 샤인 보우
MI10002,워보우,MI10008,추 귀고리,NI10013,자유로운 궁수의 귀고리
MI10002,워보우,MI10006,허름한 망토,NI10014,공작 깃털 망토
MI10002,워보우,MI10007,노가다 목장갑,NI10015,파란색 권투 글러브
MI10003,나무 방패,MI10003,나무 방패,NI10016,미스릴 타워 실드
MI10003,나무 방패,MI10004,낡은 고깔 모자,NI10017,에스터 실드
MI10003,나무 방패,MI10005,고목나무 스태프,NI10018,표고 버섯
MI10003,나무 방패,MI10008,추 귀고리,NI10019,타임리스 귀고리
MI10003,나무 방패,MI10006,허름한 망토,NI10020,에르다의 빛
MI10003,나무 방패,MI10007,노가다 목장갑,NI10021,파란색 가운
MI10004,낡은 고깔 모자,MI10004,낡은 고깔 모자,NI10022,자쿰의 투구
MI10004,낡은 고깔 모자,MI10005,고목나무 스태프,NI10023,백의의 서
MI10004,낡은 고깔 모자,MI10008,추 귀고리,NI10024,사파이어 귀고리
MI10004,낡은 고깔 모자,MI10006,허름한 망토,NI10025,플루토 플레임 망토
MI10004,낡은 고깔 모자,MI10007,노가다 목장갑,NI10026,하트 타투 글로브
MI10005,고목나무 스태프,MI10005,고목나무 스태프,NI10027,자쿰의 나뭇가지
MI10005,고목나무 스태프,MI10008,추 귀고리,NI10028,레드 해골 귀고리
MI10005,고목나무 스태프,MI10006,허름한 망토,NI10029,하트 완드
MI10005,고목나무 스태프,MI10007,노가다 목장갑,NI10030,별빛 팔찌
MI10006,허름한 망토,MI10006,허름한 망토,NI10034,꼬마악마 날개
MI10006,허름한 망토,MI10007,노가다 목장갑,NI10035,하트 팔찌
MI10007,노가다 목장갑,MI10007,노가다 목장갑,NI10036,산타 장갑
MI10008,추 귀고리,MI10008,추 귀고리,NI10031,커맨더 포스 귀고리
MI10008,추 귀고리,MI10006,허름한 망토,NI10032,골드 드롭 귀고리
MI10008,추 귀고리,MI10007,노가다 목장갑,NI10033,눈꽃 귀고리
