Stage,Round,RoundType,PhaseCount,PhaseType1,PhaseType2,PhaseType3,PhaseType4
1,1,Battle,4,Ready,Setting,Battle,Clean
1,2,Battle,4,Ready,Setting,Battle,Clean
1,3,Battle,4,Ready,Setting,Battle,Clean
2,1,Battle,4,Ready,Setting,Battle,Clean
2,2,Battle,4,Ready,Setting,Battle,Clean
2,3,Battle,4,Ready,Setting,Battle,Clean
3,1,Battle,4,Ready,Setting,Battle,Clean
3,2,Battle,4,Ready,Setting,Battle,Clean
3,3,Battle,4,Ready,Setting,Battle,Clean
4,1,Battle,4,Ready,Setting,Battle,Clean
4,2,Battle,4,Ready,Setting,Battle,Clean
4,3,Battle,4,Ready,Setting,Battle,Clean
5,1,Battle,4,Ready,Setting,Battle,Clean
5,2,Battle,4,Ready,Setting,Battle,Clean
5,3,Battle,4,Ready,Setting,Battle,Clean
6,1,Battle,4,Ready,Setting,Battle,Clean
6,2,Battle,4,Ready,Setting,Battle,Clean
6,3,Battle,4,Ready,Setting,Battle,Clean
7,1,Battle,4,Ready,Setting,Battle,Clean
7,2,Battle,4,Ready,Setting,Battle,Clean
7,3,Battle,4,Ready,Setting,Battle,Clean
8,1,Battle,4,Ready,Setting,Battle,Clean
8,2,Battle,4,Ready,Setting,Battle,Clean
8,3,Battle,4,Ready,Setting,Battle,Clean
