PenaltyID,Level,Desc
PEN00001,0,라운드 패배 시 받는 5코인 추가 보상 삭제
PEN00002,0,룬 카드 상점에서 등장하는 룬카드가 30% 확률로  '판매 불가 및 파괴 불가' 태그를 가짐
PEN00003,0,룬 카드 상점에서 등장하는 룬카드가 30% 확률로 '5라운드 뒤 소각' 태그를 가짐
PEN10001,1,모든 적의 공격력 +15%
PEN10002,1,모든 적의 마력 +15%
PEN10003,1,모든 적의 물리 방어력 +30
PEN10004,1,모든 적의 마법 방어력 +30
PEN10005,1,모든 적의 공격 속도 +15%
PEN10006,1,모든 적의 크리티컬 확률 +30%
PEN10007,1,모든 적의 시작 MP +22
PEN10008,1,모든 적의 최대 체력 +225
PEN20001,2,룬 카드 상점에서 레전더리 등급이 등장하지 않습니다. (코치 효과 제외)
PEN20002,2,모든 아이템 상자에서 등장하는 선택지 수가 1 줄어듭니다.
PEN20003,2,적 팀에 허수아비 1마리를 추가합니다. 허수아비는 스테이지에 비례해 점점 강해집니다.
PEN20004,2,모든 적의 공격 사거리 +1
PEN20005,2,이자를 얻지 못합니다. 대신 승리 시 생존한 아군 수에 비례한 보상이 100% 증가합니다.
PEN20006,2,라운드 패배 시 받는 5코인 추가 보상 삭제
PEN20007,2,판매 불가 및 파괴 불가한 '세피' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20008,2,판매 불가 및 파괴 불가한 '어린 륀느' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20009,2,판매 불가 및 파괴 불가한 '선더' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20010,2,판매 불가 및 파괴 불가한 '떠돌이 연금술사' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20011,2,판매 불가 및 파괴 불가한 '크리슈라마' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20012,2,판매 불가 및 파괴 불가한 '골드리치 주니어' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20013,2,판매 불가 및 파괴 불가한 '덴마' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20014,2,판매 불가 및 파괴 불가한 '루티' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20015,2,판매 불가 및 파괴 불가한 '위즈' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN20016,2,판매 불가 및 파괴 불가한 '프레드릭' 룬 카드를 보유한 상태로 게임을 시작합니다.
PEN30001,3,캐릭터 상점 새로고침 비용이 1 증가합니다.
PEN30002,3,경험치 구매 비용이 1 증가합니다.
PEN30003,3,룬카드 상점 새로고침 비용이 2 증가합니다.
PEN30004,3,아이템 구매 비용이 30% 증가합니다.
PEN30005,3,모든 아군 캐릭터가 장착할 수 있는 아이템의 최대 개수가 하나 줄어듭니다. (플레이어가 수동으로 장착하는 경우에만)
PEN30006,3,배치 가능한 인원 수가 1 줄어듭니다.
PEN30007,3,룬 카드 상점에서 등장하는 룬카드가 30% 확률로  '판매 불가 및 파괴 불가' 태그를 가짐
PEN30008,3,룬 카드 상점에서 등장하는 룬카드가 30% 확률로 '5라운드 뒤 소각' 태그를 가짐
PEN30009,3,캐릭터 판매로 얻는 코인이 1 줄어듭니다.
PEN30010,3,패배 시 하트를 한 개 더 잃습니다.
PEN30011,3,"전투 시작 1초 후, 모든 아군이 10초간 물리 방어 및 마법 방어 약화 상태에 걸립니다."
PEN30012,3,"전투 시작 1초 후, 모든 아군이 2초간 기절합니다."
PEN30013,3,"전투 시작 1초 후, 모든 아군이 최대 체력의 10%만큼 고정 피해를 입습니다."
PEN30014,3,"전투 시작 1초 후, 모든 아군이 20초간 화상 상태에 걸립니다."
PEN30015,3,"전투 시작 1초 후, 모든 아군이 마나 과부하 상태에 걸립니다."
PEN30016,3,전투 시작 후 4초마다 무작위 적 하나가 2초간 은신 상태가 됩니다.
PEN40001,4,"모든 적의 가해량이 라운드당 2%씩 증가하고, 피해량은 2%씩 감소합니다. (최대 48%)"
