PresetID,SetSeason,UnitCount,CharID_1,CharID_2,CharID_3,CharID_4,CharID_5,CharID_6,CharID_7,CharID_8,CharID_9,CharID_10,CharID_11,CharID_12,NeedSynergy,UseRuneType,Explain
EP014030001,1,3,C10001,C10002,C20002,,,,,,,,,,-,Battle/Synergy_S10001_Normal,3 마스코트
EP014030002,1,3,C10005,C20003,C20004,,,,,,,,,,-,Battle/Synergy_S10002_Normal/Synergy_S10024_Normal,"3 수호대, 1 전직교관"
EP014030003,1,3,C10003,C10006,C20004,,,,,,,,,,-,Battle/Synergy_S10003_Normal/Synergy_S10024_Normal,"2 선봉장, 1 전직교관"
EP014030004,1,3,C10007,C20005,C20006,,,,,,,,,,-,Battle/Synergy_S10004_Normal,3 마법사
EP014030005,1,3,C10009,C10010,C20004,,,,,,,,,,-,Battle/Synergy_S10006_Normal/Synergy_S10024_Normal,"2 사냥꾼, 1 전직교관"
EP014030006,1,3,C10011,C20002,C20008,,,,,,,,,,-,Battle/Synergy_S10008_Normal/Synergy_S10016_Normal,"2 추격자, 2 엘나스"
EP014030007,1,3,C20001,C20009,C20010,,,,,,,,,,-,Battle/Synergy_S10009_Normal,3 싸움꾼
EP014030008,1,3,C10012,C20004,C20011,,,,,,,,,,-,Battle/Synergy_S10010_Normal/Synergy_S10024_Normal,"2 저격수, 1 전직교관"
EP014030009,1,3,C10013,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10011_Normal/Synergy_S10020_Normal/Synergy_S10020_Add,"3 방해꾼, 2 아케인리버"
EP014030010,1,3,C10008,C20003,C20005,,,,,,,,,,-,Battle/Synergy_S10015_Normal/Synergy_S10005_Normal,"3 시간의 신전, 1 책사"
EP014030011,1,3,C10002,C10005,C10013,,,,,,,,,,-,Battle/Synergy_S10017_Normal,3 빅토리아 아일랜드
EP014030012,1,3,C20001,C20009,C20010,,,,,,,,,,S10018_Item,Battle/Synergy_S10018_Normal/Synergy_S10009_Normal,"2 슬리피우드, 3 싸움꾼"
EP014030013,1,3,C10007,C20005,C20006,,,,,,,,,,S10019_All,Battle/Synergy_S10019_Normal/Synergy_S10004_Normal,"2 루디브리엄, 3 마법사"
EP014030014,1,3,C10004,C20012,C20013,,,,,,,,,,-,Battle/Synergy_S10020_Normal/Synergy_S10020_Add,3 아케인리버
EP014030015,1,3,C10006,C10012,C20008,,,,,,,,,,-,Battle/Synergy_S10021_Normal,3 오르비스
EP014030016,1,3,C10009,C10010,C20011,,,,,,,,,,S10023_All,Battle/Synergy_S10023_Normal/Synergy_S10006_Normal,"3 모험가, 2 사냥꾼"
EP014030017,1,3,C20001,C20004,C20007,,,,,,,,,,-,Battle/Synergy_S10025_Normal/Synergy_S10024_Normal,"2 기사단장, 1 전직교관"
EP014030018,1.1,3,C10014,C10015,C20014,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP014030019,1.1,3,C10014,C10015,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP014030020,1.1,3,C10014,C20014,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP014030021,1.1,3,C10015,C20014,C20015,,,,,,,,,,-,Battle/Synergy_S10031_Normal,3 아랫마을
EP014030022,1.2,3,C10016,C20016,C20017,,,,,,,,,,-,Battle/Synergy_S10032_Normal,"3 마가티아, 1 책사"
EP014030023,1.3,3,C10017,C10018,C20018,,,,,,,,,,-,Battle/Synergy_S10033_Normal,3 미우미우
EP014030024,1.4,3,C10009,C10019,C20019,,,,,,,,,,-,Battle/Synergy_S10034_Normal/Synergy_S10022_Normal,"2 처형자, 2 시그너스"
