ID,Type,Name(ko),Desc(ko),Name_Key,Desc_Key
SE0001,Buff,무적,지속 시간동안 모든 피해 무효화,StatusEffect_Name_SE0001,StatusEffect_Desc_SE0001
SE0002,Buff,은신,지속 시간동안 공격 및 추적 대상으로 지정 불가,StatusEffect_Name_SE0002,StatusEffect_Desc_SE0002
SE0003,Control,침묵,지속 시간동안 스킬 사용 불가,StatusEffect_Name_SE0003,StatusEffect_Desc_SE0003
SE0004,Control,기절,지속 시간동안 모든 행동 불가,StatusEffect_Name_SE0004,StatusEffect_Desc_SE0004
SE0005,Control,속박,지속 시간동안 이동 불가,StatusEffect_Name_SE0005,StatusEffect_Desc_SE0005
SE0006,Control,무장해제,지속 시간동안 기본 공격 및 이동 불가,StatusEffect_Name_SE0006,StatusEffect_Desc_SE0006
SE0007,Control,실명,지속 시간동안 기본 공격 시 데미지 0,StatusEffect_Name_SE0007,StatusEffect_Desc_SE0007
SE0008,Debuff,물리 방어 약화,지속 시간 동안 물리 방어력을 30% 감소,StatusEffect_Name_SE0008,StatusEffect_Desc_SE0008
SE0009,Debuff,마법 방어 약화,지속 시간 동안 마법 방어력을 30% 감소,StatusEffect_Name_SE0009,StatusEffect_Desc_SE0009
SE0010,Debuff,회복력 감소,지속 시간 동안 모든 체력 회복 효과 33% 감소,StatusEffect_Name_SE0010,StatusEffect_Desc_SE0010
SE0013,Debuff,마나 과부하,다음 스킬 사용까지 MP Max 35% 증가,StatusEffect_Name_SE0013,StatusEffect_Desc_SE0013
SE0014,Debuff,둔화,지속 시간 동안 공격속도 및 이동속도 30% 감소,StatusEffect_Name_SE0014,StatusEffect_Desc_SE0014
SE0015,Debuff,낙인,입는 피해 비율 증가,StatusEffect_Name_SE0015,StatusEffect_Desc_SE0015
SE0016,Buff,저지 불가,"지속시간동안 침묵, 기절, 속박, 무장해제, 실명에 걸리지 않습니다.",StatusEffect_Name_SE0016,StatusEffect_Desc_SE0016
SE0017,Debuff,화상,지속시간동안 1초마다 최대 체력의 1%만큼 고정 피해를 입습니다.,StatusEffect_Name_SE0017,StatusEffect_Desc_SE0017
SE0018,Debuff,마나 회복 불가,지속 시간동안 마나가 차오르지 않습니다.,StatusEffect_Name_SE0018,StatusEffect_Desc_SE0018
SE0019,Buff,일회성 저지 불가,"1번만 침묵, 기절, 속박, 무장해제, 실명에 걸리지 않습니다.",StatusEffect_Name_SE0016,StatusEffect_Desc_SE0016
SE0020,Control,도발,지속 시간동안 타겟 변경 불가,StatusEffect_Name_SE0020,StatusEffect_Name_SE0020
