SynergyID,Name,LinkedCount,Linked1,Linked2,Linked3,Linked4,Linked5,Linked6,Linked7,Linked8,Linked9,Linked10
S10001,마스코트,5,S10015,S10016,S10017,S10020,S10031,,,,,
S10002,수호대,8,S10015,S10016,S10017,S10019,S10023,S10024,S10032,S10033,,
S10003,선봉장,8,S10015,S10018,S10021,S10022,S10025,S10031,S10032,S10036,,
S10004,마법사,10,S10007,S10015,S10019,S10021,S10022,S10023,S10024,S10025,S10031,S10033
S10005,책사,6,S10015,S10019,S10020,S10022,S10032,S10033,,,,
S10006,사냥꾼,10,S10011,S10016,S10018,S10021,S10022,S10023,S10024,S10025,S10031,S10032
S10007,그림자,6,S10004,S10019,S10022,S10023,S10024,S10025,,,,
S10008,추격자,5,S10016,S10021,S10032,S10033,S10036,,,,,
S10009,싸움꾼,9,S10016,S10017,S10018,S10019,S10022,S10025,S10031,S10032,S10036,
S10010,저격수,4,S10021,S10023,S10024,S10036,,,,,,
S10011,방해꾼,7,S10006,S10017,S10020,S10022,S10031,S10033,S10036,,,
S10012,숭고한 영혼,2,S10003,S10025,,,,,,,,
S10013,전설의 궁수,2,S10006,S10024,,,,,,,,
S10014,여제,2,S10004,S10022,,,,,,,,
S10015,시간의 신전,6,S10001,S10002,S10003,S10004,S10005,S10035,,,,
S10016,엘나스,7,S10001,S10002,S10006,S10008,S10009,S10034,S10035,,,
S10017,빅토리아아일랜드,6,S10001,S10002,S10009,S10011,S10034,S10035,,,,
S10018,슬리피우드,4,S10003,S10006,S10009,S10034,,,,,,
S10019,루디브리엄,6,S10002,S10004,S10005,S10007,S10009,S10035,,,,
S10020,아케인 리버,3,S10001,S10005,S10011,,,,,,,
S10021,오르비스,5,S10003,S10004,S10006,S10008,S10010,,,,,
S10022,시그너스,9,S10003,S10004,S10005,S10006,S10007,S10009,S10011,S10034,S10035,
S10023,모험가,5,S10002,S10004,S10006,S10007,S10010,,,,,
S10024,전직교관,5,S10002,S10004,S10006,S10007,S10010,,,,,
S10025,기사단장,5,S10003,S10004,S10006,S10007,S10009,,,,,
S10026,예티와 페페,2,S10001,S10016,,,,,,,,
S10027,발록,3,S10006,S10018,S10021,,,,,,,
S10028,악마의 나무,2,S10002,S10016,,,,,,,,
S10029,악몽의 지배자,2,S10005,S10020,,,,,,,,
S10030,시계탑의 근원,2,S10009,S10019,,,,,,,,
S10031,아랫마을,6,S10001,S10003,S10004,S10006,S10009,S10011,,,,
S10032,마가티아,6,S10002,S10003,S10005,S10006,S10008,S10009,,,,
S10033,미우미우,5,S10002,S10004,S10005,S10008,S10011,,,,,
S10034,처형자,5,S10016,S10017,S10018,S10019,S10022,,,,,
S10035,결투가,5,S10015,S10016,S10017,S10019,S10022,,,,,
S10036,판타스틱 테마파크,5,S10003,S10008,S10009,S10010,S10011,,,,,
S10037,분노,1,S10031,,,,,,,,,
S10038,여우신의 가호,1,S10033,,,,,,,,,
S10039,보물찾기,1,S10036,,,,,,,,,
