CharID,Name,Scale,MoveSpeed,IDLE,MOVE,JUMP,ATTACK,ATTACK_WAIT
C10001,슬라임,1,0.5,37291140ca7149c29e4cce958b0e7767,250125f56da14199aac7d2db7c6b7358,ccf34be160584263b39ae76c829e02a8,702e1a12101b4898b67da75fede51134,37291140ca7149c29e4cce958b0e7767
C10002,주황버섯,1,0.4,b1dac2598a0949fa83cc289ee16b5b6e,7cbb75e7c3104ea89352b858f7f8c888,59823e146a034e48b8667ebb6f0724b1,0f2785271a4f4a9ea0ebe2ca61f6fe7e,b1dac2598a0949fa83cc289ee16b5b6e
C10003,변형된 달팽이,0.6,0.2,be8403cdd1534522ac060ec8497371cd,1e24c789979b4ababce55b34861ace25,-,99ec9e3080b145079d1f0010d7045a7f,be8403cdd1534522ac060ec8497371cd
C10004,돌의 정령,1.5,0.2,644d1c15a5e342178c988e1bad77748c,2765a07dacdf4f88a5e8057a2d994649,-,9cdcdce8d5484b92b9e20e051d73c667,644d1c15a5e342178c988e1bad77748c
C10005,스톤골렘,0.5,0.3,35b81333e60440c99196851e1de5d990,9477f9f02afc4b92b46499e88f6fc472,-,5c90abb63b7440e497c13aa593a8d358,35b81333e60440c99196851e1de5d990
C10006,스톤볼,1.2,0.2,e143037f957b41c0b18e66bbc4a436fb,ea50dee6f5b34a6dab5a535cfb857718,-,008bee9255e84079807d9987262bf8c4,ea50dee6f5b34a6dab5a535cfb857718
C10007,스타픽시,1.2,0.5,7d75b402fb764b30af19b85a50f3ded9,ed976c075cee4bdfae283f497279a24a,d782bc9a55c944c4b02772e72453d679,738194272e2648679eb67d5328fd93b7,7d75b402fb764b30af19b85a50f3ded9
C10008,추억의 사제,0.5,0.3,36ff7a667243465caef855b4fb7b9f84,fd234d210d06488cad1fc407a7cbf325,-,7fd7a44ebd284cbd9754b7a35be7226d,36ff7a667243465caef855b4fb7b9f84
C10009,노블레스,1,1,5b02b6c0f19b456cb8350e89bff8948b,13bb13073de040079154cee5eb0e132d,292b6f8f9e10464aae0f86f4a3994c32,0797decc5c604e4b85bb9d22bb7fa399,5b02b6c0f19b456cb8350e89bff8948b
C10010,초보자,1,1,f7ff25cf7ca34fb3a061c1672b84aeca,1d7d437bf03d458fb963a03ba32f3ece,ae8d659dcbad48e4884c922bb646e6c7,bfb2f88e9769418d8a5842f4c6badb10,f7ff25cf7ca34fb3a061c1672b84aeca
C10011,헥터,1,0.6,7dcc64a4725b4777b8f86a5404b4d4cc,5e3fe57af79849ec9fd521dbd498f70d,9108eb949b094d0288b0436f23efb8f7,ab421fbae9c942219123b08228fbfca3,7dcc64a4725b4777b8f86a5404b4d4cc
C10012,네펜데스,1,0,305fe2f2f8f0417ebb7f3a3649222785,-,-,d5f3e2a16f5b4ffaa736915a9e22615d,305fe2f2f8f0417ebb7f3a3649222785
C10013,루팡,1,0.6,abbd76a6010149e780fbee0b2c5acb7e,046f94edcf2547bba2d229d00716ddbf,260f67a5f6a74b5aafab05d90c28823c,33dd53ea403b4c518ff1ffbe8ab65921,abbd76a6010149e780fbee0b2c5acb7e
C10014,월묘,1,0.3,62ac9f83e7fa44699ad16986a27daaf6,d155630a786c4eb8a124ee16b07f3a8d,-,d359c5d389a44ef4984718d94f54f306,62ac9f83e7fa44699ad16986a27daaf6
C10015,호돌이,1,0.4,0500aaf8eae94f15a847655819682da6,8e4d88914f6547959151464635c59482,-,3c85b4f9f9a14a49aeda254929ad6544,0500aaf8eae94f15a847655819682da6
C10016,호문,1,0.2,94ef1a598a7e43bea7cdc85f71dc08ec,f46c4862e92746afb183cd7351ce36f4,94ef1a598a7e43bea7cdc85f71dc08ec,ecf1eb2730b44a51ae6beb1f1779057d,94ef1a598a7e43bea7cdc85f71dc08ec
C10017,마루,1.1,1,9c4f5b089fcd48f689b94e9733da3d6e,a4cb5d39054344df8725b2ac8e533c7d,-,71aea1a8ae1543759d11e26b4bc2036c,9c4f5b089fcd48f689b94e9733da3d6e
C10018,가루나비,1,0.35,f1e0dd9eca4e46e2a00f7de5388bca6d,f1e0dd9eca4e46e2a00f7de5388bca6d,-,3f069700264b41878a617ab471ce951e,f1e0dd9eca4e46e2a00f7de5388bca6d
