KeyWordID,Name,Description,Category,etc
KWF10000,KeyWord_Empty,기본 지급,StarterKit,
KWF10001,KeyWordFrontName1,기본 지급,StarterKit,
KWF10002,KeyWordFrontName2,기본 지급,StarterKit,
KWF10003,KeyWordFrontName3,기본 지급,StarterKit,
KWF10004,KeyWordFrontName4,업적 '발도장 2' 달성,Achievement_General,
KWF10005,KeyWordFrontName5,업적 '싱글 모드 매니아 2' 달성,Achievement_General,
KWF10006,KeyWordFrontName6,업적 '멈추지 않는 도전 1' 달성,Achievement_General,
KWF10007,KeyWordFrontName7,업적 '멈추지 않는 도전 2' 달성,Achievement_General,
KWF10008,KeyWordFrontName8,업적 '모든 이름을 가진 자' 달성,Achievement_General,
KWF10009,KeyWordFrontName9,업적 '시너지 [마스코트] 사용하기 2' 달성,Achievement_Synergy,
KWF10010,KeyWordFrontName10,업적 '시너지 [수호대] 사용하기 2' 달성,Achievement_Synergy,
KWF10011,KeyWordFrontName11,업적 '시너지 [선봉장] 사용하기 2' 달성,Achievement_Synergy,
KWF10012,KeyWordFrontName12,업적 '시너지 [마법사] 사용하기 2' 달성,Achievement_Synergy,
KWF10013,KeyWordFrontName13,업적 '시너지 [책사] 사용하기 2' 달성,Achievement_Synergy,
KWF10014,KeyWordFrontName14,업적 '시너지 [사냥꾼] 사용하기 2' 달성,Achievement_Synergy,
KWF10015,KeyWordFrontName15,업적 '시너지 [그림자] 사용하기 2' 달성,Achievement_Synergy,
KWF10016,KeyWordFrontName16,업적 '시너지 [추격자] 사용하기 2' 달성,Achievement_Synergy,
KWF10017,KeyWordFrontName17,업적 '시너지 [싸움꾼] 사용하기 2' 달성,Achievement_Synergy,
KWF10018,KeyWordFrontName18,업적 '시너지 [방해꾼] 사용하기 2' 달성,Achievement_Synergy,
KWF10019,KeyWordFrontName19,업적 '시너지 [저격수] 사용하기 2' 달성,Achievement_Synergy,
KWF10020,KeyWordFrontName20,업적 '시너지 [숭고한 영혼] 사용하기 2' 달성,Achievement_Synergy,
KWF10021,KeyWordFrontName21,업적 '시너지 [전설의 궁수] 사용하기 2' 달성,Achievement_Synergy,
KWF10022,KeyWordFrontName22,업적 '시너지 [여제] 사용하기 2' 달성,Achievement_Synergy,
KWF10023,S10015_Name,업적 '시너지 [시간의 신전] 사용하기 2' 달성,Achievement_Synergy,
KWF10024,S10016_Name,업적 '시너지 [엘나스] 사용하기 2' 달성,Achievement_Synergy,
KWF10025,S10017_Name,업적 '시너지 [빅토리아 아일랜드] 사용하기 2' 달성,Achievement_Synergy,
KWF10026,S10018_Name,업적 '시너지 [슬리피우드] 사용하기 2' 달성,Achievement_Synergy,
KWF10027,S10019_Name,업적 '시너지 [루디브리엄] 사용하기 2' 달성,Achievement_Synergy,
KWF10028,S10020_Name,업적 '시너지 [아케인리버] 사용하기 2' 달성,Achievement_Synergy,
KWF10029,S10021_Name,업적 '시너지 [오르비스] 사용하기 2' 달성,Achievement_Synergy,
KWF10030,KeyWordFrontName23,업적 '시너지 [시그너스] 사용하기 2' 달성,Achievement_Synergy,
KWF10031,KeyWordFrontName24,업적 '시너지 [모험가] 사용하기 2' 달성,Achievement_Synergy,
KWF10032,KeyWordFrontName25,업적 '시너지 [전직교관] 사용하기 2' 달성,Achievement_Synergy,
KWF10033,KeyWordFrontName26,업적 '시너지 [기사단장] 사용하기 2' 달성,Achievement_Synergy,
KWF10034,KeyWordFrontName27,업적 '시너지 [예티와페페] 사용하기 2' 달성,Achievement_Synergy,
KWF10035,KeyWordFrontName28,업적 '시너지 [발록] 사용하기 2' 달성,Achievement_Synergy,
KWF10036,KeyWordFrontName29,업적 '시너지 [악마의 나무] 사용하기 2' 달성,Achievement_Synergy,
KWF10037,KeyWordFrontName30,업적 '시너지 [악몽의 지배자] 사용하기 2' 달성,Achievement_Synergy,
KWF10038,KeyWordFrontName31,업적 '시너지 [시계탑의 근원] 사용하기 2' 달성,Achievement_Synergy,
KWF10039,KeyWordFrontName32,업적 '시너지 [시간의 신전] 전문가' 달성,Achievement_SynergyExpert,
KWF10040,KeyWordFrontName33,업적 '시너지 [엘나스] 전문가' 달성,Achievement_SynergyExpert,
KWF10041,KeyWordFrontName34,업적 '시너지 [빅토리아 아일랜드] 전문가' 달성,Achievement_SynergyExpert,
KWF10042,KeyWordFrontName35,업적 '시너지 [슬리피우드] 전문가' 달성,Achievement_SynergyExpert,
KWF10043,KeyWordFrontName36,업적 '시너지 [루디브리엄] 전문가' 달성,Achievement_SynergyExpert,
KWF10044,KeyWordFrontName37,업적 '시너지 [오르비스] 전문가' 달성,Achievement_SynergyExpert,
KWF10045,KeyWordFrontName38,업적 '시너지 [시그너스] 전문가' 달성,Achievement_SynergyExpert,
KWF10046,KeyWordFrontName39,업적 '시너지 [기사단장] 전문가' 달성,Achievement_SynergyExpert,
KWF10047,KeyWordFrontName40,업적 '시너지 [마스코트] 전문가' 달성,Achievement_SynergyExpert,
KWF10048,KeyWordFrontName41,업적 '시너지 [수호대] 전문가' 달성,Achievement_SynergyExpert,
KWF10049,KeyWordFrontName42,업적 '시너지 [마법사] 전문가' 달성,Achievement_SynergyExpert,
KWF10050,KeyWordFrontName43,업적 '시너지 [책사] 전문가' 달성,Achievement_SynergyExpert,
KWF10051,KeyWordFrontName44,업적 '시너지 [추격자] 전문가' 달성,Achievement_SynergyExpert,
KWF10052,KeyWordFrontName45,업적 '시너지 [저격수] 전문가' 달성,Achievement_SynergyExpert,
KWF10053,KeyWordFrontName67,업적 '[플래티넘] 랭크 정복자' 달성,Achievement_RuneCard,
KWF10054,KeyWordFrontName46,업적 '한번만 더' 달성,Achievement_RuneCard,
KWF10055,KeyWordFrontName47,업적 '복권당첨' 달성,Achievement_RuneCard,
KWF10056,KeyWordFrontName48,업적 '잭팟' 달성,Achievement_RuneCard,
KWF10057,KeyWordFrontName49,업적 '생명 연장' 달성,Achievement_RuneCard,
KWF10058,KeyWordFrontName50,업적 '파산' 달성,Achievement_RuneCard,
KWF10059,KeyWordFrontName51,업적 '무한 복제' 달성,Achievement_RuneCard,
KWF10060,KeyWordFrontName52,업적 '한계 돌파 2' 달성,Achievement_Single,
