NameTagID,Name,Rank,ImageRUID,Description,NameTagOffsetY,FontOffsetY,FontColor,Category,etc
NT10000,NameTagName1,0,9bf18287398c44699c20fc5123d1a1ae,기본 지급,,0,#FFFFFF,StarterKit,기본 이름 배경
NT10001,NameTagName2,0,154be549702640e58485e214af84002b,기본 지급,,0,#FFFFFF,StarterKit,"펫 이름표 ""쁘띠 우르스"""
NT10002,NameTagName3,1,4c51961f94334615bea6721dd90b7d1c,업적 '압도적인 힘' 달성,,0,#FFFFFF,Achievement_Single,"펫 이름표 ""쁘띠 레드"""
NT10003,NameTagName4,1,1e2a6f5785984584b73975a74bf1dea6,업적 '느긋한 성장' 달성,,0,#3f9334,Achievement_Single,펫 이름표
NT10004,NameTagName5,1,293def4c5d9c44eca3ff7699f143bdca,업적 '싱글 모드 매니아 1' 달성글,,0,#FFFFFF,Achievement_Single,"펫 이름표 ""마스테마"""
NT10005,NameTagName6,1,194fa517030c45c1978c74cb439901bf,업적 '싱글 모드 매니아 2' 달성,,-0.02,#000000,Achievement_BattleExpert,"펫 이름표 ""아기 백호"""
NT10006,NameTagName7,1,adc1bdd53eee403f9fdc99d24704355e,업적 '[아이언] 랭크 정복자' 달성,,0,#FFFFFF,Achievement_Rank,"펫 이름표 ""윈터베리"" "
NT10007,NameTagName8,1,4b4539c3ca9c41af8f1454ce7685c20b,업적 '미니멀리즘' 달성,,0,#FFFFFF,Achievement_Single,"펫 이름표 ""쁘띠 레온"""
NT10008,NameTagName9,2,dc748eba9ffd47cab033e298945c5f42,업적 '올스타리그 셀러브리티 2' 달성,,0,#5c5c5c,Achievement_Single,"펫 이름표 ""알바트로스"""
NT10009,NameTagName10,2,68714f6e387c4e2f84ad8175a3162847,업적 '마나 폭풍 2' 달성,,0,#FFFFFF,Achievement_BattleExpert,펫 이름표 
NT10010,NameTagName11,2,7847a099490a4d15b6e4ca185a2a4a1c,업적 '그림자 스텝 업 1' 달성,,0,#FFFFFF,Achievement_Single,"펫 이름표 ""쁘띠 오르카"""
NT10011,NameTagName12,2,59887366d8684cd2a13158809670a7bb,업적 '랭크 정복자 1' 달성,,0,#3b1a0c,Achievement_Rank,"펫 이름표 ""New 디아"""
NT10012,NameTagName13,2,5221f5e257204273bd8de869304293a8,업적 '보라색이 좋아' 달성,,0,#e381fe,Achievement_RuneCard,"펫 이름표 ""쁘띠 퍼플"""
