Grade1,Grade2,Grade3,Grade4,Grade5,Grade6,Grade7,Grade8
10,11,12,13,14,16,18,20
20,22,24,26,28,32,36,40
30,33,36,39,42,48,54,60
40,44,48,52,56,64,72,80
50,55,60,65,70,80,90,100
60,66,72,78,84,96,108,120
70,77,84,91,98,112,126,140
80,88,96,104,112,128,144,160
90,99,108,117,126,144,162,180
100,110,120,130,140,160,180,200
110,121,132,143,154,176,198,220
120,132,144,156,168,192,216,240
130,143,156,169,182,208,234,260
140,154,168,182,196,224,252,280
150,165,180,195,210,240,270,300
160,176,192,208,224,256,288,320
170,187,204,221,238,272,306,340
180,198,216,234,252,288,324,360
190,209,228,247,266,304,342,380
200,220,240,260,280,320,360,400
210,231,252,273,294,336,378,420
220,242,264,286,308,352,396,440
230,253,276,299,322,368,414,460
240,264,288,312,336,384,432,480
