GuidePopupID,Category,Text
Coin,Coin,GuidePopup_Coin
TeamPowerBoost,TeamPowerBoost,GuidePopup_TeamPowerBoost
Upgrade,Upgrade,GuidePopup_Upgrade
Shop,Shop_Character,GuidePopup_Shop
Placement,BattlefieldAndBench,GuidePopup_Placement
Reroll,UserAct_Reroll,GuidePopup_Reroll
Lock,Shop_Character,GuidePopup_Lock
Coach,Coach,GuidePopup_Coach
Item,Item,GuidePopup_Item
Cost,CharacterAndUnit,GuidePopup_Cost
TeamLevel,TeamLevel,GuidePopup_TeamLevel
Synergy,Synergy,GuidePopup_Synergy
RuneCard,RuneCard,GuidePopup_RuneCard
