AdviceID,posX,posY,MaskRUID,OverImageRUID,MaskAnchor,IsMaskOn,BlockMaskClick,etc
AD100_1,0,0,nil,nil,Center,TRUE,FALSE,
AD100_2,0,0,nil,nil,Center,TRUE,FALSE,
AD100_3,0,0,nil,nil,Center,TRUE,FALSE,
AD100_4,0,0,nil,nil,Center,TRUE,FALSE,
AD100_5,493,-43,96238364eacd4ec7a6f09d1b8ed824c4,8567258239f449d5aeea5d03f1f10d04,BottomLeft,TRUE,TRUE,
AD100_6,160,139,7fab49fb92e9477ebe772715b65fe4a3,d3b086a7043c4eeda61db4552296901d,BottomLeft,TRUE,FALSE,
AD100_7,497,-39,51e0c14004b1434996235538d2546d2b,1776bcfcca1249a5a9ec255b2bb0b298,BottomLeft,TRUE,FALSE,주황버섯 구매 유도
AD101_1,0,175,5c3dc80d26dd4ed8901b1186c1d163ee,927ddee89c2244649e5d7c1dad300a7b,BottomCenter,TRUE,TRUE,대기석 강조
AD101_2,659,-43,9ebb1bf186794050847a892531f215dd,6d41e5ce38e94b07a161b83872919af1,BottomLeft,TRUE,FALSE,"초보자, 슬라임 구매 유도"
AD102_1,0,175,5c3dc80d26dd4ed8901b1186c1d163ee,927ddee89c2244649e5d7c1dad300a7b,BottomCenter,TRUE,TRUE,대기석 강조
AD102_2,-255,0,ad5549cd67264648aea5a57988184bde,b258f19fa36e4bfda88352cf9412a6e6,Center,TRUE,FALSE,주황버섯 배치 유도
AD103_1,-255,0,ad5549cd67264648aea5a57988184bde,b258f19fa36e4bfda88352cf9412a6e6,Center,TRUE,TRUE,전장 보여주기
AD103_2,-255,0,ad5549cd67264648aea5a57988184bde,b258f19fa36e4bfda88352cf9412a6e6,Center,TRUE,FALSE,"초보자, 슬라임 배치 유도"
AD103_2_1,-255,0,ad5549cd67264648aea5a57988184bde,b258f19fa36e4bfda88352cf9412a6e6,Center,TRUE,FALSE,"초보자, 슬라임 배치 유도"
AD104_1,-40,-705,1d462c65c704469cbbc62ce9b61405c5,35af56e9c8684c61a608b7df1546c208,TopRight,TRUE,FALSE,전투 시작
AD105_1,0,0,nil,nil,Center,FALSE,FALSE,1-1 전투
AD105_2,0,0,nil,nil,Center,FALSE,FALSE,
AD105_3,-75,165,468752932f5d4986a5637bb091ec3362,7843345ddb79435bbd0a414a9a45513b,Center,TRUE,FALSE,줌인 체력강조
AD105_4,-75,165,468752932f5d4986a5637bb091ec3362,7843345ddb79435bbd0a414a9a45513b,Center,TRUE,FALSE,줌인 마나 강조
AD105_5,0,0,nil,nil,Center,FALSE,FALSE,
AD106_1,0,0,nil,nil,Center,TRUE,FALSE,결과화면
AD106_2,250,65,a6c0a2a3a01b4f129e0a5a0a36f45c33,64cd7d1e0745424da90d59dae918d568,Center,TRUE,FALSE,코인 얻은 결과
