AdviceID,IsMaskOn,MaskTargetEntityID,MaskPosX,MaskPosY,MaskWidth,MaskHeight,MaskRValue,BlockMaskClick,MaskOffAfterAdvice,BlueBlurEnable,BlueBlurPosX,BlueBlurPosY,BlueBlurWidth,BlueBlurHeight,HighlightLineEnable,HighlightPosX,HighlightPosY,HighlightWidth,HighlightHeight,HighlightOriginalEnable,HighlightOriginalPosX,HighlightOriginalPosY,HighlightOriginalWidth,HighlightOriginalHeight
AD100_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD100_2,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD100_3,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD100_4,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0
AD100_5,TRUE,Custom,0,-430,900,360,26,TRUE,TRUE,TRUE,0,-430,900,360,TRUE,0,-410,790,300,FALSE,0,0,0,0
AD100_6,TRUE,Custom,-670,-335,200,90,12,FALSE,TRUE,TRUE,-670,-335,200,90,TRUE,-670,-335,140,90,FALSE,0,0,0,0
AD100_7,TRUE,Custom,-340,-410,194.4,360,26,FALSE,TRUE,TRUE,-340,-410,194.4,360,TRUE,-335,-400,120,300,FALSE,0,0,0,0
AD101_1,TRUE,Custom,0,-230,1260,216,20,TRUE,TRUE,TRUE,0,-230,1260,216,TRUE,0,-230,1100,216,FALSE,0,0,0,0
AD101_2,TRUE,Custom,-90,-410,396,360,26,FALSE,TRUE,TRUE,-90,-410,396,360,TRUE,-85,-400,280,300,FALSE,0,0,0,0
AD102_1,TRUE,Custom,0,-230,1260,216,20,TRUE,TRUE,TRUE,0,-230,1260,216,TRUE,0,-230,1100,216,FALSE,0,0,0,0
AD102_2,TRUE,Custom,-260,0,630,720,20Battle,FALSE,TRUE,TRUE,-260,70,630,625,TRUE,-260,70,480,575,FALSE,0,0,0,0
AD103_1,TRUE,Custom,-260,0,630,720,20Battle,TRUE,TRUE,TRUE,-260,70,630,625,TRUE,-260,70,480,575,FALSE,0,0,0,0
AD103_2,TRUE,Custom,-260,0,630,720,20Battle,FALSE,TRUE,TRUE,-260,70,630,625,TRUE,-260,70,480,575,FALSE,0,0,0,0
AD104_1,TRUE,Custom,750,-250,360,120,100,FALSE,TRUE,TRUE,750,-250,360,120,TRUE,745,-245,260,120,FALSE,0,0,0,0
AD105_1,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD105_2,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD105_3,TRUE,Custom,-85,160,320,320,20Battle,FALSE,TRUE,TRUE,-85,160,360,360,TRUE,-85,160,160,250,FALSE,0,0,0,0
AD105_4,TRUE,Custom,-85,160,320,320,20Battle,FALSE,TRUE,TRUE,-85,160,360,360,TRUE,-85,160,160,250,FALSE,0,0,0,0
AD105_5,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD106_1,FALSE,nil,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
AD106_2,TRUE,Custom,250,50,510,360,20,FALSE,TRUE,TRUE,250,50,510,360,TRUE,250,50,360,325,FALSE,0,0,0,0
AD106_3,TRUE,Custom,250,50,510,360,20,FALSE,TRUE,TRUE,250,50,510,360,TRUE,250,50,360,325,FALSE,0,0,0,0
AD106_4,FALSE,off,0,0,0,0,20,FALSE,TRUE,FALSE,0,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0
