Key,Condition,Message
Tip1001,Enterance,같은 1성 캐릭터 셋을 모으면 2성 캐릭터가 됩니다. 최대 3성까지 만들 수 있어요.
Tip1002,Enterance,"캐릭터에 아이템을 끌어다 놓으면, 아이템을 장착합니다. 재료 아이템을 두 개 장착하면 완성 아이템으로 합성됩니다."
Tip1003,Enterance,"같은 캐릭터를 많이 갖고 있을수록, 상점에서 등장할 확률이 줄어듭니다. "
Tip1004,Enterance,"3성 캐릭터를 가지면, 더 이상 그 캐릭터가 상점에서 등장하지 않습니다."
Tip1005,Enterance,이미 갖고 있는 룬 카드는 상점에서 등장하지 않습니다.
Tip1006,Enterance,"전설 등급 룬 카드는 하나만 보유할 수 있습니다. 이미 갖고 있다면, 상점에서도 나오지 않아요."
Tip1007,Enterance,"게임이 너무 어렵다면, 코치와 함께 해보세요. "
Tip1008,Enterance,"아이템을 장착한 캐릭터를 상점에 팔면, 아이템은 회수됩니다."
Tip1009,Enterance,"캐릭터의 핵심 능력치를 확인하고, 집중적으로 성장 시키세요. 승리의 지름길이 된답니다!  "
Tip1010,Enterance,파괴 불가한 룬 카드? 소각시키면 없앨 수 있어요!
Tip1011,Enterance,높은 코스트 코치를 많이 쓰고 싶나요? 마이너스 코스트인 코치를 활용해보세요.
Tip1012,Enterance,"캐릭터가 합쳐지면, 장착하고 있던 아이템도 합쳐집니다. 3개를 넘기면 무작위로 1개의 아이템을 회수합니다."
Tip1013,Enterance,"라운드가 지날수록, 상점에서 높은 등급의 룬 카드가 나올 확률이 올라갑니다."
Tip1014,Enterance,"전장에 동일한 캐릭터를 올릴 수는 있지만, 시너지 수는 증가하지 않아요."
Tip1015,Enterance,30초 내에 승부가 나지 않으면 연장전이 시작됩니다. 연장전에서는 모든 유닛이 빨라지고 강해집니다!
Tip1016,Enterance,패자부활권은 한 게임에 한 번만 쓸 수 있어요. 
Tip1017,Enterance,허수아비는 꽤 높은 HP를 가지고 있어요. 그렇지만 공격은 하지 못해요. 그러니 맨 앞에 두세요!
Tip1018,Enterance,"적이 너무 튼튼하다면, 상태 이상을 활용해보세요. "
Tip1030,Enterance,"전투 단계일 때 월드에서 퇴장하면, 해당 라운드는 패배 처리됩니다."
Tip1019,Exit,코치들을 건드려 보셨나요? 가끔은 만지는 걸 싫어하는 코치들도 있어요.
Tip1020,Exit,올스타 리그의 전장은 익숙한 장소들을 본따 만들어졌어요. 어디일까요?
Tip1021,Exit,"팀의 운명이 당신에게 달려 있습니다. 원한다면, 슬라임을 기사단장으로 임명할 수도 있겠지요!"
Tip1022,Exit,개발 팀이 가장 싫어하는 룬 카드는 팬텀입니다. 개발 팀을 가장 괴롭게 했거든요!
Tip1023,Exit,개발자 중에도 아직 싱글 모드를 모두 깨본 적 없는 분이 계십니다. 여러분은 잘 하고 있어요.
Tip1024,Exit,도감을 열어보세요. 이번 게임에서 획득한 캐릭터 카드와 시너지 뱃지를 잘 담아두었습니다!
Tip1025,Exit,"3성 캐릭터 카드를 수집하면, 도전 과제가 열립니다. 도전 과제를 깨면, 로비에서 그 캐릭터로 변신할 수 있게 됩니다!"
Tip1026,Exit,로비에서 프로필 카드를 눌러보세요. 칭호도 바꿀 수 있답니다.
Tip1027,Exit,업적 보상 받는 걸 잊지 마세요. 
Tip1028,Exit,계정 레벨이 10배수가 될 때마다 좋은 보상을 얻어요. 로비에서 계정 레벨을 눌러보세요.
Tip1029,Exit,"게임 규칙이나 캐릭터, 아이템, 룬 카드에 대한 정보를 보고 싶다면 사전을 확인해보세요."
