Key,Default,Darker,Column1
Cost0,#5f80cc,#2e4064,
Cost1,#c8e0f3,#32404f,
Cost2,#54efaf,#095753,
Cost3,#81eff7,#264a68,
Cost4,#d7b8ff,#44355d,
Cost5,#ffd038,#43332c,
Coach_-3,#841F0B,,
Coach_-2,#CC4124,,
Coach_-1,#E6B8AF,,
Coach_1,#FDFEFE,,
Coach_2,#27AE60,,
Coach_3,#2471A3,,
Coach_4,#EA6EEB,,
Coach_5,#F1C40F,,
Coach_7,#DC2367,,
Rune_Normal,#9ab4c1,,
Rune_Rare,#3d85bd,,
Rune_Epic,#955ae2,,
Rune_Legendary,#e18900,,
Status_PhysicalAttack,#FF6A00,,
Status_MagicalAttack,#977AFF,,
Status_Defence,#FFFD31,,
Status_MagicalResistance,#D45EFD,,
Status_AttackSpeed,#FF9100,,
Status_MaxHP,#8FFF18,,
Status_Int,#DBE4ED,,
