name,category,class,theme,rarity,isToken,tagArray,variantArray,linkArray,cost,maxHp,atk,hasBarrier,hasVenom,hasChill,isDirectAttackable,isImmuneToStrong,cardTriggerNameArray,cardAuraNameArray,minionTriggerNameArray,minionAuraNameArray,damageSound,dieSound,skillAnimation_1,skillAnimation_2,skillAnimation_3,ballAnimation_1,ballAnimation_2,ballAnimation_3,hitAnimation_1,hitAnimation_2,hitAnimation_3,extraAnimation_1,extraAnimation_2,extraAnimation_3,skillSound_1,skillSound_2,skillSound_3,hitSound_1,hitSound_2,hitSound_3,extraSound_1,extraSound_2,extraSound_3
Adobis,Minion,Magician,Classic,Unique,,"[""Npc""]",,,1,2,1,,,,,,,,,"[""Adobis""]",13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,,,,,,,,,
AirStrike,Skill,Pirate,Nautilus,Legendary,,,"[""Hanbok""]",,8,,,,,,,,"[""AirStrike""]",,,,,,458b2cf97bae4f7980259f144a9f86ee,da785c288cde420b9655eb54045f715c,15b5bc788cea4fb1bd0c200492f614d8,,,,8ed0b31df9934ac29847ba988ab6bd2a,,,,,,111649328ef842c487594cd0f4e8dbc4,,,185d756b79c54a5bad4e15d225d2f13f,,,,,
ArmorCrash,Skill,Warrior,Classic,Epic,,,,,3,,,,,,,,"[""ArmorCrash""]",,,,,,5bb55728dfc84395862f0849fd8c6220,,,,,,6b974fa955a246da8f819513248d5484,,,,,,244e159c4b93499bbac336aa44499c4d,,,,,,,,
ArrowBlow,Skill,Bowman,Nautilus,Rare,,,,,5,,,,,,,,"[""ArrowBlow""]",,,,,,796d24e329ae4a1282ef7e27859f4a87,,,6fdc95dc4807471499a7818bdd5e0ff8,,,177cc87c2e5c40d8a1651d78c378f94e,,,,,,d8bec068e56646439d60f07122ef04bf,90bbceaa72554dc78e8c73d9fdbff7ee,,,,,,,
ArrowBomb,Skill,Bowman,Classic,Unique,,,"[""BrownTeddy""]",,5,,,,,,,,"[""ArrowBomb""]",,,,,,f370000ecbf04908993b37bee38a38e1,,,7e1d45a894624a85932c4806ed179ec4,,,c931d1672d9149718fa1cdb1667edbdb,7297130ca77a43819f9b65d263c48470,,,,,b34245d94aa64cee864190ad5f82224c,4346b64f2d0a4cf683980bb0d318b14a,,140404975ec7460fa28175d47b83f1a6,,,,,
ArrowRain,Skill,Bowman,,Normal,,,,,3,,,,,,,,"[""ArrowRain""]",,,,,,08a4989a2e1f4e79a83a148aa3b6035b,f370000ecbf04908993b37bee38a38e1,,,,,0823a97262c049e8ae3c464c4b745863,,,2e3692d18ef6456096aa51f4a05314c2,,,45557f04a3b74a39985a409def0a7f30,4346b64f2d0a4cf683980bb0d318b14a,,ec1e2dba713445d68ae74637ed3f4a52,,,,,
Assaulter,Skill,Thief,,Normal,,,,,2,,,,,,,,"[""Assaulter""]",,,,,,52ad6350a0d243d9bf9868e97a333a93,7ff561b09b9a46f4a1c6937f56d58341,a280a1b37b0f47daa1a187ec9379dd8b,,,,a42c9e04ca0544609f3e5ddccb22cdb1,,,,,,e96fa41780fa4212b8e4a1431efbfe35,,,,,,,,
AthenaPierce,Minion,Bowman,Classic,Legendary,,"[""Npc""]",,"[""DoubleShot""]",4,3,4,,,,,,,,"[""AthenaPierce""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,2398c5ed1ef744259590cfd6182423a7,,,,,,419e8d41f36d4ca3a32ace3e58ba3e4a,,,,,,,,
Avenger,Skill,Thief,Classic,Rare,,"[""Shuriken""]",,,2,,,,,,,,"[""Avenger""]",,,,,,d371d154793b4c7997e50ba0fe880cba,,,50313849e6b04be98ee439834ee8a40f,,,436c174d805a43f98d5f80f2f800c839,,,,,,12129a6e536843889723311bfeda750f,32ebfe1732634492906191ec80cc525d,,,,,,,
AxeStump,Minion,Common,Classic,Rare,,"[""Plant""]",,,2,3,2,,,,,,,,"[""AxeStump""]",,d777c5052930437ea5d89810d6f01c21,d355241e4f2f449b8bfe67aabd25c79c,,,,,,,c07906d7adea4ce69a1054bc98d17431,,,,,,5771111f4a4b4bda92508f9c9a1d3cd1,,,,,,,,
Ayan,Minion,Warrior,Classic,Unique,,"[""Npc""]",,,6,2,2,,,,,,,,"[""Ayan""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,3857428ab80c47d8bf6a5752921ae76b,,,,,,,,
BandOfThieves,Skill,Thief,,Normal,,,,,4,,,,,,,,"[""BandOfThieves""]",,,,,,b696354ba1cc496d8bbafbcab37ff634,2479c204a97b43a7986f6a283fde505b,ba7c91377d804320b44421977c398f73,,,,c4e7cb2f07f9473f85c1352621d27e6f,5261c9d104bc4606b414a4bef8cfda1e,d913dd8fc0cd4d5b88398357fb29079a,,,,86e65d417e7c4df5b51671fcb4d81fa1,3e13a9166f2b40dca3143f8d74a52015,,,,,,,
BarnardGray,Minion,Common,Classic,Rare,,"[""Alien""]",,,1,2,1,TRUE,,,,,,,,,d2e913cb30e94f5eace09bb2e12435a5,36f98b94ce8f432c8b02e78c7fd093cd,,,,,,,,,,,,,,,,,,,,,
Beetle,Minion,Common,Nautilus,Rare,,,,,3,1,2,,,,,,,,"[""Beetle""]",,117d035c1c1640b6a134d7f0d07a89c5,33e89061180c4a6787ba33e93cd56a3c,,,,,,,,,,,,,595db4de712e47fb9d090d02b54fb6dd,,,,,,,,
BellflowerRoot,Minion,,,,TRUE,"[""Plant""]",,,4,4,3,,,,,,,,"[""BellflowerRoot""]",,555f9f7c93f04a8ba3d416b8e905ec7b,8b35d11919c04430a9d9c5e3302fc1cd,,,,,,,,,,,,,,,,,,,,,
BikerMonkey,Minion,Common,Classic,Epic,,"[""Monkey""]",,,2,3,2,,,,,,,,"[""BikerMonkey""]",,2b8ce88974914d8f8f4e490ef83e490f,465527815ae94a629b4f93437dec0e15,,,,,,,,,,,,,a5baf0b722dc40c49cb6ee2640cfe444,,,,,,,,
Birk,Minion,Bowman,Nautilus,Rare,,,,,3,3,2,,,,,,,,"[""Birk""]",,731e2aa5261144e7b12a9ac4986124c9,68d0b7af3dbf45219e3f640312dcaab4,,,,,,,,,,,,,b0842e309b5c4f6ebc21acf947ddde84,,,,,,,,
Blackbull,Minion,Warrior,Classic,Unique,,"[""Npc""]",,,7,3,2,,,,,,,,"[""Blackbull""]",,13466c9132164e2bbb4e7474c2001a91,d9a586f4dc854e8799f6a51b68262760,,,,,,,,,,,,,3857428ab80c47d8bf6a5752921ae76b,,,,,,,,
BlackKitty,Minion,Common,Nautilus,Epic,,"[""Pet""]",,,3,1,1,,,,,,,,"[""BlackKitty""]",,ff1a5dd9d25a426abd990959a42b2498,586c981fb0cb483cb3d802a5208d1cd4,,,,,,,,,,,,,2d891e2ced7b435c944dbc2cbc6be980,,,,,,,,
