key,Source,Note,en,ko
Deck,Deck,,Deck,덱
Warrior,Warrior,,Warrior,전사
Magician,Magician,,Magician,마법사
Bowman,Bowman,,Bowman,궁수
Thief,Thief,,Thief,도적
Pirate,Pirate,,Pirate,해적
Brave,Brave,,Brave,용감한
Wise,Wise,,Wise,지혜로운
Nimble,Nimble,,Nimble,민첩한
Lucky,Lucky,,Lucky,행운의
Fierce,Fierce,,Fierce,사나운
Mystic,Mystic,,Mystic,신비로운
Cunning,Cunning,,Cunning,교활한
Noble,Noble,,Noble,고귀한
Valiant,Valiant,,Valiant,용맹한
Savage,Savage,,Savage,야만적인
Arcane,Arcane,,Arcane,비밀스러운
Serene,Serene,,Serene,고요한
Ruthless,Ruthless,,Ruthless,무자비한
Fearless,Fearless,,Fearless,무모한
Eternal,Eternal,,Eternal,영원한
Happy,Happy,,Happy,행복한
Swift,Swift,,Swift,빠른
Strong,Strong,,Strong,강한
Enchanted,Enchanted,,Enchanted,마법에 걸린
Thunderous,Thunderous,,Thunderous,천둥 같은
Divine,Divine,,Divine,신성한
Shadowy,Shadowy,,Shadowy,그림자가 드리운
Courageous,Courageous,,Courageous,용기 있는
Fiery,Fiery,,Fiery,불타는
Luminous,Luminous,,Luminous,찬란한
Cool,Cool,,Cool,멋진
Venomous,Venomous,,Venomous,독을 품은
Chaotic,Chaotic,,Chaotic,혼돈의
Frozen,Frozen,,Frozen,얼어붙은
Simple,Simple,,Simple,단순한
Unstoppable,Unstoppable,,Unstoppable,막을 수 없는
Phantom,Phantom,,Phantom,유령 같은
Lethal,Lethal,,Lethal,치명적인
Popular,Popular,,Popular,인기있는
Nice,Nice,,Nice,나이스한
Giant,Giant,,Giant,거대한
Tiny,Tiny,,Tiny,조그마한
Diligent,Diligent,,Diligent,건실한
Healthy,Healthy,,Healthy,건강한
