chapter,wave,group,monster,spawnMin,spawnMax,formation,option,delay,interval,spawnCount,spawnRadius,monsterWave,life
1,1,1,EliteBoss_White Desert Rabbit,1,1,random,　,2,1,1,15,　,1
10001,1,1,Pudgy Flower,4,8,group,3,5,5,4,15,　,1
10001,2,1,WAVE,2,3,circle,24,5,5,2,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,1
10001,2,2,WAVE,2,3,circle,24,5,5,2,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,1
10001,2,1,Pudgy Flower,10,15,circle,24,5,5,2,15,　,1
10001,2,2,Pudgy Flower,15,15,circle,24,7,5,2,15,　,1
10001,3,1,Pudgy Flower,15,20,random,　,5,5,2,15,　,2
10001,3,1,WAVE,2,3,circle,24,5,5,2,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,2
10001,3,1,WAVE,2,3,circle,24,5,5,2,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,2
10001,4,1,Pudgy Flower,5,10,group,3,5,5,5,15,　,2
10001,4,1,Toxiblossom,8,14,circle,26,7,15,3,15,　,2
10001,5,1,Toxiblossom,10,18,group,3,5,5,6,15,　,2
10001,5,2,Toxiblossom,8,16,circle,22,7,8,4,15,　,2
10001,5,1,WAVE,2,3,circle,24,5,5,3,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,2
10001,5,2,WAVE,2,3,circle,24,5,5,3,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,2
10001,6,1,EliteBoss_Toxiblossom,1,1,random,　,10,1,1,15,　,1
10002,1,1,Pudgy Flower,8,16,group,3,5,4,8,15,　,1
10002,2,1,WAVE,2,3,circle,24,5,5,2,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,1
10002,2,1,Toxiblossom,5,10,group,3,5,5,8,15,　,1
10002,2,2,Toxiblossom,15,20,circle,18,7,5,2,15,　,1
10002,3,1,Toxiblossom,15,30,random,　,5,5,2,15,　,2
10002,3,2,Hoppin' Sprout,2,2,random,　,1,1,15,15,　,2
10002,4,1,WAVE,2,3,circle,24,5,5,2,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,2
10002,4,1,Hoppin' Sprout,2,4,group,3,1,1,15,15,　,2
10002,4,1,Toxiblossom,15,30,circle,12,7,10,3,15,　,2
10002,5,1,WAVE,2,3,circle,24,5,5,2,15,model://097f0a46-880d-47c0-97d3-56652d1ff418,2
10002,5,1,Hoppin' Sprout,1,1,group,3,7,2,15,15,　,2
10002,5,1,Hoppin' Sprout,1,1,random,　,5,2,12,15,　,2
10002,5,1,Toxiblossom,1,1,random,　,5,1,27,15,　,2
10002,5,1,Toxiblossom,15,20,circle,18,10,10,2,15,　,2
10002,6,1,EliteBoss_Chargin' Sprout,1,1,random,　,10,1,1,15,　,1
10003,1,1,Toxiblossom,3,5,group,3,5,5,5,15,　,1
10003,1,1,Hoppin' Sprout,1,1,random,　,5,2,10,15,　,1
10003,1,1,Toxiblossom,1,1,random,　,5,2,10,15,　,1
10003,1,1,WAVE,2,3,group,24,5,8,2,15,model://792aa8ad-e99c-4ee5-b9c3-65d80e84c5da,1
10003,2,1,Hoppin' Sprout,1,1,random,　,3,1,26,15,　,1
10003,2,1,Hoppin' Sprout,1,1,random,　,5,1,26,15,　,1
10003,2,2,Chargin' Sprout,12,16,random,　,5,10,3,15,　,1
10003,3,1,Chargin' Sprout,1,2,group,3,5,2,16,15,　,2
10003,3,1,Hoppin' Sprout,1,2,group,3,5,2,16,15,　,2
10003,3,1,Chargin' Sprout,6,8,group,3,5,5,5,15,　,2
10003,3,1,WAVE,2,3,group,24,5,8,2,15,model://792aa8ad-e99c-4ee5-b9c3-65d80e84c5da,2
10003,4,1,Chargin' Sprout,5,16,random,　,5,5,3,15,　,2
10003,4,1,Log-a-Rhythmic Bugs,3,8,random,　,5,5,3,15,　,2
10003,5,1,WAVE,2,3,group,24,5,8,3,15,model://792aa8ad-e99c-4ee5-b9c3-65d80e84c5da,2
10003,5,1,Sparkinstone Bugs,12,20,circle,36,10,10,3,15,　,3
10003,5,1,Log-a-Rhythmic Bugs,8,14,group,3,5,5,5,15,　,3
10003,5,1,Sparkinstone Bugs,8,14,group,3,5,5,5,15,　,3
10003,6,1,EliteBoss_Sparkinstone Bugs,1,1,random,　,10,1,1,15,　,1
10004,1,1,Hoppin' Sprout,1,2,random,　,5,2,10,15,　,1
10004,1,1,Toxiblossom,1,3,random,　,5,1,20,15,　,1
10004,1,1,Hoppin' Sprout,1,1,group,5,5,2,10,15,　,1
10004,1,1,Toxiblossom,4,8,group,3,5,8,2,15,　,1
10004,2,1,Hoppin' Sprout,2,2,random,　,5,2,25,15,　,2
10004,2,1,Chargin' Sprout,4,8,group,4,5,5,8,15,　,2
10004,2,1,Hoppin' Sprout,1,2,random,　,5,1,45,15,　,2
10004,2,1,WAVE,1,3,group,24,5,5,2,15,model://792aa8ad-e99c-4ee5-b9c3-65d80e84c5da,2
10004,3,1,Log-a-Rhythmic Bugs,15,20,circle,18,5,5,4,15,　,2
10004,3,1,Sparkinstone Bugs,15,20,circle,18,6,5,4,15,　,2
10004,3,1,WAVE,2,4,group,24,5,5,2,15,model://792aa8ad-e99c-4ee5-b9c3-65d80e84c5da,2
10004,4,1,Log-a-Rhythmic Bugs,5,10,group,5,5,8,4,15,　,3
10004,4,1,Sparkinstone Bugs,5,10,group,5,5,8,4,15,　,3
10004,4,1,Ruins Guardian,4,8,group,3,5,8,4,15,　,3
10004,4,1,WAVE,2,4,group,24,4,8,4,15,model://792aa8ad-e99c-4ee5-b9c3-65d80e84c5da,2
10004,5,1,Ruins Guardian,15,28,random,　,4,10,4,15,　,3
10004,5,1,Ruins Sentinel,15,28,random,　,5,10,4,15,　,3
10004,5,1,Ruins Sentinel,4,8,group,3,5,5,7,15,　,3
10004,6,1,EliteBoss_Ruins Sentinel,1,1,random,　,10,1,1,15,　,1
10005,1,1,green_slime,2,2,random,　,5,2,8,15,　,1
10005,1,1,ribbon_pig,1,1,random,　,1,2,10,15,　,1
10005,1,1,Ruins Guardian,5,5,random,　,2,5,5,15,　,1
10005,1,1,WAVE,1,3,group,24,5,8,2,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,1
10005,1,2,green_slime,2,2,group,2,5,2,16,15,　,1
10005,1,2,Ruins Guardian,2,2,group,2,3,2,16,15,　,1
10005,2,1,green_slime,1,1,random,　,3,2,15,15,　,2
10005,2,2,buggy,5,10,group,3,5,8,4,15,　,2
10005,2,1,WAVE,2,4,group,24,5,8,3,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,2
10005,2,2,WAVE,2,4,group,24,5,8,3,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,2
10005,2,1,Ruins Sentinel,2,2,random,　,1,2,15,15,　,2
10005,3,1,snail_big,10,10,group,3,6,4,8,15,　,2
10005,3,1,Ruins Sentinel,5,5,group,3,6,1,30,15,　,2
10005,3,1,green_slime,1,1,random,　,5,2,15,15,　,2
10005,4,1,snail_big,10,10,circle,18,5,10,3,15,　,2
10005,4,1,Ruins Sentinel,6,6,group,3,3,1,29,15,　,2
10005,4,1,ribbon_pig,1,1,group,3,6,2,15,15,　,2
10005,5,1,WAVE,2,4,group,24,5,6,4,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,2
10005,5,1,ribbon_pig,2,3,random,　,7,1,30,15,　,2
10005,5,1,buggy,5,10,group,3,5,5,4,15,　,2
10005,5,1,snail_big,4,8,group,5,5,6,5,15,　,2
10005,6,1,Boss_slime,1,1,random,　,5,1,1,15,　,1
10006,1,1,Log-a-Rhythmic Bugs,8,18,group,3,5,8,5,15,　,1
10006,1,1,Sparkinstone Bugs,5,10,group,3,7,8,5,15,　,1
10006,1,2,Ruins Guardian,8,18,group,3,5,8,5,15,　,1
10006,1,2,Ruins Sentinel,5,10,group,3,7,8,5,15,　,1
10006,2,1,ribbon_pig,1,1,random,　,8,1,32,15,　,2
10006,2,1,green_slime,1,1,random,　,5,1,33,15,　,2
10006,2,1,snail_big,5,10,group,3,5,8,5,15,　,2
10006,2,1,WAVE,1,5,group,24,5,10,3,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,2
10006,3,1,Sparrow,5,10,random,　,5,8,3,15,　,2
10006,3,1,ribbon_pig,2,2,group,4,5,1,20,15,　,2
10006,3,1,Thorny Bramble,10,15,circle,18,10,10,2,15,　,2
10006,3,1,WAVE,2,4,group,24,5,6,3,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,2
10006,4,1,Forest Howlet,4,8,random,　,5,5,7,15,　,2
10006,4,1,Night Howlet,3,5,random,　,6,5,7,15,　,2
10006,4,2,Forest Howlet,10,20,circle,18,5,10,2,15,　,2
10006,4,2,Night Howlet,10,20,circle,18,10,10,2,15,　,2
10006,5,1,snail_big,5,5,random,　,5,6,6,15,　,3
10006,5,1,Sparrow,5,5,random,　,8,10,3,15,　,3
10006,5,1,Night Howlet,15,25,group,4,5,8,5,15,　,3
10006,5,1,WAVE,3,5,group,24,5,7,5,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,2
10006,6,1,EliteBoss_Thorny Bramble,1,1,random,　,10,1,1,15,　,1
10007,1,1,green_slime,1,1,random,　,4,2,12,15,　,1
10007,1,1,Sparrow,2,5,group,1,10,5,4,15,　,1
10007,1,1,ribbon_pig,1,1,random,　,5,3,8,15,　,1
10007,1,1,ribbon_pig,1,1,random,　,7,2,12,15,　,1
10007,1,1,Thorny Bramble,2,3,group,1,5,2,27,15,　,1
10007,1,1,WAVE,1,3,group,24,5,7,3,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,1
10007,2,1,Thorny Bramble,3,6,group,5,5,8,5,15,　,2
10007,2,1,Thorny Bramble,3,3,random,　,7,3,10,15,　,2
10007,2,1,Forest Howlet,3,6,group,5,5,8,5,15,　,2
10007,2,1,Forest Howlet,2,2,random,　,7,3,10,15,　,2
10007,2,1,WAVE,2,4,group,24,5,7,4,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,2
10007,3,1,Thorny Bramble,15,20,circle,18,5,10,3,15,　,2
10007,3,1,Forest Howlet,4,8,group,4,5,5,6,15,　,2
10007,3,1,Sparrow,10,15,circle,24,10,10,2,15,　,2
10007,4,1,Sparrow,3,6,group,5,5,10,3,15,　,2
10007,4,1,Sparrow,1,1,random,　,5,1,30,15,　,2
10007,4,1,Night Howlet,5,10,group,3,5,5,7,15,　,2
10007,4,1,WAVE,2,4,group,24,5,6,5,15,model://3434187a-9bfa-46d7-b439-b17f3e268457,2
10007,5,1,Night Howlet,1,3,random,　,5,1,30,15,　,2
10007,5,1,Night Howlet,1,3,random,　,6,1,30,15,　,2
10007,5,1,Sparrow,4,8,group,3,5,8,4,15,　,2
10007,5,1,Hay Bundle,1,1,random,　,5,1,30,15,　,2
10007,6,1,EliteBoss_Blue Spring Sprite,1,1,random,　,10,1,1,15,　,1
10008,1,1,Thorny Bramble,10,20,circle,18,5,15,2,15,　,1
10008,1,1,Thorny Bramble,4,8,group,4,5,8,4,15,　,1
10008,1,2,Sparrow,10,20,circle,18,5,15,2,15,　,1
10008,1,2,Sparrow,3,6,group,4,5,8,4,15,　,1
10008,2,1,green_slime,3,3,group,4,6,1,30,15,　,2
10008,2,1,ribbon_pig,2,2,group,4,5,1,30,15,　,2
10008,2,1,Thorny Bramble,10,18,group,4,5,5,10,15,　,2
10008,2,1,WAVE,2,4,group,24,5,9,3,15,model://7a66fb30-7d22-4c41-aa8c-ab537fbf9e5f,2
10008,3,1,Night Howlet,15,20,circle,18,5,8,3,15,　,2
10008,3,1,Hay Bundle,8,14,group,5,5,5,5,15,　,2
10008,3,2,Hay Bundle,8,14,group,5,5,5,5,15,　,2
10008,3,2,Blue Spring Sprite,10,20,circle,18,5,8,3,15,　,2
10008,4,1,Hay Bundle,15,25,circle,15,5,10,3,15,　,2
10008,4,1,Blue Spring Sprite,7,14,circle,26,6,10,2,15,　,2
10008,4,1,WAVE,2,4,group,24,5,7,4,15,model://7a66fb30-7d22-4c41-aa8c-ab537fbf9e5f,2
10008,5,1,Thorny Bramble,4,10,group,3,5,5,6,15,　,2
10008,5,1,Night Howlet,4,10,group,3,5,5,6,15,　,2
10008,5,1,Hay Bundle,1,1,random,　,5,1,35,15,　,2
10008,5,1,Blue Spring Sprite,3,5,group,3,5,5,5,15,　,2
10008,5,1,WAVE,3,5,group,24,5,8,4,15,model://7a66fb30-7d22-4c41-aa8c-ab537fbf9e5f,2
10008,6,1,EliteBoss_Dust Bundle,1,1,random,　,10,1,1,15,　,1
10009,1,1,ribbon_pig,1,1,random,　,5,2,15,15,　,1
10009,1,1,Thorny Bramble,1,3,group,3,6,1,30,15,　,1
10009,1,1,Forest Howlet,1,2,random,　,7,1,30,15,　,1
10009,1,1,WAVE,1,3,group,24,5,10,3,15,model://7a66fb30-7d22-4c41-aa8c-ab537fbf9e5f,1
10009,2,1,Hay Bundle,5,7,group,3,5,3,10,15,　,2
10009,2,1,Dust Bundle,5,7,group,3,5,3,10,15,　,2
10009,2,1,WAVE,2,4,group,24,5,7,4,15,model://7a66fb30-7d22-4c41-aa8c-ab537fbf9e5f,2
10009,3,1,Dust Bundle,1,1,random,　,5,1,40,15,　,2
10009,3,1,Forest Glimmerfox,12,17,circle,24,10,12,3,15,　,2
10009,3,2,Dust Bundle,1,1,random,　,5,1,40,15,　,2
10009,3,2,Blue Spring Sprite,12,17,circle,24,10,12,3,15,　,2
10009,4,1,Forest Glimmerfox,3,8,group,5,5,7,5,15,　,3
10009,4,1,Blue Spring Sprite,2,5,group,3,5,8,6,15,　,3
10009,4,1,WAVE,3,5,group,24,4,8,6,15,model://7a66fb30-7d22-4c41-aa8c-ab537fbf9e5f,2
10009,5,1,Forest Glimmerfox,5,8,group,4,5,5,8,15,　,3
10009,5,1,Forest Glimmerfox,5,8,group,4,5,5,8,15,　,3
10009,5,1,Blue Spring Sprite,2,6,group,4,5,7,8,15,　,3
10009,6,1,EliteBoss_Night Glimmerfox,1,1,random,　,10,1,1,15,　,1
10010,1,1,Hay Bundle,14,18,circle,24,5,10,3,15,　,1
10010,1,1,Forest Howlet,8,14,circle,36,7,5,6,15,　,1
10010,1,2,Hay Bundle,14,18,circle,24,5,10,3,15,　,1
10010,1,2,Forest Howlet,8,14,circle,36,7,5,6,15,　,1
10010,2,1,Forest Glimmerfox,20,35,circle,18,5,15,2,15,　,2
10010,2,1,Hay Bundle,8,18,group,3,5,5,7,15,　,2
10010,2,1,Dust Bundle,8,18,group,3,5,5,7,15,　,2
10010,2,1,WAVE,1,1,group,24,5,7,5,15,model://a6abff31-824f-42f0-8524-8c4c38e5f44c,2
10010,3,1,Blue Spring Sprite,1,2,random,　,6,6,6,15,　,2
10010,3,1,Forest Glimmerfox,1,3,group,3,5,5,7,15,　,2
10010,3,1,Boss_slime,1,1,random,　,15,1,1,15,　,1
10010,3,1,WAVE,1,1,group,24,5,7,5,15,model://a6abff31-824f-42f0-8524-8c4c38e5f44c,2
10010,4,1,Blue Spring Sprite,10,20,circle,18,10,15,2,15,　,2
