id,level,name,description,type,amount,drawCount,drawOption,drawWeight,rare,ruid,pivotX,pivotY,scale
100001,1,스트롱 하트,최대 체력 <color=#B5FA4D>10% 증가</color>,buff,10,3,,10,0,fa6c71fe82b64433aa079119114caa0e,0,-10,1
100003,2,스트롱 하트,최대 체력 <color=#B5FA4D>25% 증가</color>,buff,25,1,,1,1,fa6c71fe82b64433aa079119114caa0e,0,-10,1
100004,1,정열의 빨간 포션,체력 <color=#B5FA4D>30% 회복</color>,consume,30,0,,15,0,ecf2895c173941c7843d859cab0fb6d7,0,-10,1
100006,2,정열의 빨간 포션,체력 <color=#B5FA4D>100% 회복</color>,consume,100,0,,1,1,ecf2895c173941c7843d859cab0fb6d7,0,-10,1
100007,1,신속의 날개,이동 속도 <color=#B5FA4D>15% 증가</color>,buff,15,3,,10,0,2c192bb333224ca7ab200cd106edcb58,0,-10,1
100009,2,신속의 날개,이동 속도 <color=#B5FA4D>50% 증가</color>,buff,50,1,,1,1,2c192bb333224ca7ab200cd106edcb58,0,-10,1
100010,1,전사의 맹세,전체 무기 대미지 <color=#B5FA4D>5% 증가</color>,buff,5,3,,10,0,8fa72b6dad7740dda93170adf670ec17,0,-10,1
100012,2,전사의 맹세,전체 무기 대미지 <color=#B5FA4D>20% 증가</color>,buff,20,1,,1,1,8fa72b6dad7740dda93170adf670ec17,0,-10,1
100013,1,지혜의 서,경험치 획득 비율 <color=#B5FA4D>20% 증가</color>,buff,20,3,,10,0,27ad7e9cc4f54aa9920cd73f638b7793,0,-10,1
100015,2,지혜의 서,경험치 획득 비율 <color=#B5FA4D>50% 증가</color>,buff,50,1,,1,1,27ad7e9cc4f54aa9920cd73f638b7793,0,-10,1
100016,1,다크 사이트,회피율 5% 증가,buff,5,3,,0,0,c12a135d120d44aaaee725b1bb51ef62,0,-10,1
100017,2,다크 사이트,회피율 10% 증가,buff,10,0,,0,0,c12a135d120d44aaaee725b1bb51ef62,0,-10,1
100018,3,다크 사이트,회피율 20% 증가,buff,20,0,,0,0,c12a135d120d44aaaee725b1bb51ef62,0,-10,1
100019,1,정밀한 조준,전체 무기 공격 범위 5% 증가,buff,5,0,,0,0,64224b19c0aa4359963ab551d5862cfd,0,-10,1
100020,2,정밀한 조준,전체 무기 공격 범위 10% 증가,buff,10,0,,0,0,64224b19c0aa4359963ab551d5862cfd,0,-10,1
100021,3,정밀한 조준,전체 무기 공격 범위 30% 증가,buff,30,0,,0,0,64224b19c0aa4359963ab551d5862cfd,0,-10,1
100022,1,스피드 샷,전체 무기 공격 속도 <color=#B5FA4D>10% 증가</color>,buff,10,3,,10,0,102c9e200c944a8c92296818d8021934,0,-10,1
100024,2,스피드 샷,전체 무기 공격 속도 <color=#B5FA4D>30% 증가</color>,buff,30,1,,1,1,102c9e200c944a8c92296818d8021934,0,-10,1
100025,1,붕대 감기,회복력 <color=#B5FA4D>+1%</color>,buff,1,3,,5,0,8c484bd046ad40998d307501ef8826bd,0,-10,1
100027,2,붕대 감기,회복력 <color=#B5FA4D>+3%</color>,buff,0,0,,0,1,8c484bd046ad40998d307501ef8826bd,0,-10,1
100028,1,흡혈,"공격 시, 1% 확률로 체력 0.5% 회복",buff,0.5,3,,0,0,17faae1466944096bfa5b74ed08a763c,0,-10,1
100030,2,흡혈,"공격 시, 1% 확률로 체력 3% 회복",buff,3,1,,0,1,17faae1466944096bfa5b74ed08a763c,0,-10,1
100031,1,근육 증폭,물리 무기 대미지 <color=#B5FA4D>10% 증가</color>,buff,10,3,,10,0,19182335cbbb4ea5a443ba06d9a0fbdc,0,-10,1
100033,3,근육 증폭,물리 무기 대미지 <color=#B5FA4D>30% 증가</color>,buff,30,1,,1,1,19182335cbbb4ea5a443ba06d9a0fbdc,0,-10,1
100034,1,마력 증폭,마법 무기 대미지 <color=#B5FA4D>10% 증가</color>,buff,10,3,,10,0,953ea68c9aab46b598437653485195e5,0,-10,1
100036,3,마력 증폭,마법 무기 대미지 <color=#B5FA4D>30% 증가</color>,buff,30,1,,1,1,953ea68c9aab46b598437653485195e5,0,-10,1
100037,1,집중,치명타 확률 <color=#B5FA4D>10% 증가</color>,buff,10,3,,10,0,4daab9a42ad041ab83a8e982e8dbd20d,0,-10,1
