id,name,material_1,count_1,material_2,count_2,material_3,count_3,material_4,count_4,material_5,count_5,status_Id_1,status_Value_1,category,grade,materialTypeCount
610001,초급 거너 마스터리,1_001001,5,1_008001,5,1_011001,5,,,,,attackSpeed,0.5,weapon,normal,3
620001,초급 궁수 마스터리,1_005001,5,1_009001,5,1_014001,5,,,,,range,5,weapon,normal,3
630001,초급 전사 마스터리,1_004001,5,1_007001,5,1_013001,5,,,,,physicalDamage,0.5,weapon,normal,3
640001,초급 마법 마스터리,1_003001,5,1_010001,5,1_012001,5,,,,,magicalDamage,0.5,weapon,normal,3
650001,초급 도적 마스터리,1_002001,5,1_006001,5,1_015001,5,,,,,criticalDamage,1,weapon,normal,3
660001,초급 대미지 마스터리1,1_001001,5,1_005001,5,1_004001,5,1_003001,5,1_002001,5,totalDamage,1,weapon,normal,5
670001,초급 대미지 마스터리2,1_008001,5,1_009001,5,1_007001,5,1_010001,5,1_006001,5,totalDamage,1,weapon,normal,5
680001,초급 보스 사냥 마스터리,1_011001,5,1_014001,5,1_013001,5,1_012001,5,1_015001,5,bossDamage,0.25,weapon,normal,5
710001,전사의 심장 1단계,2_101001,1,2_203001,1,,,,,,,maxHp,15,armor,normal,2
720001,치킨 스토리 1챕터,2_204001,1,2_404001,1,,,,,,,evade,0.7,armor,normal,2
730001,자연인이 된 지 1년째,2_102001,1,2_401001,1,,,,,,,criticalPercent,0.25,armor,normal,2
740001,무도인의 길 1단계,2_201001,1,2_302001,1,,,,,,,bossDamage,0.25,armor,normal,2
750001,축구 선수 1년차,2_202001,1,2_403001,1,,,,,,,speed,1.5,armor,normal,2
760001,공대 재학 1학기,2_304001,1,2_402001,1,,,,,,,maxHp,15,armor,normal,2
770001,수호 천사 1단계,2_104001,1,2_301001,1,,,,,,,maxHp,15,armor,normal,2
780001,물과 불의 조화 1단계,2_103001,1,2_303001,1,,,,,,,maxHp,15,armor,normal,2
