id,type,value,desc
CARD_LV_MAX,number,3,인게임 카드 최대 별 수
WEALTHTYPE_MESO,string,Gold,재화 타입 - 메소
WEALTHTYPE_SCROLL,string,WeaponScroll,재화 타입 - 장비 스크롤
WEALTHTYPE_ESSENCE,string,Essence,재화 타입 - 정수
WEALTHTYPE_DIAMOND,string,Diamond,재화 타입 - 다이아몬드
WEALTHTYPE_WORLDCOIN,string,WorldCoin,재화 타입 - 월드 코인
WEALTHTYPE_FIELDGEM,string,FieldGem,재화 타입 - 필드젬
WEAPONCARD_LV_MAX,number,4,무기카드의 최대 별 수
WEAPONCOOLTIME_RATIO_MASTER,number,1,(테스트) 원거리무기 쿨타임 비율 마스터 값
MAX_EQUIPMENT_CNT,number,6,무기 최대 장착 개수
MAX_INGAME_LV,number,50,최대 인게임 레벨
INGAME_MAX_EXP_RATIO,number,500,최대 경험치 배수
ITEMTYPE_EGG,string,3,아이템 타입 (알)
ITEMTYPE_WEAPON,string,1,아이템 타입 (무기)
ITEMTYPE_ARMOR,string,2,아이템 타입 (방어구)
ITEMTYPE_CURRENCY,string,4,아이템 타입 (재화)
ITEMTYPE_CONSUME,string,5,아이템 타입 (소모품)
ITEMTYPE_ETC,string,6,아이템 타입 (기타)
ITEMTYPE_DECORATION,string,7,아이템 타입 (치장)
ITEMTYPE_ACCESSORY,string,8,아이템 타입 (장신구)
MONSTERTYPE_MONSTER,number,1,몬스터 타입(몬스터)
MONSTERTYPE_ELITE,number,2,몬스터 타입(엘리트)
MONSTERTYPE_BOSS,number,3,몬스터 타입(보스)
WORLD_RAID_MAX_TICKET,number,3,월드 보스레이드 일일 참가수
NPCTYPE_CASHSHOP,string,CASHSHOP,NPC 타입 (유료 상점)
NPCTYPE_PATROL,string,PATROL,NPC 타입 (순찰)
NPCTYPE_CHARACTERISTIC,string,CHARACTERISTIC,NPC 타입 (캐릭터 특성)
NPCTYPE_LIMITLAND,string,LIMITLAND,NPC 타입(한계의 땅)
NPCTYPE_MYINFO,string,MYINFO,NPC 타입(내 정보)
NPCTYPE_RANKING,string,RANKING,NPC 타입(랭킹)
NPCTYPE_ATTENDANCE,string,ATTENDANCE,NPC 타입(출석)
NPCTYPE_WEAPON,string,WEAPON,NPC 타입(무기 창고)
NPCTYPE_DEX,string,DEX,NPC 타입(장비 도감)
NPCTYPE_CRACK,string,CRACK,NPC 타입(균열)
NPCTYPE_PET,string,PET,NPC 타입(펫)
NPCTYPE_QUEST,string,QUEST,NPC 타입(퀘스트)
NPCTYPE_SOULDUST,string,SOULDUST,NPC 타입 (소울 더스트)
NPCTYPE_2402SHOP,string,E_SHOP2402,NPC 타입 (설 이벤트 상점)
NPCTYPE_PILOT,string,PILOT,NPC 타입 (조종사 어빈)
NPCTYPE_FIELDSHOP,string,FIELDSHOP,NPC 타입 (상인 도르)
SUDDENMISSION_APPLIEDBUFF_CONDITION_PERCENT,number,0.125,"돌발 미션 발생 조건이 버프 적용일 때, 미션 등장 확률"
MAX_ITEM_LEVEL,number,50,아이템 최대 레벨
MAX_ENTER_LIMITLAND_COUNT,number,5,한계의 땅 일일 입장 횟수
TIMER_LIMITLAND,number,900,한계의 땅 시간 제한
SEASON_STANDARAD_DATETIME,string,2023-11-20,시즌 시작 기준일 (게임 최초 배포 주의 월요일)
WAVE_PER_BOX,number,10,웨이브당 박스 최대 스폰 수
