tip,mode
소울 더스트를 1000개 모으면 소울 피스 교환권으로 바꿀 수 있습니다.,0
전투 중 무기를 최대로 강화하여 궁극진화 시 화려한 효과를 볼 수 있습니다.,1
사용하지 않는 장비로 장비 도감을 채워 스탯을 올려보세요.,0
각 스테이지를 최초로 클리어하면 보상을 줍니다.,0
무기는 일정 레벨에 도달하면 다음 등급이 됩니다.,0
"장비의 등급은 노멀, 레어, 에픽, 유니크, 레전더리로 나뉩니다.",0
같은 종류의 무기를 여러 개 낄 수도 있습니다.,0
낮은 레벨의 무기를 장착하면 전투력이 오히려 낮아질 수 있습니다.,0
"대쉬를 사용하면 짧게 무적 상태가 되며, 주변 몬스터가 밀려납니다.",1
전투 중 획득한 소울 에그는 죽더라도 획득됩니다.,1
소울의 전용 무기를 장착하면 해당 무기의 공격력 버프가 있습니다.,0
탐색대 보상의 양은 계정 레벨에 비례합니다.,0
날아다니는 몬스터들에게는 넉백이 적용되지 않으니 주의하세요.,1
맵에 드롭된 아이템들은 웨이브가 끝날 때 자동으로 입수되니 걱정하지 마세요.,1
"PC 버전에서는 전투 중 카드 선택 시, 키보드의 숫자 키로도 선택할 수 있습니다.",1
방어구끼리 합성하여 더 높은 등급의 새로운 방어구로 만들 수 있습니다.,0
전투 중 크리스탈 오브를 부수면 생존에 도움을 주는 아이템이 나오는 경우도 있습니다.,1
"무기 창고에서 '정렬' 버튼을 눌러 레벨별, 종류별로 깔끔하게 정리해보세요.",0
"각 챕터의 5, 10 스테이지에서는 강력한 보스가 등장합니다.",0
"명찰, 말풍선, 대미지 폰트를 꾸며주는 치장 아이템을 장착해보세요.",0
대쉬는 방향키와 함께 사용하세요.,0
월간 구매 제한 횟수는 매월 1일에 초기화됩니다.,0
"전투 중 급한 일이 생긴다면, 일시 정지 버튼을 눌러 잠시 게임을 멈출 수 있습니다.",1
몬스터에게 공격당한 후 짧은 시간 동안 무적 상태가 됩니다.,0
설정에서 다양한 옵션을 조정할 수 있습니다.,0
무기를 여러 개 장착할수록 무기 카드가 등장하는 확률도 증가합니다.,1
무기 카드를 뽑아 무기를 장착하거나 강화할수록 무기 카드가 등장하는 확률은 낮아집니다.,1
펫은 각자 다른 능력을 지니고 있습니다. 상점에서 펫 소환을 통해 확인해 보세요.,0
균열은 매일 1회 무료로 입장할 수 있습니다.,0
한계의 땅에서는 주간 순위 보상을 지급합니다.,0
전투 중 돌발 미션이 발생할 수 있습니다. 성공적으로 완료하면 버프 혹은 재화 보상을 획득합니다.,1
유니크 등급 이상의 데몬 소드는 투사체를 파괴합니다.,0
사운드 슈터는 적들이 총알을 따라가도록 하여 공간을 확보해 줍니다.,0
부채는 넉백이 가장 강력한 무기입니다.,0
"넉백, 기절 등의 이동 방해 효과는 보스에게 적용되지 않습니다.",0
"폴암, 단검, 망치, 데몬 소드는 무기에 닿는 적에게 대미지를 줍니다.",0
레전더리 등급의 체스피스는 중력장에 닿은 몬스터를 끌어당깁니다.,0
무기의 레벨이 오르면 대미지가 증가합니다.,0
무기와 방어구는 등급이 오르면 등급에 맞는 옵션이 개방됩니다.,0
미니맵을 누르면 지도를 크게 볼 수 있습니다.,2
맵 곳곳을 방문해 지도의 닫힌 부분을 열고 필드젬도 얻어보세요.,2
쾌속 비행을 통해 언제든 모닥불로 이동할 수 있습니다.,2
몬스터를 잡아 모은 맵의 정수로 각 맵의 석상을 열 수 있습니다.,2
모닥불에서는 체력과 마나가 서서히 회복됩니다.,2
물약 슬롯에 체력/마나 물약을 등록해 자동으로 회복할 수 있습니다.,2
자동 공격을 해제하고 숫자 키로 직접 무기를 사용할 수도 있습니다.,2
파티를 맺으면 파티 인원에 따라 추가 필드 경험치를 획득할 수 있습니다.,2
마나는 모닥불 밖에서도 천천히 회복됩니다.,2
필드에서는 방어구와 펫의 옵션이 적용되지 않습니다.,2
맵 곳곳에 위치한 '상인 도르'를 만나 전투에 필요한 아이템을 구입해보세요.,2
설정에서 물약 슬롯의 체력/마나 물약이 사용되는 조건을 변경할 수 있습니다.,2
마법 계승을 통해 장신구에 부여된 마법 부여 옵션을 다른 장신구에 옮길 수 있습니다.,0
"장신구 등급은 B, A, S, SS, SSS 5종류로 각 등급에 따라 최대 강화 수치와 마법 부여 슬롯 개수가 달라집니다.",0
어빌리티 능력치는 필드에서만 적용됩니다.,2
필드 레벨에 적정하지 않은 몬스터 사냥 시 획득 가능한 필드 경험치가 감소합니다.,2
장비 교체는 모닥불 근처에서만 할 수 있습니다.,2
제작으로 장신구와 물약을 만들 수 있습니다. 또한 소울 에그도 만들 수 있습니다.,2
필드젬은 필드에서만 사용할 수 있습니다.,0
맵의 정수를 아이템 제작 재료로도 사용할 수 있습니다.,2
"필드 레벨 31부터는 사망 시 필드 경험치를 5% 잃게 됩니다. 단, 레벨이 감소하지는 않습니다.",2
소울의 전용 무기를 장착하지 않으면 궁극기를 사용할 수 없습니다.,2
"무기 장착 개수 증가, 대쉬 강화 특성은 필드에서도 적용됩니다. ",2
동일한 무기군의 무기들은 함께 사용할 수 없습니다.,2
마을에서 장착해 온 무기들은 전투 중 무기 카드를 뽑아 사용할 수 있습니다.,1
