id,percent,meso,materialCount
1,1,100,5
2,1,100,5
3,1,200,5
4,1,200,7
5,1,200,7
6,0.95,500,7
7,0.93,500,9
8,0.91,500,9
9,0.89,500,10
10,0.87,500,10
11,0.8,2000,10
12,0.8,2000,10
13,0.8,5000,10
14,0.8,5000,10
15,0.8,5000,10
16,0.75,10000,10
17,0.73,10000,10
18,0.71,10000,12
19,0.69,10000,12
20,0.67,10000,12
21,0.65,100000,12
22,0.65,100000,12
23,0.62,300000,12
24,0.62,300000,12
25,0.62,300000,12
26,0.55,1000000,15
27,0.55,1000000,15
28,0.55,3000000,15
29,0.5,3000000,15
30,0.5,3000000,15
31,0.5,7500000,17
32,0.5,7500000,17
33,0.45,15000000,17
34,0.45,15000000,17
35,0.45,31000000,17
36,0.4,86000000,17
37,0.4,86000000,17
38,0.4,180000000,17
39,0.35,180000000,17
40,0.35,220000000,17
41,0.3,750000000,17
42,0.3,750000000,17
43,0.3,1200000000,17
44,0.3,1200000000,17
45,0.3,1200000000,17
46,0.25,3000000000,20
47,0.25,3000000000,20
48,0.25,6000000000,20
49,0.25,6000000000,20
50,0.25,10000000000,20
