RecipeId,ItemName,ItemId,ItemCategory,ItemType,ItemGrade,ingredient_1,quantity_1,ingredient_2,quantity_2,ingredient_3,quantity_3,ingredient_4,quantity_4,ingredient_5,quantity_5,ingredient_6,quantity_6,ingredient_7,quantity_7,ingredient_8,quantity_8,ingredient_9,quantity_9,ingredient_10,quantity_10
10001,오팔,100_000002,ingredient,magicstone,epic,100_000001,2,100_000088,2,,,,,,,,,,,,,,,,
10002,자수정,100_000004,ingredient,magicstone,epic,100_000003,2,100_000088,2,,,,,,,,,,,,,,,,
10003,사파이어,100_000006,ingredient,magicstone,epic,100_000005,2,100_000088,2,,,,,,,,,,,,,,,,
10004,자줏빛 크리스탈,100_000008,ingredient,magicstone,epic,100_000007,2,100_000088,2,,,,,,,,,,,,,,,,
10005,토파즈,100_000010,ingredient,magicstone,epic,100_000009,2,100_000088,2,,,,,,,,,,,,,,,,
10006,아쿠아마린,100_000012,ingredient,magicstone,epic,100_000011,2,100_000088,2,,,,,,,,,,,,,,,,
10007,녹빛 크리스탈,100_000014,ingredient,magicstone,epic,100_000013,2,100_000088,2,,,,,,,,,,,,,,,,
10008,가넷,100_000016,ingredient,magicstone,epic,100_000015,2,100_000088,2,,,,,,,,,,,,,,,,
10009,흑수정,100_000018,ingredient,magicstone,epic,100_000017,2,100_000088,2,,,,,,,,,,,,,,,,
10010,리튬,100_000020,ingredient,magicstone,epic,100_000019,2,100_000088,2,,,,,,,,,,,,,,,,
10011,은빛 크리스탈,100_000022,ingredient,magicstone,epic,100_000021,2,100_000088,2,,,,,,,,,,,,,,,,
10012,청록빛 크리스탈,100_000024,ingredient,magicstone,epic,100_000023,2,100_000088,2,,,,,,,,,,,,,,,,
10013,노란빛 크리스탈,100_000026,ingredient,magicstone,epic,100_000025,2,100_000088,2,,,,,,,,,,,,,,,,
10014,푸른빛 크리스탈,100_000028,ingredient,magicstone,epic,100_000027,2,100_000088,2,,,,,,,,,,,,,,,,
10015,붉은빛 크리스탈,100_000030,ingredient,magicstone,epic,100_000029,2,100_000088,2,,,,,,,,,,,,,,,,
