LevelDiff,expRate,dropRate,damageRate
40,0.1,0.1,1
39,0.2,0.2,1
38,0.3,0.3,1
37,0.4,0.4,1
36,0.5,0.5,1
35,0.6,0.6,1
34,0.7,0.7,1
33,0.8,0.8,1
32,0.9,0.9,1
31,0.9,0.9,1
30,1,1,1
29,1,1,1
28,1,1,1
27,1,1,1
26,1,1,1
25,1,1,1
24,1,1,1
23,1,1,1
22,1,1,1
21,1,1,1
20,1,1,1
19,1,1,1
18,1,1,1
17,1,1,1
16,1,1,1
15,1,1,1
14,1,1,1
13,1,1,1
12,1,1,1
11,1,1,1
10,1,1,1
9,1,1,1
8,1,1,1
7,1,1,1
6,1,1,1
5,1,1,1
4,1,1,1
3,1,1,1
2,1,1,1
1,1,1,1
0,1,1,1
-1,1,1,1
-2,1,1,1
-3,1,1,1
-4,1,1,1
-5,1,1,1
-6,1,1,1
-7,1,1,1
-8,1,1,1
-9,1,1,1
-10,1,1,1
-11,1,1,1
-12,1,1,1
-13,1,1,1
-14,1,1,1
-15,1,1,1
-16,1,1,1
-17,1,1,1
-18,1,1,1
-19,1,1,1
-20,1,1,1
-21,1,1,1
-22,1,1,1
-23,1,1,1
-24,1,1,1
-25,1,1,1
-26,1,1,1
-27,1,1,1
-28,1,1,1
-29,1,1,1
-30,1,1,1
-31,0.9,0.9,0.9
-32,0.8,0.8,0.8
-33,0.7,0.7,0.7
-34,0.6,0.6,0.6
-35,0.5,0.5,0.5
-36,0.4,0.4,0.4
-37,0.3,0.3,0.3
-38,0.2,0.2,0.2
-39,0.1,0.1,0.1
-40,0,0,0
