dropId,dropType,dropRate,itemId,itemCount,itemPercent
900001,monster,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075,1/1/1/2/1/1/1/1/1/1/1/1/1/1/1/1,0.07/0.2/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.165/0.15/0.008
900002,monster,10000,100_000160/100_000122/999_999999/105_000001/100_000133/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000074/100_000075,1/1/1/2/1/1/1/1/1/1/1/1/1/1/1/1,0.1/0.3/0.0065/0.033/0.2/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.23/0.135/0.09
900003,monster,10000,100_000161/100_000122/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076,1/1/1/2/1/1/1/1/1/1/1/1/1/1/1/1,0.066/0.3/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.033/0.035
900004,monster,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000075/100_000076/100_000077/100_000078,1/1/1/2/2/1/1/1/1/1/1/1/1/1/1/1/1/1,0.027/0.052/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.2/0.0177/0.02/0.035/0.006
900005,monster,10000,100_000162/100_000125/999_999999/105_000001/100_000134/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000076/100_000077/100_000078,1/1/1/2/2/1/1/1/1/1/1/1/1/1/1/1/1,0.035/0.045/0.0065/0.033/0.058/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.011/0.02/0.025
900006,monster,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000077/100_000078/100_000079/100_000080,1/1/1/2/3/1/1/1/1/1/1/1/1/1/1/1/1/1,0.03/0.09/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.065/0.011/0.02/0.03/0.0027
900007,monster,10000,100_000163/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000078/100_000079/100_000080/100_000081,1/1/1/2/3/1/1/1/1/1/1/1/1/1/1/1/1/1,0.032/0.095/0.0065/0.033/0.024/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.05/0.007/0.02/0.018/0.007
900008,monster,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072/100_000073/100_000080/100_000081,1/1/1/2/5/1/1/1/1/1/1/1/1/1/1/1,0.016/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008/0.055/0.025/0.03
900009,monster,10000,100_000164/100_000125/999_999999/105_000001/100_000135/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072,1/1/1/2/5/1/1/1/1/1/1/1/1,0.025/0.095/0.0065/0.033/0.016/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008
900010,monster,10000,100_000165/100_000128/999_999999/105_000001/100_000136/100_000065/100_000066/100_000067/100_000068/100_000069/100_000070/100_000071/100_000072,1/1/1/2/6/1/1/1/1/1/1/1/1,0.028/0.085/0.0065/0.033/0.0115/0.2/0.2/0.05/0.05/0.025/0.025/0.008/0.008
