id,name,missionDifficulty,missionSlotNum,objectiveType,objectiveNum
1,적정 스테이지 %d회 클리어,low,1,stageClear,3
2,소울 에그 %d개 사용,low,1,hatchSoulEgg,10
3,전투 중 대쉬 %d회 사용,low,1,useDash,10
4,버프 카드 %d회 선택,low,1,selectBuff,10
5,%s 스테이지 클리어,low,2,randomStageClear,1
6,무기 %d회 합성,low,2,mergeWeapon,10
7,몬스터 %d회 공격,low,2,attackMonster,500
8,소울 붐 %d회 사용,low,2,useSoulBoom,2
9,"%s 소울 장착 후, 아무 스테이지 %d회 클리어",medium,3,equipSoulAndClear,1
10,"%s 무기 장착 후, 적정 스테이지 %d회 클리어",medium,3,equipWeaponAndClear,1
11,적정 스테이지에서 몬스터 %d마리 처치,medium,3,killMonster,500
12,소울 1회 레벨 업,medium,3,levelUpSoul,1
13,한계의 땅 %d회 도전,medium,3,tryLimitLand,1
14,날아다니는 몬스터 %d마리 처치,medium,4,killFlyingMonster,200
15,전투 중 물약 %d개 획득,medium,4,lootPotion,3
16,크리스탈 오브 %d개 부수기,medium,4,destroyOrb,30
17,도감에 장비 %d개 등록,medium,4,registerCollection,3
18,"%s 소울 장착 후, 적정 스테이지 %d회 클리어",high,5,equipSoulAndRecommendClear,1
19,적정 스테이지에서 날아다니는 몬스터 %d마리 처치,high,5,killFlyingMonsterInRecommend,50
20,%s %d 마리 처치,high,5,killSelectedMonster,200
21,균열 %d회 도전,high,5,tryRandomBoss,1
