id,lv,weight
3_000001,1,50
3_000001,2,30
3_000001,3,12
3_000001,4,6
3_000001,5,2
3_000002,6,50
3_000002,7,30
3_000002,8,12
3_000002,9,6
3_000002,10,2
3_000003,11,50
3_000003,12,30
3_000003,13,12
3_000003,14,6
3_000003,15,2
3_000004,16,50
3_000004,17,30
3_000004,18,12
3_000004,19,6
3_000004,20,2
3_000005,21,50
3_000005,22,30
3_000005,23,12
3_000005,24,6
3_000005,25,2
3_000006,26,50
3_000006,27,30
3_000006,28,12
3_000006,29,6
3_000006,30,2
3_000007,31,50
3_000007,32,30
3_000007,33,12
3_000007,34,6
3_000007,35,2
3_000008,36,50
3_000008,37,30
3_000008,38,12
3_000008,39,6
3_000008,40,2
3_000009,41,50
3_000009,42,30
3_000009,43,12
3_000009,44,6
3_000009,45,2
3_100001,1,100
3_100002,5,100
3_100003,10,100
3_100004,15,100
3_100005,20,100
3_100006,25,100
