level,needGold,needScroll,helmet_hp,suit_hp,glove_attack,shoes_hp
0,0,0,0,0,0,0
1,0,0,20,20,2,20
2,80,6,40,40,2.6,40
3,80,6,60,60,3.2,60
4,120,8,80,80,3.8,80
5,120,8,100,100,4.4,100
6,320,13,120,120,5,120
7,360,14,140,140,5.6,140
8,400,16,160,160,6.2,160
9,440,18,180,180,6.8,180
10,480,19,200,200,7.4,200
11,560,42,250,250,8,250
12,630,47,300,300,8.64,300
13,700,52,350,350,9.28,350
14,770,57,400,400,9.92,400
15,840,62,450,450,10.56,450
16,1600,58,500,500,11.2,500
17,1800,65,550,550,11.84,550
18,2000,72,600,600,12.48,600
19,2200,79,650,650,13.12,650
20,2400,86,700,700,13.76,700
21,2880,147,800,800,14.4,800
22,3240,166,900,900,15.072,900
23,3600,184,1000,1000,15.744,1000
24,3960,202,1100,1100,16.416,1100
25,4320,221,1200,1200,17.088,1200
26,6560,179,1300,1300,17.76,1300
27,7380,202,1400,1400,18.432,1400
28,8200,224,1500,1500,19.104,1500
29,9020,246,1600,1600,19.776,1600
30,9840,269,1700,1700,20.448,1700
31,13120,422,1900,1900,21.12,1900
32,14760,475,2100,2100,21.84,2100
33,16400,528,2300,2300,22.56,2300
34,18040,581,2500,2500,23.28,2500
35,19680,634,2700,2700,24,2700
36,30320,486,2900,2900,24.72,2900
37,34110,547,3100,3100,25.44,3100
38,37900,608,3300,3300,26.16,3300
39,41690,669,3500,3500,26.88,3500
40,45480,730,3700,3700,27.6,3700
41,54080,1101,4100,4100,28.32,4100
42,60840,1238,4500,4500,29.096,4500
43,67600,1376,4900,4900,29.872,4900
44,74360,1514,5300,5300,30.648,5300
45,81120,1651,5700,5700,31.424,5700
46,124480,1229,6100,6100,32.2,6100
47,140040,1382,6500,6500,32.976,6500
48,155600,1536,6900,6900,33.752,6900
49,171160,1690,7300,7300,34.528,7300
50,186720,1843,7700,7700,35.304,7700
51,222880,2714,8100,8100,36.08,8100
52,250740,3053,8500,8500,36.904,8500
53,278600,3392,8900,8900,37.728,8900
54,306460,3731,9300,9300,38.552,9300
55,334320,4070,9700,9700,39.376,9700
56,511200,2970,10100,10100,40.2,10100
57,575100,3341,10500,10500,41.024,10500
58,639000,3712,10900,10900,41.848,10900
59,702900,4083,11300,11300,42.672,11300
60,766800,4454,11700,11700,43.496,11700
61,943680,6451,12500,12500,44.32,12500
62,1061640,7258,13300,13300,45.224,13300
63,1179600,8064,14100,14100,46.128,14100
64,1297560,8870,14900,14900,47.032,14900
65,1415520,9677,15700,15700,47.936,15700
66,2254320,6963,16500,16500,48.84,16500
67,2536110,7834,17300,17300,49.744,17300
68,2817900,8704,18100,18100,50.648,18100
69,3099690,9574,18900,18900,51.552,18900
70,3381480,10445,19700,19700,52.456,19700
71,3984880,14950,21300,21300,53.36,21300
72,4482990,16819,22900,22900,54.24,22900
73,4981100,18688,24500,24500,55.12,24500
74,5479210,20557,26100,26100,56,26100
75,5977320,22426,27700,27700,56.88,27700
76,9226400,15974,29300,29300,57.76,29300
77,10379700,17971,30900,30900,58.64,30900
78,11533000,19968,32500,32500,59.52,32500
79,12686300,21965,34100,34100,60.4,34100
80,13839600,23962,35700,35700,61.28,35700
81,15939440,33997,38100,38100,62.16,38100
82,17931870,38246,40500,40500,63.08,40500
83,19924300,42496,42900,42900,64,42900
84,21916730,46746,45300,45300,64.92,45300
85,23909160,50995,47700,47700,65.84,47700
86,36912000,36045,50100,50100,66.76,50100
87,41526000,40550,52500,52500,67.68,52500
88,46140000,45056,54900,54900,68.6,54900
89,50754000,49562,57300,57300,69.52,57300
90,55368000,54067,59700,59700,70.44,59700
91,65431120,76186,63730,63730,71.36,63730
92,73610010,85709,67760,67760,72.32,67760
93,81788900,95232,71790,71790,73.28,71790
94,89967790,104755,75820,75820,74.24,75820
95,98146680,114278,79850,79850,75.2,79850
96,147622720,80282,83880,83880,76.16,83880
97,166075560,90317,87910,87910,77.12,87910
98,184528400,100352,91940,91940,78.08,91940
99,202981240,110387,95970,95970,79.04,95970
100,221434080,120422,100000,100000,80,100000
