name,option_1,option_2,option_3,option_4,option_5
pistol,빠른 속도로 총알을 1발 날립니다.,발사 간격이 0.3초 감소합니다.,관통 횟수가 2회 증가합니다.,총알이 세 갈래로 발사됩니다.,총알이 다섯 갈래로 발사됩니다.
wristband,3개의 표창을 빠른 속도로 연이어 던집니다.,발사 간격이 0.3초 감소합니다.,1% 확률로 일반 몬스터를 즉사시키는 럭키샷이 발동합니다.,관통 횟수가 3회 증가합니다.,던지는 표창의 수가 2개 증가합니다.
fireStaff,화재를 일으키는 파이어볼을 발사해 화상을 입힙니다.,화상 지속 시간이 1초 증가합니다.,발사 간격이 0.5초 감소합니다.,화상 대미지가 50% 증가합니다.,화재의 크기가 2배 증가합니다.
polearm,폴암이 날아다니며 적들을 때립니다.,폴암이 2배 빠른 속도로 날아다닙니다.,이동 경로에 화재를 일으킵니다.,공격을 멈추는 시간이 1.5초 감소합니다.,폴암에 맞은 적이 1초간 기절합니다.
bow,강력한 화살을 1개 쏩니다.,발사 간격이 0.3초 감소합니다.,화살이 2개씩 발사됩니다.,관통 횟수가 3회 증가합니다.,화살이 3개씩 발사됩니다.
fan,적들을 밀어내는 폭풍을 날립니다.,발사되는 폭풍의 지속 시간이 0.5초 증가합니다.,폭풍을 3개 발사합니다.,발사 간격이 0.5초 감소합니다.,폭풍을 9개 발사합니다.
demonSword,주변을 회전하며 닿는 적들을 공격합니다.,1.5배속으로 회전합니다.,2배속으로 회전합니다.,데몬 소드에 닿은 적의 투사체가 파괴됩니다. (쿨타임 0.5초),데몬 소드에 닿은 적이 0.3초간 기절합니다.
cannon,닿으면 크게 폭발하는 포탄을 발사합니다.,발사 간격이 0.5초 감소합니다.,포탄의 탄속이 5만큼 증가합니다.,포탄의 폭발 크기가 2배 증가합니다.,포탄이 3발씩 발사됩니다.
breathShooter,화살이 적들을 뚫고 가며 화상을 입힙니다.,화상 지속 시간이 1초 증가합니다.,화상 대미지가 50% 증가합니다.,발사 간격이 0.5초 감소합니다.,총알이 세 갈래로 발사됩니다.
lightningWand,적에게 유도되는 라이트닝볼을 3개 날립니다.,라이트닝볼의 지속 시간이 0.5초 증가합니다.,발사 간격이 1초 감소합니다.,라이트닝볼에 닿은 적이 0.3초간 기절합니다.,발사되는 라이트닝볼의 수가 2개 증가합니다.
soundShooter,음파를 1개 날립니다. 닿은 적은 음파에 유혹당해 쫓아갑니다.,음파 지속 시간이 1초 증가합니다.,몬스터를 1초 더 길게 유혹합니다.,발사 간격이 1초 감소합니다.,음파가 2개 더 발사됩니다.
chessPiece,지속 피해를 입히는 중력장을 3개 생성합니다.,중력장이 주는 피해 간격이 0.1초 빨라집니다.,소환되는 중력장의 수가 2개 증가합니다.,중력장의 지속 시간이 1초 증가합니다.,적이 중력장으로 조금씩 끌려 들어갑니다.
hammer,망치가 날아다니며 적을 때리고 바닥에 충격파를 일으킵니다.,충격파의 크기가 증가합니다.,망치의 충격파에 닿은 적에게 화상을 입힙니다.,공격을 멈추는 시간이 1.5초 감소합니다.,공격당한 적이 0.5초간 기절합니다.
birdBow,깃털을 휘날리는 새 1마리를 날려 보냅니다.,새의 유지 시간이 1초 증가합니다.,새가 뿌리는 깃털 양이 2배가 됩니다.,새를 2마리씩 날립니다.,깃털에 닿은 적에게 화상을 입힙니다.
dagger,단검이 날아다니며 적들을 찌릅니다.,공격을 멈추는 시간이 1.5초 감소합니다.,1% 확률로 일반 몬스터를 즉사시키는 럭키샷이 발동합니다.,단검이 2배 빠른 속도로 날아다닙니다.,3% 확률로 일반 몬스터를 즉사시키는 럭키샷이 발동합니다.
Helmet_Warrior,받는 근거리 피해 -2.5%,체력이 10% 미만이면 7초간 무적이 됩니다. (쿨타임: 3분),받는 근거리 피해 -2.5%,무적 상태가 끝나면 체력을 10% 회복합니다.,체력이 적을수록 회피율이 증가합니다.
Helmet_Sniper,사거리 +6.25%,치명타 확률 +5%,사거리 +6.25%,치명타 확률 +10%,치명타 확률 +15%
Helmet_Shark,받는 원거리 피해 -2.5%,몬스터를 50마리 제거할 때마다 체력을 1% 회복합니다.,받는 원거리 피해 -2.5%,몬스터를 50마리 제거할 때마다 상어를 소환합니다.,레어 옵션의 회복 효과가 2%로 증가합니다.
Helmet_Angel,회피율 +2.5%,"사망 시, 체력을 10% 회복한 채로 부활합니다.",회피율 +2.5%,"부활 시, 체력 회복 +15%","부활 시, 체력 회복 +25%"
Suit_Martial,회피율 +2.5%,보스 몬스터에게 받는 피해 -20%,회피율 +2.5%,30초마다 보스의 공격을 방어하는 실드를 생성합니다.,보스 몬스터에게 받는 피해 -10%
Suit_Poor,사거리 +6.25%,주변 몬스터에게 대미지를 주는 방사능을 생성합니다.,사거리 +6.25%,방사능의 범위가 확대됩니다.,방사능의 공격 쿨타임이 감소합니다.
Suit_Shield,받는 근거리 피해 -2.5%,최대 체력을 초과한 체력이 실드로 전환됩니다.,받는 근거리 피해 -2.5%,실드가 소모될 때마다 넉백을 발동합니다.,실드의 최대치가 증가합니다.
Suit_Chicken,받는 원거리 피해 -2.5%,레벨이 오를 때마다 최대 체력이 1% 증가합니다.,받는 원거리 피해 -2.5%,레벨이 오를 때마다 이동 속도가 0.5% 증가합니다.,레벨이 오를 때마다 대미지가 0.5% 증가합니다.
Glove_Wing,받는 원거리 피해 -2.5%,웨이브가 끝날 때마다 5% 회복,받는 원거리 피해 -2.5%,웨이브가 끝날 때마다 5% 회복,웨이브가 끝날 때마다 5% 회복
Glove_Boxer,회피율 +2.5%,보스 몬스터에게 주는 대미지 +5%,회피율 +2.5%,보스 몬스터에게 주는 대미지 +10%,보스 몬스터에게 주는 대미지 +5%
Glove_Flame,받는 근거리 피해 -2.5%,공격한 몬스터에게 대미지를 주는 불길이 생성됩니다.,받는 근거리 피해 -2.5%,불길의 대미지가 증가합니다.,불길의 대미지가 크게 증가합니다.
Glove_Weapon,사거리 +6.25%,몬스터를 공격하는 포탑을 60초마다 생성합니다.,사거리 +6.25%,포탑이 사라지지 않고 유지됩니다.,포탑이 공격하는 몬스터 수가 증가합니다.
Shoes_Roller,회피율 +2.5%,이동 속도가 +5%,회피율 +2.5%,이동 속도가 +5%,이동 속도가 +10%
Shoes_Bomb,사거리 +6.25%,20초마다 지뢰를 설치합니다.,사거리 +6.25%,지뢰 설치 쿨타임이 15초로 감소합니다.,지뢰의 대미지를 강화합니다.
Shoes_Football,받는 근거리 피해 -2.5%,투사체를 방어하는 축구공을 한 개 생성합니다. ,받는 근거리 피해 -2.5%,축구공을 한 개 더 생성합니다.,축구공에 닿는 몬스터에게 스턴이 적용됩니다.
Shoes_Slime,받는 원거리 피해 -2.5%,닿으면 느려지는 끈적이를 주기적으로 생성합니다.,받는 원거리 피해 -2.5%,끈적이의 양이 증가합니다.,끈적이의 양이 폭발적으로 증가합니다.
